,Time,Count
0,0-0,[6.710201263427734]
1,0-1,[13.140152931213379]
2,0-2,[7.368032455444336]
3,0-3,[6.799004077911377]
4,0-4,[11.418686866760254]
5,0-5,[11.689557075500488]
6,0-6,[9.79075813293457]
7,0-7,[9.586076736450195]
8,0-9,[9.393583297729492]
9,0-10,[6.4671478271484375]
10,0-11,[12.852482795715332]
11,0-12,[8.054213523864746]
12,0-13,[2.627143383026123]
13,0-14,[10.776533126831055]
14,0-15,[10.444304466247559]
15,0-16,[11.005098342895508]
16,0-17,[7.330472946166992]
17,0-18,[13.367599487304688]
18,0-19,[12.12466812133789]
19,0-20,[8.38582706451416]
20,0-21,[17.021488189697266]
21,0-23,[13.990076065063477]
22,0-24,[8.172761917114258]
23,0-25,[2.7147750854492188]
24,0-26,[9.016986846923828]
25,0-27,[6.70955753326416]
26,0-28,[8.142809867858887]
27,0-29,[10.323760986328125]
28,0-30,[6.673229217529297]
29,0-31,[7.920208930969238]
30,0-32,[5.2085795402526855]
31,0-33,[4.73123836517334]
32,0-34,[7.7175703048706055]
33,0-36,[7.994043350219727]
34,0-37,[8.311067581176758]
35,0-38,[8.461796760559082]
36,0-39,[5.710911750793457]
37,0-40,[8.455720901489258]
38,0-41,[7.801714897155762]
39,0-42,[10.02794075012207]
40,0-43,[7.996400833129883]
41,0-44,[7.017313003540039]
42,0-45,[4.291292667388916]
43,0-46,[9.139886856079102]
44,0-47,[2.7055399417877197]
45,0-49,[9.046537399291992]
46,0-50,[6.426793098449707]
47,0-51,[7.595498085021973]
48,0-52,[12.378602981567383]
49,0-53,[9.61590576171875]
50,0-54,[6.529958724975586]
51,0-55,[5.531150817871094]
52,0-56,[10.520625114440918]
53,0-57,[12.188673973083496]
54,0-58,[9.725533485412598]
55,0-59,[9.126687049865723]
56,1-0,[6.0786542892456055]
57,1-2,[8.363118171691895]
58,1-3,[13.454867362976074]
59,1-4,[8.467905044555664]
60,1-5,[8.659527778625488]
61,1-6,[9.871702194213867]
62,1-7,[7.964192867279053]
63,1-8,[6.804877281188965]
64,1-9,[9.1216459274292]
65,1-10,[13.435554504394531]
66,1-11,[4.989377021789551]
67,1-12,[5.167581558227539]
68,1-13,[5.031289100646973]
69,1-15,[8.95210075378418]
70,1-16,[5.510858058929443]
71,1-17,[7.280270576477051]
72,1-18,[9.674915313720703]
73,1-19,[5.318907737731934]
74,1-20,[4.382503986358643]
75,1-21,[11.559263229370117]
76,1-22,[5.408149719238281]
77,1-23,[10.492633819580078]
78,1-24,[10.592521667480469]
79,1-25,[7.686328887939453]
80,1-26,[6.95796537399292]
81,1-28,[6.264146327972412]
82,1-29,[9.055578231811523]
83,1-30,[5.408284664154053]
84,1-31,[13.145566940307617]
85,1-32,[9.818124771118164]
