,Time,Count
0,0-0,[10.8394136428833]
1,0-1,[9.96483039855957]
2,0-2,[1.7064253091812134]
3,0-3,[7.754026412963867]
4,0-4,[9.896574020385742]
5,0-5,[4.704449653625488]
6,0-6,[7.797246932983398]
7,0-7,[12.267366409301758]
8,0-8,[9.79183578491211]
9,0-9,[9.147027969360352]
10,0-10,[7.90371561050415]
11,0-12,[5.189387321472168]
12,0-13,[7.174003601074219]
13,0-14,[10.820919036865234]
14,0-15,[7.975247383117676]
15,0-16,[9.043426513671875]
16,0-17,[9.20831298828125]
17,0-18,[8.093293190002441]
18,0-19,[8.034594535827637]
19,0-20,[9.020756721496582]
20,0-21,[10.268930435180664]
21,0-22,[5.12510871887207]
22,0-23,[5.343162536621094]
23,0-25,[9.925454139709473]
24,0-26,[4.931044578552246]
25,0-27,[10.784713745117188]
26,0-28,[8.4202880859375]
27,0-29,[6.2207255363464355]
28,0-30,[12.95981216430664]
29,0-31,[6.510731220245361]
30,0-32,[11.902789115905762]
31,0-33,[9.945366859436035]
32,0-34,[11.375181198120117]
33,0-35,[9.716560363769531]
34,0-36,[11.617677688598633]
35,0-38,[5.9644246101379395]
36,0-39,[10.510125160217285]
37,0-40,[6.571135520935059]
38,0-41,[8.821304321289062]
39,0-42,[10.599132537841797]
40,0-43,[3.9663383960723877]
41,0-44,[10.395610809326172]
42,0-45,[6.634982585906982]
43,0-46,[8.74299144744873]
44,0-47,[7.268515586853027]
45,0-48,[5.675473690032959]
46,0-49,[8.809646606445312]
47,0-51,[4.6076226234436035]
48,0-52,[11.260425567626953]
49,0-53,[14.037945747375488]
50,0-54,[7.367251873016357]
51,0-55,[8.033456802368164]
52,0-56,[8.295042037963867]
53,0-57,[9.518022537231445]
54,0-58,[8.559379577636719]
55,0-59,[9.159791946411133]
56,1-0,[9.707754135131836]
57,1-1,[8.427517890930176]
58,1-2,[5.20826530456543]
59,1-4,[8.21104907989502]
60,1-5,[8.918842315673828]
61,1-6,[5.902655124664307]
62,1-7,[7.908092498779297]
63,1-8,[8.365947723388672]
64,1-9,[16.680091857910156]
