,Time,Count
0,0-0,[8.291533470153809]
1,0-1,[10.322149276733398]
2,0-2,[12.72424030303955]
3,0-3,[9.1816987991333]
4,0-4,[10.28264045715332]
5,0-5,[9.20028305053711]
6,0-6,[4.438116073608398]
7,0-8,[9.02042007446289]
8,0-9,[13.720856666564941]
9,0-10,[4.2995100021362305]
10,0-11,[6.900517463684082]
11,0-12,[11.052640914916992]
12,0-13,[7.812987804412842]
13,0-14,[9.22224235534668]
14,0-15,[9.582700729370117]
15,0-16,[9.646184921264648]
16,0-17,[7.218385696411133]
17,0-18,[4.926426410675049]
18,0-19,[12.194332122802734]
19,0-21,[11.356151580810547]
20,0-22,[4.828551292419434]
21,0-23,[6.576822280883789]
22,0-24,[9.78768539428711]
23,0-25,[9.787004470825195]
24,0-26,[6.462721347808838]
25,0-27,[9.940109252929688]
26,0-28,[6.081174373626709]
27,0-29,[12.270879745483398]
28,0-30,[7.313713073730469]
29,0-31,[2.847318649291992]
30,0-32,[4.839426040649414]
31,0-34,[4.62055778503418]
32,0-35,[6.163630962371826]
33,0-36,[11.008673667907715]
34,0-37,[5.265970230102539]
35,0-38,[7.55501127243042]
36,0-39,[10.470039367675781]
37,0-40,[9.372882843017578]
38,0-41,[8.029181480407715]
39,0-42,[5.351752758026123]
40,0-43,[9.98427963256836]
41,0-44,[9.40108871459961]
42,0-45,[5.649217128753662]
43,0-47,[11.108226776123047]
44,0-48,[5.772671699523926]
45,0-49,[5.721307754516602]
46,0-50,[8.18928050994873]
47,0-51,[5.342594146728516]
48,0-52,[8.997880935668945]
49,0-53,[4.817298889160156]
50,0-54,[12.016433715820312]
51,0-55,[5.363995552062988]
52,0-56,[9.018783569335938]
53,0-57,[8.391486167907715]
54,0-58,[4.799501419067383]
55,1-0,[10.315653800964355]
56,1-1,[3.9493937492370605]
57,1-2,[9.20380973815918]
58,1-3,[1.8906875848770142]
59,1-4,[4.861108303070068]
60,1-5,[6.6171979904174805]
61,1-6,[3.0561957359313965]
62,1-7,[7.9130754470825195]
63,1-8,[12.558161735534668]
64,1-9,[7.091404914855957]
65,1-10,[7.6917314529418945]
66,1-11,[12.627662658691406]
67,1-13,[5.3249192237854]
68,1-14,[9.264345169067383]
69,1-15,[9.424747467041016]
70,1-16,[2.2543277740478516]
71,1-17,[10.908766746520996]
72,1-18,[11.539730072021484]
73,1-19,[3.5681700706481934]
74,1-20,[7.903553485870361]
75,1-21,[6.296681880950928]
76,1-22,[6.475013732910156]
77,1-23,[9.156740188598633]
78,1-24,[6.540904998779297]
79,1-26,[16.019712448120117]
80,1-27,[7.3387556076049805]
81,1-28,[6.826205253601074]
82,1-29,[10.545696258544922]
83,1-30,[9.46354866027832]
84,1-31,[13.809159278869629]
85,1-32,[8.552075386047363]
86,1-33,[7.236048698425293]
87,1-34,[7.701360702514648]
88,1-35,[9.586551666259766]
89,1-36,[13.069612503051758]
90,1-37,[9.438336372375488]
91,1-39,[5.670389175415039]
92,1-40,[4.984554290771484]
93,1-41,[10.529243469238281]
94,1-42,[6.9418864250183105]
95,1-43,[7.413145065307617]
96,1-44,[8.33503532409668]
97,1-45,[7.297724723815918]
98,1-46,[10.505602836608887]
99,1-47,[7.0602874755859375]
100,1-48,[7.837300777435303]
101,1-49,[9.068307876586914]
102,1-50,[6.443390846252441]
103,1-52,[10.709978103637695]
104,1-53,[8.286888122558594]
105,1-54,[1.6498888731002808]
106,1-55,[7.406298637390137]
107,1-56,[7.61351203918457]
108,1-57,[8.556632995605469]
109,1-58,[9.140727996826172]
110,1-59,[13.489316940307617]
111,2-0,[6.220526695251465]
112,2-1,[12.33171558380127]
113,2-2,[6.6526384353637695]
114,2-3,[10.618966102600098]
115,2-5,[4.164236068725586]
116,2-6,[4.751646995544434]
117,2-7,[4.839822769165039]
118,2-8,[9.294767379760742]
119,2-9,[8.837468147277832]
120,2-10,[8.604784965515137]
121,2-11,[8.375283241271973]
122,2-12,[12.035040855407715]
123,2-13,[8.207533836364746]
124,2-14,[6.453671932220459]
125,2-15,[7.655878067016602]
126,2-16,[4.506350517272949]
127,2-18,[6.378952980041504]
128,2-19,[10.623023986816406]
129,2-20,[7.370269775390625]
130,2-21,[9.264118194580078]
131,2-22,[2.7567319869995117]
132,2-23,[10.147285461425781]
133,2-24,[11.031550407409668]
134,2-25,[6.293521404266357]
135,2-26,[11.49666690826416]
136,2-27,[11.70394229888916]
137,2-28,[7.092653751373291]
138,2-29,[6.445973873138428]
139,2-31,[5.289806842803955]
140,2-32,[8.770721435546875]
141,2-33,[3.722715377807617]
142,2-34,[4.6450605392456055]
143,2-35,[11.542104721069336]
144,2-36,[7.264379501342773]
145,2-37,[4.997597694396973]
146,2-38,[7.186816215515137]
147,2-39,[9.630918502807617]
148,2-40,[10.059081077575684]
149,2-41,[8.877626419067383]
150,2-42,[12.117260932922363]
151,2-44,[11.523691177368164]
152,2-45,[9.527521133422852]
153,2-46,[10.037882804870605]
154,2-47,[5.005702018737793]
155,2-48,[6.996262550354004]
156,2-49,[7.624570846557617]
157,2-50,[8.024354934692383]
158,2-51,[2.7277121543884277]
159,2-52,[4.099315166473389]
160,2-53,[8.881994247436523]
161,2-54,[7.320130348205566]
162,2-55,[8.867278099060059]
163,2-57,[7.689221382141113]
164,2-58,[11.90645694732666]
165,2-59,[4.908908843994141]
166,3-0,[9.357030868530273]
167,3-1,[12.41483211517334]
168,3-2,[7.631734371185303]
169,3-3,[8.844804763793945]
170,3-4,[3.3724489212036133]
171,3-5,[10.438013076782227]
