,Time,Count
0,0-1,[11.212814331054688]
1,0-2,[9.821843147277832]
2,0-3,[7.778799057006836]
3,0-4,[5.179210186004639]
4,0-5,[9.662038803100586]
5,0-6,[10.965933799743652]
6,0-7,[3.8507981300354004]
7,0-8,[8.353963851928711]
8,0-9,[9.826149940490723]
9,0-10,[7.53133487701416]
10,0-11,[8.990330696105957]
11,0-12,[5.370762825012207]
12,0-13,[13.139974594116211]
13,0-15,[7.573071479797363]
14,0-16,[5.881604194641113]
15,0-17,[7.101864814758301]
16,0-18,[5.521557331085205]
17,0-19,[7.2369794845581055]
18,0-20,[4.87042236328125]
19,0-21,[7.340885162353516]
20,0-22,[11.455500602722168]
21,0-23,[6.221612930297852]
22,0-24,[8.479310035705566]
23,0-25,[5.56112813949585]
24,0-26,[2.6777329444885254]
25,0-28,[8.594335556030273]
26,0-29,[9.513883590698242]
27,0-30,[2.907763957977295]
28,0-31,[3.3341927528381348]
29,0-32,[7.32061767578125]
30,0-33,[5.545324325561523]
31,0-34,[7.587957859039307]
32,0-35,[14.335465431213379]
33,0-36,[2.903693914413452]
34,0-37,[7.622158050537109]
35,0-38,[6.087730407714844]
36,0-39,[8.166053771972656]
37,0-41,[6.741170883178711]
38,0-42,[3.480992317199707]
39,0-43,[13.42821216583252]
40,0-44,[10.153295516967773]
41,0-45,[5.529830455780029]
42,0-46,[5.1688714027404785]
43,0-47,[11.190237998962402]
44,0-48,[5.989691734313965]
45,0-49,[13.674909591674805]
46,0-50,[8.827080726623535]
47,0-51,[3.0048680305480957]
48,0-52,[12.667389869689941]
49,0-54,[9.113964080810547]
50,0-55,[7.498894214630127]
51,0-56,[8.842751502990723]
52,0-57,[10.12338638305664]
53,0-58,[7.0176310539245605]
54,0-59,[9.875600814819336]
55,1-0,[9.785329818725586]
56,1-1,[6.273168087005615]
57,1-2,[6.971890449523926]
58,1-3,[8.37912368774414]
59,1-4,[5.699196815490723]
60,1-5,[6.346953392028809]
61,1-7,[6.172821044921875]
62,1-8,[10.143095016479492]
63,1-9,[9.72855281829834]
64,1-10,[9.49235725402832]
65,1-11,[8.000395774841309]
66,1-12,[9.467445373535156]
67,1-13,[6.52443265914917]
68,1-14,[9.103754043579102]
69,1-15,[15.150257110595703]
70,1-16,[4.011318206787109]
71,1-17,[4.3153157234191895]
72,1-18,[7.507434844970703]
73,1-20,[10.084559440612793]
74,1-21,[5.3976030349731445]
75,1-22,[10.933035850524902]
76,1-23,[11.83377456665039]
77,1-24,[11.643115043640137]
78,1-25,[9.69503116607666]
79,1-26,[13.278251647949219]
80,1-27,[9.11030387878418]
81,1-28,[12.125747680664062]
82,1-29,[9.248936653137207]
83,1-30,[11.325678825378418]
84,1-31,[13.50644588470459]
85,1-33,[9.346359252929688]
86,1-34,[7.888704299926758]
87,1-35,[9.946836471557617]
88,1-36,[6.705771446228027]
89,1-37,[6.128218173980713]
90,1-38,[8.386197090148926]
91,1-39,[7.589000701904297]
92,1-40,[9.416203498840332]
93,1-41,[8.723953247070312]
94,1-42,[9.090585708618164]
95,1-43,[7.444744110107422]
96,1-44,[7.231762886047363]
97,1-46,[11.1437349319458]
98,1-47,[9.153124809265137]
99,1-48,[10.75132942199707]
100,1-49,[6.983730792999268]
101,1-50,[9.901484489440918]
102,1-51,[4.680739402770996]
103,1-52,[9.364730834960938]
104,1-53,[8.998300552368164]
105,1-54,[7.179232120513916]
106,1-55,[10.770121574401855]
107,1-56,[12.570657730102539]
108,1-57,[7.166724681854248]
109,1-59,[9.145750045776367]
110,2-0,[6.388786792755127]
111,2-1,[11.623478889465332]
112,2-2,[10.479718208312988]
113,2-3,[9.734663963317871]
114,2-4,[7.5905961990356445]
115,2-5,[8.17171859741211]
116,2-6,[7.9249043464660645]
117,2-7,[8.296966552734375]
118,2-8,[4.672658443450928]
119,2-9,[7.675967216491699]
120,2-10,[8.716236114501953]
121,2-12,[7.650177001953125]
122,2-13,[13.801530838012695]
123,2-14,[5.016970157623291]
124,2-15,[10.24155044555664]
125,2-16,[7.318418025970459]
126,2-17,[5.638202667236328]
127,2-18,[10.741741180419922]
128,2-19,[6.768592834472656]
129,2-20,[11.887638092041016]
130,2-21,[9.599061012268066]
131,2-22,[3.020491123199463]
132,2-23,[5.835464000701904]
133,2-25,[15.920562744140625]
134,2-26,[11.028712272644043]
135,2-27,[5.101250648498535]
136,2-28,[7.721691131591797]
137,2-29,[12.477994918823242]
138,2-30,[9.470369338989258]
139,2-31,[7.310704708099365]
140,2-32,[11.281228065490723]
141,2-33,[6.236572265625]
142,2-34,[9.995288848876953]
143,2-35,[11.160781860351562]
144,2-36,[6.966123580932617]
145,2-37,[12.022368431091309]
146,2-39,[14.526171684265137]
147,2-40,[6.420727252960205]
148,2-41,[10.938372611999512]
149,2-42,[5.007022857666016]
150,2-43,[5.300088405609131]
151,2-44,[8.111480712890625]
152,2-45,[10.364317893981934]
153,2-46,[8.283509254455566]
154,2-47,[6.8885087966918945]
155,2-48,[7.901785373687744]
156,2-49,[9.607097625732422]
157,2-50,[8.71366024017334]
158,2-52,[10.247756958007812]
159,2-53,[5.515014171600342]
160,2-54,[8.048856735229492]
161,2-55,[11.049030303955078]
162,2-56,[7.984742164611816]
163,2-57,[8.445653915405273]
164,2-58,[9.131690979003906]
165,2-59,[10.137741088867188]
166,3-0,[11.54311752319336]
167,3-1,[13.202652931213379]
168,3-2,[6.606508255004883]
169,3-3,[8.127484321594238]
170,3-5,[7.353541374206543]
171,3-6,[7.364736080169678]
172,3-7,[13.920267105102539]
173,3-8,[10.628046035766602]
174,3-9,[5.127171516418457]
175,3-10,[10.02575397491455]
176,3-11,[8.665000915527344]
177,3-12,[6.589825630187988]
178,3-13,[6.363767623901367]
179,3-14,[10.086135864257812]
180,3-15,[10.03950309753418]
181,3-16,[4.311595439910889]
182,3-17,[7.405251502990723]
183,3-19,[7.93632698059082]
184,3-20,[7.621059894561768]
185,3-21,[11.648377418518066]
186,3-22,[5.535829544067383]
187,3-23,[0.8711512088775635]
188,3-24,[8.767942428588867]
189,3-25,[10.699525833129883]
190,3-26,[11.497320175170898]
191,3-27,[5.9785332679748535]
192,3-28,[14.934020042419434]
193,3-29,[15.811594009399414]
194,3-30,[8.657801628112793]
195,3-32,[6.515600204467773]
196,3-33,[7.645659446716309]
197,3-34,[8.826148986816406]
198,3-35,[8.423417091369629]
199,3-36,[3.577488899230957]
200,3-37,[7.855646133422852]
201,3-38,[6.108983516693115]
202,3-39,[7.999213218688965]
203,3-40,[8.675439834594727]
204,3-41,[0.6170789003372192]
205,3-42,[6.7994184494018555]
206,3-43,[10.497800827026367]
207,3-45,[2.1025052070617676]
208,3-46,[11.050743103027344]
209,3-47,[9.774406433105469]
210,3-48,[9.3084077835083]
211,3-49,[9.862494468688965]
212,3-50,[12.854104042053223]
213,3-51,[4.774997711181641]
214,3-52,[8.192291259765625]
215,3-53,[7.991736888885498]
216,3-54,[10.99229621887207]
217,3-55,[6.836820602416992]
218,3-56,[8.139728546142578]
219,3-58,[6.352625846862793]
220,3-59,[8.311647415161133]
221,4-0,[7.236514091491699]
222,4-1,[6.767548084259033]
223,4-2,[6.725307464599609]
224,4-3,[9.63094425201416]
225,4-4,[5.137157917022705]
226,4-5,[5.93214225769043]
227,4-6,[12.070322036743164]
228,4-7,[8.515511512756348]
229,4-8,[6.151544570922852]
230,4-9,[7.188780784606934]
231,4-11,[6.270283222198486]
232,4-12,[10.354436874389648]
233,4-13,[10.989105224609375]
234,4-14,[5.095957279205322]
235,4-15,[8.846111297607422]
236,4-16,[8.7378511428833]
237,4-17,[9.356356620788574]
238,4-18,[10.277236938476562]
239,4-19,[10.757890701293945]
240,4-20,[9.979190826416016]
241,4-21,[5.4942779541015625]
242,4-22,[8.548734664916992]
243,4-24,[6.041589736938477]
244,4-25,[8.121255874633789]
245,4-26,[13.072235107421875]
246,4-27,[8.441312789916992]
247,4-28,[6.7092390060424805]
248,4-29,[12.47628402709961]
249,4-30,[8.365535736083984]
250,4-31,[8.178993225097656]
251,4-32,[8.55451774597168]
252,4-33,[9.463191986083984]
253,4-34,[9.738662719726562]
254,4-35,[8.77779483795166]
255,4-37,[10.003504753112793]
256,4-38,[7.6309895515441895]
257,4-39,[10.007993698120117]
258,4-40,[8.543914794921875]
259,4-41,[8.783942222595215]
260,4-42,[12.70640754699707]
261,4-43,[10.382804870605469]
262,4-44,[9.965702056884766]
263,4-45,[14.9214506149292]
264,4-46,[4.031986236572266]
265,4-47,[5.3944878578186035]
266,4-48,[9.645462989807129]
267,4-50,[11.123933792114258]
268,4-51,[7.9683051109313965]
269,4-52,[8.987190246582031]
270,4-53,[7.58503532409668]
271,4-54,[8.42495346069336]
272,4-55,[9.728727340698242]
273,4-56,[10.974650382995605]
274,4-57,[10.243410110473633]
275,4-58,[6.553887367248535]
276,4-59,[3.805266857147217]
277,5-0,[6.722064971923828]
278,5-1,[9.006490707397461]
279,5-3,[6.744874477386475]
280,5-4,[9.301070213317871]
281,5-5,[5.539680480957031]
282,5-6,[11.47123908996582]
283,5-7,[8.997114181518555]
284,5-8,[7.385612487792969]
285,5-9,[3.5065455436706543]
286,5-10,[6.421117305755615]
287,5-11,[1.4318203926086426]
288,5-12,[9.897860527038574]
289,5-13,[15.675857543945312]
290,5-14,[7.727707862854004]
291,5-16,[16.60822868347168]
292,5-17,[10.607478141784668]
293,5-18,[6.892521858215332]
294,5-19,[3.413179874420166]
295,5-20,[3.6923370361328125]
296,5-21,[4.552288055419922]
297,5-22,[5.000281810760498]
298,5-23,[4.166353225708008]
299,5-24,[9.12370491027832]
300,5-25,[5.377760887145996]
301,5-26,[7.287776947021484]
302,5-27,[4.368396759033203]
303,5-28,[7.2023797035217285]
304,5-30,[7.396259307861328]
305,5-31,[7.486469268798828]
306,5-32,[11.090770721435547]
307,5-33,[5.617527008056641]
308,5-34,[7.984598636627197]
309,5-35,[6.0277323722839355]
310,5-36,[13.206944465637207]
311,5-37,[15.186176300048828]
312,5-38,[9.438959121704102]
313,5-39,[10.882181167602539]
314,5-40,[9.64719009399414]
315,5-41,[10.252714157104492]
316,5-42,[7.627673625946045]
317,5-44,[10.180689811706543]
318,5-45,[10.38076400756836]
319,5-46,[10.18059253692627]
320,5-47,[12.439254760742188]
321,5-48,[7.245962142944336]
322,5-49,[10.42570686340332]
323,5-50,[8.610013961791992]
324,5-51,[10.083984375]
325,5-52,[5.248504161834717]
326,5-53,[12.646047592163086]
327,5-54,[7.663143157958984]
328,5-56,[8.294466018676758]
329,5-57,[9.598597526550293]
330,5-58,[9.599024772644043]
331,5-59,[6.304205894470215]
332,6-0,[6.139313697814941]
333,6-1,[7.231924057006836]
334,6-2,[7.503596305847168]
335,6-3,[15.182065963745117]
336,6-4,[11.151861190795898]
337,6-5,[5.706181049346924]
338,6-6,[10.831018447875977]
339,6-7,[8.023005485534668]
340,6-9,[12.654759407043457]
341,6-10,[6.972401142120361]
342,6-11,[11.321019172668457]
343,6-12,[7.035485744476318]
344,6-13,[9.710421562194824]
345,6-14,[10.01830005645752]
346,6-15,[8.443370819091797]
347,6-16,[8.350984573364258]
348,6-17,[12.7096586227417]
349,6-18,[9.989303588867188]
350,6-19,[9.099393844604492]
351,6-20,[9.323248863220215]
352,6-21,[3.9100866317749023]
353,6-23,[8.462706565856934]
354,6-24,[8.85568904876709]
355,6-25,[5.244499206542969]
356,6-26,[8.502775192260742]
357,6-27,[6.626180648803711]
358,6-28,[10.324901580810547]
359,6-29,[7.696238040924072]
360,6-30,[10.418998718261719]
361,6-31,[7.060290336608887]
362,6-32,[10.289809226989746]
363,6-33,[11.690885543823242]
364,6-34,[5.349244594573975]
365,6-36,[6.800564765930176]
366,6-37,[7.132559776306152]
367,6-38,[8.283954620361328]
368,6-39,[6.315238952636719]
369,6-40,[13.108907699584961]
370,6-41,[10.783885955810547]
371,6-42,[13.02285385131836]
372,6-43,[10.407991409301758]
373,6-44,[8.900031089782715]
374,6-45,[6.449099540710449]
375,6-46,[14.363364219665527]
376,6-47,[8.92177963256836]
377,6-49,[5.97572660446167]
378,6-50,[9.327153205871582]
379,6-51,[7.431117534637451]
380,6-52,[5.621709823608398]
381,6-53,[6.871993064880371]
382,6-54,[8.761676788330078]
383,6-55,[12.145401954650879]
384,6-56,[7.4730987548828125]
385,6-57,[4.276649475097656]
386,6-58,[8.338401794433594]
387,6-59,[7.124224662780762]
388,7-0,[8.179465293884277]
389,7-2,[9.202689170837402]
390,7-3,[6.07902717590332]
391,7-4,[10.815256118774414]
392,7-5,[6.272243976593018]
393,7-6,[8.194019317626953]
394,7-7,[7.003704071044922]
395,7-8,[8.092695236206055]
396,7-9,[5.634891986846924]
397,7-10,[7.017578601837158]
398,7-11,[7.903125762939453]
399,7-12,[10.014076232910156]
400,7-13,[9.317984580993652]
401,7-15,[9.314080238342285]
402,7-16,[8.400517463684082]
403,7-17,[4.919912338256836]
404,7-18,[7.5436272621154785]
405,7-19,[12.509115219116211]
406,7-20,[7.749444007873535]
407,7-21,[7.213652610778809]
408,7-22,[4.039084434509277]
409,7-23,[8.206809997558594]
410,7-24,[8.19359016418457]
411,7-25,[3.4481725692749023]
412,7-26,[7.269135475158691]
413,7-27,[7.330306053161621]
414,7-29,[8.738370895385742]
415,7-30,[9.301789283752441]
416,7-31,[4.29146671295166]
417,7-32,[7.3249430656433105]
418,7-33,[9.871477127075195]
419,7-34,[11.949697494506836]
420,7-35,[9.3399658203125]
421,7-36,[10.752911567687988]
422,7-37,[6.428015232086182]
423,7-38,[11.302031517028809]
424,7-39,[8.77444839477539]
425,7-40,[11.902050018310547]
426,7-42,[6.935364723205566]
427,7-43,[13.570737838745117]
428,7-44,[14.017154693603516]
429,7-45,[6.62615966796875]
430,7-46,[6.023201942443848]
431,7-47,[8.842741012573242]
432,7-48,[10.434069633483887]
433,7-49,[9.82878589630127]
434,7-50,[5.450090408325195]
435,7-51,[5.310394287109375]
436,7-52,[8.384515762329102]
437,7-53,[5.236332893371582]
438,7-55,[13.139806747436523]
439,7-56,[5.307194709777832]
440,7-57,[4.805306434631348]
441,7-58,[8.227861404418945]
442,7-59,[11.457761764526367]
443,8-0,[11.541326522827148]
444,8-1,[5.00961446762085]
445,8-2,[6.247790336608887]
446,8-3,[4.662581443786621]
447,8-4,[9.684534072875977]
448,8-5,[8.323535919189453]
449,8-6,[5.926936149597168]
450,8-8,[8.421558380126953]
451,8-9,[4.874988555908203]
452,8-10,[7.776734352111816]
453,8-11,[5.3534088134765625]
454,8-12,[7.1580095291137695]
455,8-13,[14.354429244995117]
456,8-14,[8.401278495788574]
457,8-15,[8.044743537902832]
458,8-16,[5.340658187866211]
459,8-17,[11.711202621459961]
460,8-18,[7.6219682693481445]
461,8-19,[7.172994613647461]
462,8-21,[5.920415878295898]
463,8-22,[10.627729415893555]
464,8-23,[10.947263717651367]
465,8-24,[9.213130950927734]
466,8-25,[8.93675422668457]
467,8-26,[5.046234130859375]
468,8-27,[6.958983421325684]
469,8-28,[7.757997512817383]
470,8-29,[6.957457065582275]
471,8-30,[5.633486747741699]
472,8-31,[9.558051109313965]
473,8-32,[10.616044044494629]
474,8-34,[10.453303337097168]
475,8-35,[7.643344879150391]
476,8-36,[5.706992149353027]
477,8-37,[11.634437561035156]
