,Time,Count
0,0-1,[2.0360190868377686]
1,0-2,[7.566313743591309]
2,0-3,[9.77524471282959]
3,0-4,[10.537511825561523]
4,0-5,[5.610873222351074]
5,0-6,[6.557916641235352]
6,0-7,[10.51693344116211]
7,0-8,[17.451045989990234]
8,0-9,[6.635113716125488]
9,0-10,[10.238618850708008]
10,0-11,[7.868352890014648]
11,0-12,[10.153087615966797]
12,0-14,[15.29856014251709]
13,0-15,[4.40078067779541]
14,0-16,[7.615599155426025]
15,0-17,[10.763059616088867]
16,0-18,[7.5318145751953125]
17,0-19,[9.908799171447754]
18,0-20,[12.341276168823242]
19,0-21,[5.931851863861084]
20,0-22,[8.92992877960205]
21,0-23,[6.04793643951416]
22,0-24,[11.92715835571289]
23,0-25,[11.710431098937988]
24,0-27,[8.170745849609375]
25,0-28,[10.59306526184082]
26,0-29,[8.773636817932129]
27,0-30,[4.698518753051758]
28,0-31,[10.615074157714844]
29,0-32,[8.497337341308594]
30,0-33,[5.919696807861328]
31,0-34,[13.734220504760742]
32,0-35,[9.830474853515625]
33,0-36,[9.232892990112305]
34,0-37,[10.052034378051758]
35,0-38,[9.355344772338867]
36,0-40,[5.420621871948242]
37,0-41,[5.708069801330566]
38,0-42,[9.499818801879883]
39,0-43,[9.01639461517334]
40,0-44,[8.815397262573242]
41,0-45,[6.183966636657715]
42,0-46,[6.717891693115234]
43,0-47,[9.160760879516602]
44,0-48,[7.775101661682129]
45,0-49,[9.66291618347168]
46,0-50,[5.458061218261719]
47,0-51,[5.7059197425842285]
48,0-53,[6.125655174255371]
49,0-54,[12.756349563598633]
50,0-55,[7.793420314788818]
51,0-56,[3.4875149726867676]
52,0-57,[8.905614852905273]
53,0-58,[7.633492469787598]
54,0-59,[10.61113166809082]
55,1-0,[6.982604026794434]
56,1-1,[6.168057918548584]
57,1-2,[7.000436782836914]
58,1-3,[4.786211967468262]
59,1-4,[6.472271919250488]
60,1-6,[9.943317413330078]
61,1-7,[10.411084175109863]
62,1-8,[6.3480916023254395]
63,1-9,[9.876813888549805]
64,1-10,[6.405575752258301]
65,1-11,[9.06363296508789]
66,1-12,[6.779549598693848]
67,1-13,[8.292655944824219]
68,1-14,[12.71018123626709]
69,1-15,[7.917309761047363]
70,1-16,[7.212472438812256]
71,1-17,[6.510457515716553]
72,1-19,[6.583400726318359]
73,1-20,[8.165675163269043]
74,1-21,[6.845110893249512]
75,1-22,[4.785073280334473]
76,1-23,[8.293898582458496]
77,1-24,[7.71426248550415]
78,1-25,[10.676338195800781]
79,1-26,[6.829403400421143]
80,1-27,[4.4911789894104]
81,1-28,[6.120645999908447]
82,1-29,[5.507909297943115]
83,1-30,[8.679577827453613]
84,1-32,[5.897615909576416]
85,1-33,[10.06103801727295]
86,1-34,[5.563931941986084]
87,1-35,[10.511499404907227]
88,1-36,[9.43064022064209]
89,1-37,[6.822417259216309]
90,1-38,[4.7594523429870605]
91,1-39,[13.350196838378906]
92,1-40,[6.189306735992432]
93,1-41,[4.250269889831543]
94,1-42,[9.247867584228516]
95,1-43,[5.8706865310668945]
96,1-45,[9.165922164916992]
97,1-46,[7.054287910461426]
98,1-47,[10.007353782653809]
99,1-48,[11.518533706665039]
100,1-49,[2.6331422328948975]
101,1-50,[6.164166450500488]
102,1-51,[5.678084373474121]
103,1-52,[10.951884269714355]
104,1-53,[7.483685493469238]
105,1-54,[9.149701118469238]
106,1-55,[11.060799598693848]
107,1-56,[9.709179878234863]
108,1-58,[7.626320838928223]
109,1-59,[5.385441303253174]
110,2-0,[10.082155227661133]
111,2-1,[6.6203813552856445]
112,2-2,[7.046504974365234]
113,2-3,[7.792696475982666]
114,2-4,[8.817174911499023]
115,2-5,[7.5662150382995605]
116,2-6,[4.745678424835205]
117,2-7,[9.529443740844727]
118,2-8,[9.49523639678955]
119,2-9,[11.097412109375]
120,2-11,[9.038297653198242]
121,2-12,[8.782649993896484]
122,2-13,[9.783655166625977]
123,2-14,[7.772143363952637]
124,2-15,[9.759384155273438]
125,2-16,[11.77011489868164]
126,2-17,[13.547768592834473]
127,2-18,[9.970754623413086]
128,2-19,[4.772562503814697]
129,2-20,[8.023019790649414]
130,2-21,[9.378044128417969]
131,2-22,[13.319330215454102]
132,2-24,[6.124467849731445]
133,2-25,[14.29222583770752]
134,2-26,[1.5743707418441772]
135,2-27,[8.671028137207031]
