,Time,Count
0,0-0,[1.7245749235153198]
1,0-1,[7.011412620544434]
2,0-2,[10.183027267456055]
3,0-4,[12.817020416259766]
4,0-5,[7.690115928649902]
5,0-6,[7.427207946777344]
6,0-7,[6.499354362487793]
7,0-8,[13.067537307739258]
8,0-9,[9.72196102142334]
9,0-10,[4.1317949295043945]
10,0-11,[3.793506383895874]
11,0-12,[9.070375442504883]
12,0-13,[9.549464225769043]
13,0-15,[14.31078815460205]
14,0-16,[11.308479309082031]
15,0-17,[2.447420358657837]
16,0-18,[7.267738342285156]
17,0-19,[7.550961971282959]
18,0-20,[6.61956787109375]
19,0-21,[10.888754844665527]
20,0-22,[6.551629066467285]
21,0-23,[1.5344998836517334]
22,0-24,[1.3101032972335815]
23,0-25,[9.188533782958984]
24,0-26,[5.011190414428711]
25,0-28,[9.529821395874023]
26,0-29,[6.068863391876221]
27,0-30,[6.633237838745117]
28,0-31,[6.260684013366699]
29,0-32,[6.999117851257324]
30,0-33,[1.9662765264511108]
31,0-34,[8.464836120605469]
32,0-35,[3.7247066497802734]
33,0-36,[7.029349327087402]
34,0-37,[6.539165019989014]
35,0-38,[9.089512825012207]
36,0-39,[8.055303573608398]
37,0-41,[5.698817253112793]
38,0-42,[7.9276838302612305]
39,0-43,[9.563557624816895]
40,0-44,[3.818049430847168]
41,0-45,[7.670299530029297]
42,0-46,[8.356045722961426]
43,0-47,[8.415157318115234]
44,0-48,[11.273201942443848]
45,0-49,[8.060280799865723]
46,0-50,[6.215626239776611]
47,0-51,[4.823774814605713]
48,0-52,[9.42032241821289]
49,0-54,[10.165114402770996]
50,0-55,[7.44173526763916]
51,0-56,[6.441801071166992]
52,0-57,[6.615533351898193]
53,0-58,[4.93242073059082]
54,0-59,[8.858418464660645]
55,1-0,[6.89816951751709]
56,1-1,[7.6900811195373535]
57,1-2,[7.500687122344971]
58,1-3,[7.949534893035889]
59,1-4,[7.570920944213867]
60,1-5,[7.396976470947266]
61,1-6,[8.81458854675293]
62,1-8,[8.679752349853516]
63,1-9,[7.460206985473633]
64,1-10,[9.018720626831055]
65,1-11,[7.389569282531738]
66,1-12,[11.436607360839844]
67,1-13,[7.315977573394775]
68,1-14,[7.250122547149658]
69,1-15,[4.913949012756348]
70,1-16,[12.759325981140137]
71,1-17,[11.06403923034668]
72,1-18,[6.508072853088379]
73,1-19,[13.905815124511719]
74,1-20,[9.740628242492676]
75,1-22,[8.280205726623535]
76,1-23,[7.504067420959473]
77,1-24,[8.051074028015137]
78,1-25,[12.301295280456543]
79,1-26,[4.816581726074219]
80,1-27,[8.84172534942627]
81,1-28,[15.772789001464844]
82,1-29,[5.471137523651123]
83,1-30,[5.115236759185791]
84,1-31,[7.676517009735107]
85,1-32,[7.67539119720459]
86,1-33,[0.8688093423843384]
87,1-35,[9.234893798828125]
88,1-36,[6.052807807922363]
89,1-37,[9.596949577331543]
90,1-38,[10.00568962097168]
91,1-39,[6.523590087890625]
92,1-40,[6.223620891571045]
93,1-41,[10.192505836486816]
94,1-42,[6.083731651306152]
95,1-43,[6.025785446166992]
96,1-44,[7.271667957305908]
97,1-45,[3.724642276763916]
98,1-46,[14.435779571533203]
99,1-48,[10.640266418457031]
100,1-49,[7.097884178161621]
101,1-50,[10.514780044555664]
102,1-51,[8.855472564697266]
103,1-52,[6.574176788330078]
104,1-53,[10.071285247802734]
105,1-54,[4.718114852905273]
106,1-55,[7.984545707702637]
107,1-56,[9.201045036315918]
108,1-57,[10.595635414123535]
109,1-58,[8.928962707519531]
110,1-59,[11.320433616638184]
111,2-1,[4.91330623626709]
112,2-2,[5.262535572052002]
113,2-3,[12.240234375]
114,2-4,[10.38014030456543]
115,2-5,[6.536767959594727]
116,2-6,[9.215886116027832]
117,2-7,[11.451933860778809]
118,2-8,[8.280257225036621]
119,2-9,[10.995940208435059]
120,2-10,[6.215912818908691]
121,2-11,[8.853515625]
122,2-12,[5.478114128112793]
123,2-14,[6.443787097930908]
124,2-15,[1.9789572954177856]
125,2-16,[4.533763408660889]
126,2-17,[7.768967628479004]
127,2-18,[11.103116989135742]
128,2-19,[8.43887710571289]
129,2-20,[10.245281219482422]
130,2-21,[9.4278564453125]
131,2-22,[6.8168792724609375]
132,2-23,[7.313022613525391]
133,2-24,[7.444443702697754]
134,2-25,[4.785682678222656]
135,2-27,[7.102329730987549]
136,2-28,[4.934123992919922]
137,2-29,[12.056262016296387]
138,2-30,[10.989519119262695]
139,2-31,[3.7107462882995605]
140,2-32,[9.477025032043457]
141,2-33,[5.397330284118652]
142,2-34,[7.405587673187256]
143,2-35,[5.075375556945801]
144,2-36,[9.962316513061523]
145,2-37,[8.025690078735352]
146,2-38,[15.771891593933105]
147,2-40,[6.0803542137146]
148,2-41,[10.01237964630127]
149,2-42,[7.815987586975098]
150,2-43,[8.56511116027832]
151,2-44,[7.170895576477051]
152,2-45,[3.031069040298462]
153,2-46,[9.291463851928711]
154,2-47,[10.768613815307617]
155,2-48,[6.0664567947387695]
156,2-49,[9.506293296813965]
157,2-50,[9.579230308532715]
158,2-51,[13.700263023376465]
159,2-53,[6.279387474060059]
160,2-54,[1.6071109771728516]
161,2-55,[5.334738254547119]
162,2-56,[9.948563575744629]
163,2-57,[9.658035278320312]
164,2-58,[7.1370439529418945]
165,2-59,[9.078455924987793]
166,3-0,[8.73383903503418]
167,3-1,[8.919564247131348]
168,3-2,[5.020659923553467]
169,3-3,[9.988571166992188]
170,3-4,[10.763347625732422]
171,3-5,[7.781682968139648]
172,3-7,[5.63981294631958]
173,3-8,[6.8985490798950195]
174,3-9,[5.618342876434326]
175,3-10,[7.678558349609375]
176,3-11,[10.77078914642334]
177,3-12,[7.959885597229004]
178,3-13,[7.90855598449707]
179,3-14,[9.511307716369629]
180,3-15,[7.77951192855835]
181,3-16,[5.910896301269531]
182,3-17,[3.144444704055786]
183,3-18,[11.22118854522705]
184,3-20,[10.599157333374023]
185,3-21,[5.42543888092041]
186,3-22,[3.4902443885803223]
187,3-23,[6.703832626342773]
188,3-24,[10.109363555908203]
189,3-25,[7.3501434326171875]
190,3-26,[3.5534400939941406]
191,3-27,[11.797697067260742]
192,3-28,[8.898569107055664]
193,3-29,[7.896358013153076]
194,3-30,[6.038490295410156]
195,3-32,[12.011140823364258]
196,3-33,[17.06077003479004]
197,3-34,[5.278980255126953]
198,3-35,[9.541322708129883]
199,3-36,[5.659719944000244]
200,3-37,[5.7346343994140625]
201,3-38,[7.819622993469238]
202,3-39,[6.863445281982422]
203,3-40,[5.108148574829102]
204,3-41,[8.571806907653809]
205,3-42,[6.479156970977783]
206,3-43,[6.67055082321167]
207,3-45,[9.22218132019043]
208,3-46,[6.501575946807861]
209,3-47,[9.683768272399902]
210,3-48,[13.13701057434082]
211,3-49,[7.103618144989014]
212,3-50,[4.4888834953308105]
213,3-51,[6.923638343811035]
214,3-52,[5.593991756439209]
215,3-53,[9.712706565856934]
216,3-54,[9.418204307556152]
217,3-55,[6.885190010070801]
218,3-56,[9.114004135131836]
219,3-58,[8.883074760437012]
220,3-59,[7.734969139099121]
221,4-0,[6.322800159454346]
222,4-1,[11.452218055725098]
223,4-2,[7.558084964752197]
224,4-3,[8.184443473815918]
225,4-4,[3.0563297271728516]
226,4-5,[9.363892555236816]
227,4-6,[8.452836036682129]
228,4-7,[8.084510803222656]
229,4-8,[5.520977973937988]
230,4-9,[2.2518787384033203]
231,4-11,[7.398627758026123]
232,4-12,[9.027896881103516]
233,4-13,[7.789576053619385]
234,4-14,[5.440907955169678]
235,4-15,[6.227776527404785]
236,4-16,[4.649350643157959]
237,4-17,[7.20734977722168]
238,4-18,[5.335812568664551]
239,4-19,[14.490049362182617]
240,4-20,[5.734794616699219]
241,4-21,[5.309380531311035]
242,4-22,[4.570528030395508]
243,4-24,[8.577860832214355]
244,4-25,[9.875356674194336]
245,4-26,[10.8405179977417]
246,4-27,[8.226174354553223]
247,4-28,[7.242459297180176]
248,4-29,[6.361635684967041]
249,4-30,[9.181280136108398]
250,4-31,[6.549691200256348]
251,4-32,[6.029210567474365]
252,4-33,[10.265180587768555]
253,4-34,[8.256275177001953]
254,4-35,[8.502434730529785]
255,4-37,[10.022626876831055]
256,4-38,[8.056511878967285]
257,4-39,[8.22281265258789]
258,4-40,[7.648805618286133]
259,4-41,[6.640741348266602]
260,4-42,[9.805968284606934]
261,4-43,[4.5111589431762695]
262,4-44,[5.553497314453125]
263,4-45,[7.485615253448486]
264,4-46,[15.351177215576172]
265,4-47,[11.673775672912598]
266,4-48,[8.037372589111328]
267,4-49,[6.7999091148376465]
268,4-51,[5.339418411254883]
269,4-52,[7.374299049377441]
270,4-53,[10.451191902160645]
271,4-54,[12.899680137634277]
272,4-55,[9.418352127075195]
273,4-56,[10.539045333862305]
274,4-57,[11.22652530670166]
275,4-58,[10.313514709472656]
276,4-59,[9.180100440979004]
277,5-0,[7.43463134765625]
278,5-1,[9.895893096923828]
279,5-2,[9.054374694824219]
280,5-4,[6.16413688659668]
281,5-5,[11.800311088562012]
282,5-6,[12.699676513671875]
283,5-7,[12.784563064575195]
284,5-8,[1.4548827409744263]
285,5-9,[6.392484664916992]
286,5-10,[10.813878059387207]
287,5-11,[4.060705184936523]
288,5-12,[7.539267063140869]
289,5-13,[4.453606605529785]
290,5-14,[8.645269393920898]
291,5-15,[9.41441535949707]
292,5-16,[6.511490821838379]
293,5-18,[13.463688850402832]
294,5-19,[7.2768707275390625]
295,5-20,[4.115623950958252]
296,5-21,[6.410984992980957]
297,5-22,[10.08398723602295]
298,5-23,[7.574428558349609]
299,5-24,[6.0409064292907715]
300,5-25,[8.419455528259277]
301,5-26,[6.870212078094482]
302,5-27,[7.598886489868164]
303,5-28,[8.441446304321289]
304,5-29,[7.479822158813477]
305,5-31,[8.63761043548584]
306,5-32,[8.556687355041504]
307,5-33,[8.223592758178711]
308,5-34,[10.490556716918945]
309,5-35,[13.191815376281738]
310,5-36,[10.706571578979492]
311,5-37,[8.176353454589844]
312,5-38,[10.958514213562012]
313,5-39,[4.178528308868408]
314,5-40,[6.948988437652588]
315,5-41,[5.616221904754639]
316,5-42,[13.41916275024414]
317,5-44,[5.004186153411865]
318,5-45,[3.871823787689209]
319,5-46,[10.911603927612305]
320,5-47,[7.364096641540527]
321,5-48,[9.397258758544922]
322,5-49,[9.397891998291016]
323,5-50,[12.603754997253418]
324,5-51,[10.168763160705566]
325,5-52,[10.034578323364258]
326,5-53,[12.802990913391113]
327,5-54,[10.461283683776855]
328,5-55,[5.654731750488281]
329,5-56,[7.011628150939941]
330,5-58,[7.380044460296631]
331,5-59,[8.804611206054688]
332,6-0,[6.871631622314453]
333,6-1,[10.807485580444336]
334,6-2,[6.06550407409668]
335,6-3,[4.131936550140381]
336,6-4,[6.880507946014404]
337,6-5,[5.368507385253906]
338,6-6,[6.863008499145508]
339,6-7,[12.707484245300293]
