,Time,Count
0,0-0,[8.507566452026367]
1,0-1,[8.688088417053223]
2,0-2,[6.677995681762695]
3,0-3,[8.56956672668457]
4,0-4,[10.97008991241455]
5,0-5,[6.054263114929199]
6,0-6,[9.542335510253906]
7,0-7,[13.030648231506348]
8,0-9,[10.238007545471191]
9,0-10,[9.876890182495117]
10,0-11,[8.159461975097656]
11,0-12,[5.964356899261475]
12,0-13,[8.372384071350098]
13,0-14,[8.646842956542969]
14,0-15,[9.083833694458008]
15,0-16,[10.482294082641602]
16,0-17,[5.319027423858643]
17,0-18,[6.520749568939209]
18,0-19,[5.062328338623047]
19,0-20,[13.947160720825195]
20,0-22,[10.226226806640625]
21,0-23,[10.519786834716797]
22,0-24,[4.959578514099121]
23,0-25,[9.770269393920898]
24,0-26,[7.849624156951904]
25,0-27,[2.100969076156616]
26,0-28,[10.529030799865723]
27,0-29,[6.833583831787109]
28,0-30,[11.979515075683594]
29,0-31,[5.3397674560546875]
30,0-32,[9.279918670654297]
31,0-33,[7.521621227264404]
32,0-35,[8.0054931640625]
33,0-36,[9.249667167663574]
34,0-37,[7.531136512756348]
35,0-38,[9.75743293762207]
36,0-39,[6.914366722106934]
37,0-40,[7.383944511413574]
38,0-41,[12.585129737854004]
39,0-42,[6.772893905639648]
40,0-43,[6.177119731903076]
41,0-44,[10.882221221923828]
42,0-45,[5.319785118103027]
43,0-46,[10.034284591674805]
44,0-48,[6.1589460372924805]
45,0-49,[6.978729724884033]
46,0-50,[8.083013534545898]
47,0-51,[7.099310398101807]
48,0-52,[8.518163681030273]
49,0-53,[8.312874794006348]
50,0-54,[13.365131378173828]
51,0-55,[7.419678211212158]
52,0-56,[7.07059383392334]
53,0-57,[9.24168586730957]
54,0-58,[9.3170804977417]
55,0-59,[9.071578025817871]
56,1-1,[7.207420349121094]
57,1-2,[8.74501895904541]
58,1-3,[6.959018707275391]
59,1-4,[9.25988483428955]
60,1-5,[6.87111759185791]
61,1-6,[3.784149646759033]
62,1-7,[10.4994478225708]
63,1-8,[4.781071186065674]
64,1-9,[7.438249588012695]
65,1-10,[8.118987083435059]
66,1-11,[4.282203674316406]
67,1-12,[9.54442024230957]
68,1-14,[8.359602928161621]
69,1-15,[6.611091613769531]
70,1-16,[8.99660873413086]
71,1-17,[11.344813346862793]
72,1-18,[14.003790855407715]
73,1-19,[11.342140197753906]
74,1-20,[6.09580135345459]
75,1-21,[9.527196884155273]
76,1-22,[9.307683944702148]
77,1-23,[5.035921096801758]
78,1-24,[6.861239433288574]
79,1-25,[11.079253196716309]
80,1-27,[4.15818977355957]
81,1-28,[7.923514366149902]
82,1-29,[5.599111080169678]
83,1-30,[8.231576919555664]
84,1-31,[4.654722690582275]
85,1-32,[7.0520548820495605]
86,1-33,[16.00579833984375]
87,1-34,[8.476102828979492]
88,1-35,[10.660634994506836]
89,1-36,[8.830747604370117]
90,1-37,[9.874162673950195]
91,1-38,[8.282283782958984]
92,1-40,[6.620473861694336]
93,1-41,[10.060571670532227]
94,1-42,[6.089756965637207]
95,1-43,[12.43131160736084]
96,1-44,[8.02648639678955]
97,1-45,[6.767800331115723]
98,1-46,[11.003437042236328]
99,1-47,[11.316818237304688]
100,1-48,[8.19051742553711]
101,1-49,[8.25440788269043]
102,1-50,[10.013103485107422]
103,1-51,[8.069472312927246]
104,1-53,[8.44251537322998]
105,1-54,[6.823810577392578]
106,1-55,[4.610567092895508]
107,1-56,[7.672234535217285]
108,1-57,[3.5705790519714355]
109,1-58,[9.022143363952637]
110,1-59,[7.127259254455566]
111,2-0,[6.796232223510742]
112,2-1,[11.810323715209961]
113,2-2,[10.899054527282715]
114,2-3,[9.664421081542969]
115,2-4,[8.010289192199707]
116,2-6,[3.4878106117248535]
117,2-7,[7.482717037200928]
118,2-8,[11.82465648651123]
119,2-9,[9.847450256347656]
120,2-10,[9.400835037231445]
121,2-11,[9.41596794128418]
122,2-12,[10.172237396240234]
123,2-13,[5.140314102172852]
124,2-14,[7.599170684814453]
125,2-15,[8.350107192993164]
126,2-16,[10.994660377502441]
127,2-17,[5.871934413909912]
128,2-19,[8.343523025512695]
129,2-20,[11.624227523803711]
130,2-21,[7.986391067504883]
131,2-22,[10.163414001464844]
132,2-23,[6.8475446701049805]
133,2-24,[10.483684539794922]
134,2-25,[11.030672073364258]
135,2-26,[7.944540023803711]
136,2-27,[13.023811340332031]
137,2-28,[14.964653015136719]
138,2-29,[12.919986724853516]
139,2-30,[6.113481521606445]
140,2-32,[10.25357437133789]
141,2-33,[7.485186576843262]
142,2-34,[6.021971702575684]
143,2-35,[8.930704116821289]
144,2-36,[7.866096496582031]
145,2-37,[2.9325308799743652]
146,2-38,[6.848048210144043]
147,2-39,[5.912405967712402]
148,2-40,[6.22264289855957]
149,2-41,[12.409687042236328]
150,2-42,[7.281523704528809]
151,2-43,[5.668148040771484]
152,2-45,[7.909996032714844]
153,2-46,[11.083942413330078]
154,2-47,[5.519311904907227]
155,2-48,[10.04448127746582]
156,2-49,[9.94687271118164]
157,2-50,[5.735605239868164]
158,2-51,[13.340100288391113]
159,2-52,[3.8033857345581055]
160,2-53,[5.462503910064697]
161,2-54,[4.451432228088379]
162,2-55,[6.846299171447754]
163,2-56,[9.330276489257812]
164,2-57,[5.293440341949463]
165,2-59,[5.935703754425049]
166,3-0,[2.98646879196167]
167,3-1,[7.446438789367676]
168,3-2,[7.3824462890625]
169,3-3,[12.570201873779297]
170,3-4,[8.119389533996582]
171,3-5,[12.571504592895508]
172,3-6,[6.170001983642578]
173,3-7,[11.25988483428955]
174,3-8,[10.090465545654297]
175,3-9,[9.525374412536621]
176,3-10,[4.539576530456543]
177,3-12,[4.9470672607421875]
178,3-13,[11.541509628295898]
179,3-14,[4.20718240737915]
180,3-15,[9.279180526733398]
181,3-16,[7.98298454284668]
182,3-17,[7.711394309997559]
183,3-18,[6.24915885925293]
184,3-19,[10.81991958618164]
185,3-20,[5.944516658782959]
186,3-21,[8.539034843444824]
187,3-22,[9.075456619262695]
188,3-23,[8.417062759399414]
189,3-25,[5.617563247680664]
190,3-26,[6.041177749633789]
191,3-27,[9.264203071594238]
192,3-28,[7.175906658172607]
193,3-29,[0.8204218149185181]
194,3-30,[10.904821395874023]
195,3-31,[9.506254196166992]
196,3-32,[7.991576194763184]
197,3-33,[15.454044342041016]
198,3-34,[8.491044044494629]
199,3-35,[5.4745330810546875]
200,3-36,[9.048113822937012]
201,3-38,[6.444857597351074]
202,3-39,[5.294348239898682]
203,3-40,[7.977371692657471]
204,3-41,[5.848513126373291]
205,3-42,[5.83982515335083]
206,3-43,[14.39096736907959]
207,3-44,[14.383210182189941]
208,3-45,[7.610195159912109]
209,3-46,[5.645809173583984]
210,3-47,[10.695117950439453]
211,3-48,[11.98906421661377]
212,3-49,[6.2316412925720215]
213,3-51,[11.626096725463867]
214,3-52,[10.024847030639648]
215,3-53,[8.452451705932617]
216,3-54,[7.887176990509033]
217,3-55,[6.885503768920898]
218,3-56,[3.9797000885009766]
219,3-57,[6.123653411865234]
220,3-58,[5.231492519378662]
221,3-59,[10.82229232788086]
222,4-0,[6.7445173263549805]
223,4-1,[5.675067901611328]
224,4-2,[9.524171829223633]
225,4-4,[6.743723392486572]
226,4-5,[7.347494602203369]
227,4-6,[6.288959980010986]
228,4-7,[8.033256530761719]
229,4-8,[7.122241973876953]
230,4-9,[11.670502662658691]
231,4-10,[8.01430892944336]
232,4-11,[6.319392204284668]
233,4-12,[6.360672950744629]
234,4-13,[7.931130409240723]
235,4-14,[8.352832794189453]
236,4-15,[8.36082649230957]
237,4-17,[9.685683250427246]
238,4-18,[7.920970916748047]
239,4-19,[11.650399208068848]
240,4-20,[12.5430908203125]
241,4-21,[4.912319183349609]
242,4-22,[4.9939093589782715]
243,4-23,[10.510427474975586]
244,4-24,[11.72966480255127]
245,4-25,[3.443859100341797]
246,4-26,[10.336971282958984]
247,4-27,[8.919818878173828]
248,4-28,[13.390880584716797]
249,4-30,[3.783310890197754]
250,4-31,[8.723491668701172]
251,4-32,[5.984460830688477]
252,4-33,[12.748834609985352]
253,4-34,[8.135444641113281]
254,4-35,[9.94566822052002]
255,4-36,[7.692858695983887]
256,4-37,[6.279723167419434]
257,4-38,[3.903456926345825]
258,4-39,[10.53735065460205]
259,4-40,[4.868112564086914]
260,4-41,[12.966818809509277]
261,4-43,[12.515338897705078]
262,4-44,[11.443231582641602]
263,4-45,[7.500597953796387]
264,4-46,[9.58858585357666]
265,4-47,[13.28169059753418]
266,4-48,[10.967461585998535]
267,4-49,[6.9978179931640625]
268,4-50,[7.851074695587158]
269,4-51,[8.548164367675781]
270,4-52,[14.364660263061523]
271,4-53,[4.177227020263672]
272,4-54,[9.443046569824219]
273,4-56,[10.428600311279297]
274,4-57,[4.7807841300964355]
275,4-58,[15.000202178955078]
276,4-59,[7.279831886291504]
277,5-0,[6.09671688079834]
278,5-1,[7.393941879272461]
279,5-2,[8.53434944152832]
280,5-3,[7.327043056488037]
281,5-4,[11.40532112121582]
282,5-5,[8.004233360290527]
283,5-6,[6.031992435455322]
284,5-7,[3.952741861343384]
285,5-9,[6.0917863845825195]
286,5-10,[7.203417778015137]
287,5-11,[3.388247013092041]
288,5-12,[7.97783088684082]
289,5-13,[7.175262928009033]
290,5-14,[8.074037551879883]
291,5-15,[6.261900901794434]
292,5-16,[7.451952934265137]
293,5-17,[9.291563034057617]
294,5-18,[7.987859725952148]
295,5-19,[4.516845703125]
296,5-20,[12.10679817199707]
297,5-22,[7.649201393127441]
298,5-23,[10.084856033325195]
299,5-24,[9.4639253616333]
300,5-25,[9.304889678955078]
