,Time,Count
0,0-0,[7.4585418701171875]
1,0-1,[8.464521408081055]
2,0-2,[9.55007553100586]
3,0-3,[10.491007804870605]
4,0-4,[3.28011417388916]
5,0-5,[6.494357585906982]
6,0-6,[5.786221504211426]
7,0-8,[7.449447154998779]
8,0-9,[8.476419448852539]
9,0-10,[7.072506427764893]
10,0-11,[4.55666971206665]
11,0-12,[11.46829891204834]
12,0-13,[5.957780838012695]
13,0-14,[8.129622459411621]
14,0-15,[7.61767053604126]
15,0-16,[8.181884765625]
16,0-17,[9.077287673950195]
17,0-18,[10.398618698120117]
18,0-20,[5.747677803039551]
19,0-21,[4.3225603103637695]
20,0-22,[9.548361778259277]
21,0-23,[9.03049087524414]
22,0-24,[13.134191513061523]
23,0-25,[11.691863059997559]
24,0-26,[9.163651466369629]
25,0-27,[8.959844589233398]
26,0-28,[11.72726058959961]
27,0-30,[9.124411582946777]
28,0-31,[5.77782678604126]
29,0-32,[6.812950611114502]
30,0-33,[7.223552703857422]
31,0-34,[1.7183634042739868]
32,0-35,[8.318634033203125]
33,0-36,[10.37335205078125]
34,0-37,[5.751347064971924]
35,0-38,[7.676193714141846]
36,0-39,[7.407243728637695]
37,0-40,[12.483504295349121]
38,0-41,[9.943463325500488]
39,0-43,[7.289987564086914]
40,0-44,[9.59240436553955]
41,0-45,[5.505797863006592]
42,0-46,[6.464221477508545]
43,0-47,[10.031224250793457]
44,0-48,[10.96856689453125]
45,0-49,[6.213903427124023]
46,0-50,[8.650556564331055]
47,0-51,[7.676704406738281]
48,0-52,[6.9298553466796875]
49,0-53,[11.197301864624023]
50,0-54,[14.168197631835938]
51,0-56,[7.344794750213623]
52,0-57,[9.431999206542969]
53,0-58,[7.328062057495117]
54,0-59,[8.360635757446289]
55,1-0,[6.33265495300293]
56,1-1,[11.843101501464844]
57,1-2,[7.813810348510742]
58,1-3,[9.383150100708008]
59,1-4,[12.255218505859375]
60,1-5,[8.239519119262695]
61,1-6,[8.720075607299805]
62,1-7,[7.86745548248291]
63,1-9,[11.467606544494629]
64,1-10,[6.368373394012451]
65,1-11,[4.667076110839844]
66,1-12,[8.660280227661133]
67,1-13,[7.28995418548584]
68,1-14,[5.331798076629639]
69,1-15,[8.913715362548828]
70,1-16,[8.243097305297852]
71,1-17,[11.404128074645996]
72,1-18,[11.829562187194824]
73,1-19,[5.663591384887695]
74,1-20,[4.175626754760742]
75,1-22,[8.550201416015625]
76,1-23,[8.193391799926758]
77,1-24,[10.621828079223633]
78,1-25,[10.029585838317871]
79,1-26,[14.206536293029785]
80,1-27,[6.865700721740723]
81,1-28,[3.5817923545837402]
82,1-29,[9.243206977844238]
83,1-30,[5.275376319885254]
84,1-31,[5.6409454345703125]
85,1-32,[6.30415153503418]
86,1-33,[6.59344482421875]
87,1-35,[7.166976451873779]
88,1-36,[10.411430358886719]
89,1-37,[7.368683338165283]
90,1-38,[10.704076766967773]
91,1-39,[9.243485450744629]
92,1-40,[7.632363319396973]
93,1-41,[8.471866607666016]
94,1-42,[7.709222793579102]
95,1-43,[9.030961036682129]
96,1-44,[8.469450950622559]
97,1-45,[9.587320327758789]
98,1-46,[9.016292572021484]
99,1-48,[9.044998168945312]
100,1-49,[6.130488872528076]
101,1-50,[12.444072723388672]
102,1-51,[5.931859493255615]
103,1-52,[9.653816223144531]
104,1-53,[12.124746322631836]
105,1-54,[5.566997051239014]
106,1-55,[8.282918930053711]
107,1-56,[5.489877700805664]
108,1-57,[14.592793464660645]
109,1-58,[5.8275628089904785]
110,1-59,[10.19732666015625]
111,2-1,[6.308879852294922]
112,2-2,[8.326404571533203]
113,2-3,[12.573559761047363]
114,2-4,[9.749459266662598]
115,2-5,[7.258642673492432]
116,2-6,[3.640641212463379]
117,2-7,[8.965522766113281]
118,2-8,[11.56972885131836]
119,2-9,[7.711007595062256]
120,2-10,[5.03311824798584]
121,2-11,[7.9780378341674805]
122,2-12,[11.13427448272705]
123,2-14,[9.27042007446289]
124,2-15,[7.682035446166992]
125,2-16,[10.122326850891113]
126,2-17,[9.105976104736328]
127,2-18,[9.025777816772461]
128,2-19,[5.599679946899414]
129,2-20,[14.130528450012207]
130,2-21,[5.270891189575195]
