,Time,Count
0,0-0,[6.183084487915039]
1,0-1,[6.562835693359375]
2,0-2,[6.406158924102783]
3,0-3,[5.477596282958984]
4,0-4,[13.971935272216797]
5,0-5,[11.856962203979492]
6,0-6,[14.370172500610352]
7,0-8,[7.523276329040527]
8,0-9,[11.64002513885498]
9,0-10,[10.909704208374023]
10,0-11,[5.979729652404785]
11,0-12,[4.695738315582275]
12,0-13,[10.53380012512207]
13,0-14,[5.8682861328125]
14,0-15,[9.908842086791992]
15,0-16,[6.621788024902344]
16,0-17,[7.994777679443359]
17,0-18,[8.021286964416504]
18,0-20,[7.940390586853027]
19,0-21,[5.26561164855957]
20,0-22,[8.167348861694336]
21,0-23,[6.476959705352783]
22,0-24,[12.59921646118164]
23,0-25,[11.369998931884766]
24,0-26,[6.646888732910156]
25,0-27,[8.077770233154297]
26,0-28,[3.1262645721435547]
27,0-29,[11.756750106811523]
28,0-30,[8.403165817260742]
29,0-31,[8.427669525146484]
30,0-33,[7.57361364364624]
31,0-34,[6.810853958129883]
32,0-35,[9.444661140441895]
33,0-36,[8.523841857910156]
34,0-37,[6.139383792877197]
35,0-38,[8.07883358001709]
36,0-39,[10.16214370727539]
37,0-40,[11.380727767944336]
38,0-41,[7.5828962326049805]
39,0-42,[8.213647842407227]
40,0-43,[5.901636600494385]
41,0-44,[10.330918312072754]
42,0-46,[8.239202499389648]
43,0-47,[10.043231964111328]
44,0-48,[12.161222457885742]
45,0-49,[6.980221748352051]
46,0-50,[9.066429138183594]
47,0-51,[12.776670455932617]
48,0-52,[10.605974197387695]
49,0-53,[9.98029899597168]
50,0-54,[10.66666316986084]
51,0-55,[6.636325836181641]
52,0-56,[6.397881507873535]
53,0-57,[11.613082885742188]
54,0-59,[8.04305648803711]
55,1-0,[4.040921211242676]
56,1-1,[7.159275054931641]
57,1-2,[4.835312843322754]
58,1-3,[6.476140022277832]
59,1-4,[8.992496490478516]
60,1-5,[8.623119354248047]
61,1-6,[7.6945085525512695]
62,1-7,[3.773124933242798]
63,1-8,[11.760605812072754]
64,1-9,[12.10383415222168]
65,1-10,[5.692550182342529]
66,1-12,[11.400428771972656]
67,1-13,[4.8940839767456055]
68,1-14,[10.392910957336426]
69,1-15,[7.839720249176025]
70,1-16,[6.606022834777832]
71,1-17,[9.86832332611084]
72,1-18,[2.7162160873413086]
73,1-19,[9.627212524414062]
74,1-20,[7.9181437492370605]
75,1-21,[7.710885047912598]
76,1-22,[13.402278900146484]
77,1-23,[10.388385772705078]
78,1-25,[9.283638000488281]
79,1-26,[6.822779178619385]
80,1-27,[9.063669204711914]
81,1-28,[6.636378288269043]
82,1-29,[5.911654949188232]
83,1-30,[5.14646053314209]
84,1-31,[9.069406509399414]
85,1-32,[10.009744644165039]
86,1-33,[7.041213512420654]
87,1-34,[4.622469902038574]
88,1-35,[9.86126708984375]
89,1-36,[12.125575065612793]
90,1-38,[10.734601020812988]
91,1-39,[7.94294548034668]
92,1-40,[4.5991716384887695]
93,1-41,[3.378058910369873]
94,1-42,[11.253912925720215]
95,1-43,[9.133096694946289]
96,1-44,[7.793776512145996]
97,1-45,[11.769235610961914]
98,1-46,[8.448034286499023]
99,1-47,[2.724527597427368]
100,1-48,[10.389018058776855]
101,1-49,[7.825445652008057]
102,1-51,[3.915304183959961]
103,1-52,[10.510815620422363]
104,1-53,[9.220954895019531]
105,1-54,[9.614591598510742]
106,1-55,[8.54627799987793]
107,1-56,[3.569470167160034]
108,1-57,[11.299375534057617]
109,1-58,[9.261722564697266]
110,1-59,[8.639904975891113]
111,2-0,[3.7423596382141113]
112,2-1,[9.756316184997559]
113,2-2,[10.147809982299805]
114,2-4,[7.996616363525391]
115,2-5,[6.874052047729492]
116,2-6,[7.387010097503662]
117,2-7,[9.05866813659668]
118,2-8,[9.799554824829102]
119,2-9,[7.100966453552246]
120,2-10,[11.775290489196777]
121,2-11,[8.32179069519043]
122,2-12,[7.069257736206055]
123,2-13,[6.8100714683532715]
124,2-14,[4.292442321777344]
125,2-15,[6.781887054443359]
126,2-17,[5.539721488952637]
127,2-18,[8.185538291931152]
128,2-19,[7.663125514984131]
129,2-20,[7.085474014282227]
130,2-21,[5.589203357696533]
131,2-22,[14.67464828491211]
132,2-23,[10.817280769348145]
133,2-24,[11.209731101989746]
134,2-25,[8.601614952087402]
135,2-26,[8.912958145141602]
136,2-27,[8.65114688873291]
137,2-28,[12.669778823852539]
138,2-30,[7.572845458984375]
139,2-31,[12.809080123901367]
140,2-32,[8.61660385131836]
141,2-33,[11.763092994689941]
142,2-34,[6.390279769897461]
143,2-35,[8.825928688049316]
144,2-36,[7.346775531768799]
145,2-37,[-0.8287060260772705]
146,2-38,[5.138987064361572]
147,2-39,[8.676408767700195]
148,2-40,[7.672630310058594]
149,2-41,[9.305057525634766]
150,2-43,[11.661652565002441]
151,2-44,[8.20661449432373]
152,2-45,[7.094964027404785]
153,2-46,[16.2912654876709]
154,2-47,[9.634934425354004]
155,2-48,[10.294532775878906]
156,2-49,[6.69783878326416]
157,2-50,[10.567373275756836]
158,2-51,[8.524717330932617]
159,2-52,[10.125434875488281]
160,2-53,[10.366002082824707]
161,2-54,[10.707275390625]
162,2-56,[6.735265254974365]
163,2-57,[7.513523101806641]
164,2-58,[6.595973491668701]
165,2-59,[9.300618171691895]
166,3-0,[10.844188690185547]
167,3-1,[6.179131984710693]
168,3-2,[7.322314262390137]
169,3-3,[5.623374938964844]
170,3-4,[10.657629013061523]
171,3-5,[8.256973266601562]
172,3-6,[5.057465553283691]
173,3-7,[9.811796188354492]
174,3-9,[10.333579063415527]
175,3-10,[5.539170742034912]
176,3-11,[6.300009250640869]
177,3-12,[10.015809059143066]
178,3-13,[6.911896228790283]
179,3-14,[9.19609260559082]
180,3-15,[5.3098063468933105]
181,3-16,[8.534825325012207]
182,3-17,[10.031839370727539]
183,3-18,[9.274904251098633]
184,3-19,[10.743160247802734]
185,3-20,[8.758166313171387]
186,3-22,[9.693185806274414]
187,3-23,[8.063844680786133]
188,3-24,[8.797040939331055]
189,3-25,[10.527695655822754]
190,3-26,[6.670226573944092]
191,3-27,[6.661905288696289]
192,3-28,[11.440037727355957]
193,3-29,[9.25164794921875]
194,3-30,[8.68657398223877]
195,3-31,[5.020314693450928]
196,3-32,[10.21474552154541]
197,3-33,[6.347705841064453]
198,3-35,[4.578155994415283]
199,3-36,[8.360860824584961]
200,3-37,[6.521518230438232]
201,3-38,[8.90334701538086]
202,3-39,[6.459201812744141]
203,3-40,[6.370375156402588]
204,3-41,[12.28695011138916]
205,3-42,[8.807259559631348]
206,3-43,[7.348296165466309]
207,3-44,[10.693020820617676]
208,3-45,[9.80423641204834]
209,3-46,[4.649744033813477]
210,3-48,[7.961341857910156]
211,3-49,[5.387993812561035]
212,3-50,[9.159954071044922]
213,3-51,[11.725569725036621]
214,3-52,[8.108769416809082]
215,3-53,[8.996980667114258]
216,3-54,[6.737710475921631]
217,3-55,[9.487444877624512]
218,3-56,[5.023828983306885]
219,3-57,[14.981136322021484]
220,3-58,[8.946700096130371]
221,3-59,[10.13896369934082]
222,4-1,[7.73276948928833]
223,4-2,[4.231640815734863]
224,4-3,[11.209142684936523]
225,4-4,[6.729358673095703]
226,4-5,[7.543351650238037]
227,4-6,[6.271915912628174]
228,4-7,[10.728315353393555]
229,4-8,[6.692819595336914]
230,4-9,[7.8785834312438965]
231,4-10,[6.421862602233887]
232,4-11,[8.272335052490234]
233,4-12,[3.462913990020752]
234,4-14,[10.55831527709961]
235,4-15,[9.384511947631836]
236,4-16,[11.687479972839355]
237,4-17,[11.878665924072266]
238,4-18,[10.851178169250488]
239,4-19,[7.271861553192139]
240,4-20,[8.43298053741455]
241,4-21,[6.306772708892822]
242,4-22,[9.405433654785156]
243,4-23,[9.694129943847656]
244,4-24,[8.043073654174805]
245,4-25,[8.047761917114258]
246,4-27,[6.5334320068359375]
247,4-28,[7.745461463928223]
248,4-29,[8.83005142211914]
249,4-30,[8.382635116577148]
250,4-31,[8.21483039855957]
251,4-32,[9.832613945007324]
252,4-33,[7.581228256225586]
253,4-34,[6.032855987548828]
254,4-35,[6.052840709686279]
255,4-36,[10.979525566101074]
256,4-37,[5.2377777099609375]
257,4-38,[9.948692321777344]
258,4-40,[4.847862720489502]
259,4-41,[5.662320137023926]
260,4-42,[7.875528812408447]
261,4-43,[9.430804252624512]
262,4-44,[3.1799044609069824]
263,4-45,[10.445590019226074]
264,4-46,[11.516192436218262]
265,4-47,[5.9574875831604]
266,4-48,[3.1721701622009277]
267,4-49,[8.095502853393555]
268,4-50,[8.24687385559082]
269,4-51,[10.283295631408691]
270,4-53,[8.816425323486328]
271,4-54,[7.603333473205566]
272,4-55,[13.54747200012207]
273,4-56,[6.384251117706299]
274,4-57,[8.815665245056152]
275,4-58,[12.782584190368652]
276,4-59,[11.706384658813477]
277,5-0,[11.488787651062012]
278,5-1,[10.332579612731934]
279,5-2,[5.592100620269775]
280,5-3,[7.567474365234375]
281,5-4,[11.545135498046875]
282,5-6,[5.901622772216797]
283,5-7,[4.8281121253967285]
284,5-8,[5.257755279541016]
285,5-9,[6.172843933105469]
286,5-10,[10.593334197998047]
287,5-11,[8.894828796386719]
288,5-12,[4.9221930503845215]
289,5-13,[6.870872497558594]
290,5-14,[9.881446838378906]
291,5-15,[6.555914878845215]
292,5-16,[10.915753364562988]
293,5-17,[13.056379318237305]
294,5-19,[9.034012794494629]
295,5-20,[10.173870086669922]
296,5-21,[6.395899772644043]
297,5-22,[2.964977979660034]
298,5-23,[10.565603256225586]
299,5-24,[10.007405281066895]
300,5-25,[8.242286682128906]
301,5-26,[7.2032976150512695]
302,5-27,[5.642995357513428]
303,5-28,[9.0570068359375]
304,5-29,[3.0256710052490234]
305,5-30,[6.797186851501465]
306,5-31,[5.979673862457275]
307,5-33,[9.846216201782227]
308,5-34,[8.440969467163086]
309,5-35,[6.924144744873047]
310,5-36,[7.647327423095703]
311,5-37,[9.456866264343262]
312,5-38,[7.472868919372559]
313,5-39,[10.740219116210938]
314,5-40,[8.325750350952148]
315,5-41,[9.337312698364258]
316,5-42,[8.737257957458496]
317,5-43,[7.373137474060059]
318,5-44,[7.561984062194824]
319,5-46,[7.473868370056152]
320,5-47,[11.754863739013672]
321,5-48,[8.838781356811523]
322,5-49,[5.792491912841797]
323,5-50,[7.553203582763672]
324,5-51,[7.784080982208252]
325,5-52,[10.329046249389648]
326,5-53,[7.32144832611084]
327,5-54,[4.198874473571777]
328,5-55,[4.68104362487793]
329,5-56,[11.218746185302734]
330,5-57,[10.863836288452148]
331,5-59,[12.86740779876709]
332,6-0,[7.31058406829834]
333,6-1,[5.659125328063965]
334,6-2,[9.016865730285645]
335,6-3,[10.593949317932129]
336,6-4,[9.896031379699707]
337,6-5,[5.258277893066406]
338,6-6,[6.531923770904541]
