,Time,Count
0,0-0,[10.462471008300781]
1,0-1,[9.043228149414062]
2,0-2,[10.262777328491211]
3,0-3,[8.665290832519531]
4,0-4,[4.985135078430176]
5,0-5,[8.880501747131348]
6,0-6,[3.9630308151245117]
7,0-7,[10.183555603027344]
8,0-9,[4.073479652404785]
9,0-10,[13.09929370880127]
10,0-11,[9.460334777832031]
11,0-12,[6.553535461425781]
12,0-13,[11.570510864257812]
13,0-14,[12.86059284210205]
14,0-15,[2.828141689300537]
15,0-16,[8.970705032348633]
16,0-17,[6.500521183013916]
17,0-18,[4.555434226989746]
18,0-19,[7.635621070861816]
19,0-20,[9.05252456665039]
20,0-22,[9.713727951049805]
21,0-23,[10.169795989990234]
22,0-24,[8.049593925476074]
23,0-25,[12.03325080871582]
24,0-26,[4.699087142944336]
25,0-27,[10.009095191955566]
26,0-28,[10.230707168579102]
27,0-29,[8.415485382080078]
28,0-30,[10.599687576293945]
29,0-31,[5.44423246383667]
30,0-32,[11.704964637756348]
31,0-33,[7.308159351348877]
32,0-35,[7.869711399078369]
33,0-36,[5.944127559661865]
34,0-37,[5.97868013381958]
35,0-38,[7.740806579589844]
36,0-39,[8.395389556884766]
37,0-40,[14.601079940795898]
38,0-41,[2.9504127502441406]
39,0-42,[6.4342803955078125]
40,0-43,[10.348347663879395]
41,0-44,[9.026503562927246]
42,0-45,[5.967249870300293]
43,0-46,[6.640748977661133]
44,0-48,[8.808744430541992]
45,0-49,[11.583198547363281]
46,0-50,[10.865286827087402]
47,0-51,[8.127778053283691]
48,0-52,[7.825901031494141]
49,0-53,[11.470394134521484]
50,0-54,[4.715034484863281]
51,0-55,[13.598003387451172]
52,0-56,[15.186058044433594]
53,0-57,[10.530251502990723]
54,0-58,[7.363682746887207]
55,0-59,[8.113248825073242]
56,1-1,[3.476996898651123]
57,1-2,[7.131254196166992]
58,1-3,[10.00118637084961]
59,1-4,[9.657254219055176]
60,1-5,[8.105449676513672]
61,1-6,[8.40255069732666]
62,1-7,[11.235718727111816]
63,1-8,[9.85248851776123]
64,1-9,[8.48464584350586]
65,1-10,[5.275820732116699]
66,1-11,[7.5231242179870605]
67,1-12,[6.120774269104004]
68,1-14,[13.805133819580078]
69,1-15,[6.342778205871582]
70,1-16,[8.223836898803711]
71,1-17,[8.218172073364258]
72,1-18,[10.345610618591309]
73,1-19,[9.145940780639648]
74,1-20,[0.7511888742446899]
75,1-21,[8.378456115722656]
76,1-22,[6.491052627563477]
77,1-23,[5.516348838806152]
78,1-24,[9.32164478302002]
79,1-25,[7.058582305908203]
80,1-27,[11.99270248413086]
81,1-28,[4.9791460037231445]
82,1-29,[8.396040916442871]
83,1-30,[12.090787887573242]
84,1-31,[7.232700347900391]
85,1-32,[12.482101440429688]
86,1-33,[9.426318168640137]
87,1-34,[8.145270347595215]
88,1-35,[7.711365699768066]
89,1-36,[8.120166778564453]
90,1-37,[12.16073989868164]
91,1-38,[3.804710865020752]
92,1-40,[7.018544673919678]
93,1-41,[7.467955112457275]
94,1-42,[7.823796272277832]
95,1-43,[6.204106330871582]
96,1-44,[5.364642143249512]
97,1-45,[6.058880805969238]
98,1-46,[13.007979393005371]
99,1-47,[8.921984672546387]
100,1-48,[7.229364395141602]
101,1-49,[11.265292167663574]
102,1-50,[8.809767723083496]
103,1-51,[10.130766868591309]
104,1-52,[2.0813021659851074]
105,1-54,[13.148626327514648]
106,1-55,[8.275925636291504]
107,1-56,[11.047618865966797]
108,1-57,[6.142317771911621]
109,1-58,[6.666823387145996]
110,1-59,[10.018555641174316]
111,2-0,[5.763304233551025]
112,2-1,[7.229633808135986]
113,2-2,[11.68996810913086]
114,2-3,[8.708837509155273]
115,2-4,[9.2096529006958]
116,2-5,[6.323672294616699]
117,2-7,[5.933383464813232]
118,2-8,[9.366418838500977]
119,2-9,[6.507212162017822]
120,2-10,[4.442394733428955]
121,2-11,[10.330451965332031]
122,2-12,[7.719117164611816]
123,2-13,[6.492473125457764]
124,2-14,[8.455211639404297]
125,2-15,[8.83859634399414]
126,2-16,[15.335241317749023]
127,2-17,[5.304668426513672]
128,2-18,[6.509759426116943]
129,2-20,[7.099198341369629]
130,2-21,[7.351491928100586]
131,2-22,[11.17558479309082]
132,2-23,[10.658609390258789]
133,2-24,[7.762864112854004]
134,2-25,[7.772950172424316]
135,2-26,[6.779671669006348]
136,2-27,[4.594541072845459]
137,2-28,[6.30983829498291]
138,2-29,[6.911958694458008]
139,2-30,[11.974319458007812]
140,2-31,[12.161178588867188]
141,2-33,[8.123443603515625]
142,2-34,[12.062294006347656]
143,2-35,[12.201597213745117]
144,2-36,[10.559637069702148]
145,2-37,[10.402276992797852]
146,2-38,[3.3598761558532715]
147,2-39,[3.9255919456481934]
148,2-40,[9.715469360351562]
149,2-41,[6.605774879455566]
150,2-42,[10.852522850036621]
151,2-43,[7.230401992797852]
152,2-44,[7.916849136352539]
153,2-46,[12.605607986450195]
154,2-47,[9.267317771911621]
155,2-48,[5.106212615966797]
156,2-49,[8.730064392089844]
157,2-50,[3.3299198150634766]
158,2-51,[7.236285209655762]
159,2-52,[6.102512359619141]
160,2-53,[12.226471900939941]
161,2-54,[12.359241485595703]
162,2-55,[8.010845184326172]
163,2-56,[8.029206275939941]
164,2-57,[5.996144771575928]
165,2-59,[8.169594764709473]
166,3-0,[10.243946075439453]
167,3-1,[9.589591026306152]
168,3-2,[8.177838325500488]
169,3-3,[11.926733016967773]
170,3-4,[7.123196601867676]
171,3-5,[6.1815690994262695]
172,3-6,[8.010995864868164]
173,3-7,[12.31413459777832]
174,3-8,[7.181727886199951]
175,3-9,[5.753971099853516]
176,3-10,[8.37868881225586]
177,3-12,[11.337854385375977]
178,3-13,[4.646694183349609]
179,3-14,[10.056554794311523]
180,3-15,[6.779603958129883]
181,3-16,[7.190046310424805]
182,3-17,[6.862958908081055]
183,3-18,[11.156956672668457]
184,3-19,[9.724200248718262]
185,3-20,[12.86954402923584]
186,3-21,[4.489313125610352]
187,3-22,[8.976733207702637]
188,3-23,[9.705449104309082]
189,3-25,[8.678239822387695]
190,3-26,[7.316237926483154]
191,3-27,[10.21806526184082]
192,3-28,[7.964601516723633]
193,3-29,[8.437736511230469]
194,3-30,[7.914992332458496]
195,3-31,[9.828728675842285]
196,3-32,[5.649181842803955]
197,3-33,[10.747334480285645]
198,3-34,[6.626424789428711]
199,3-35,[3.4808952808380127]
200,3-36,[3.6262006759643555]
201,3-37,[12.401451110839844]
202,3-39,[6.697094440460205]
203,3-40,[6.845432281494141]
204,3-41,[11.5255126953125]
205,3-42,[13.242712020874023]
206,3-43,[3.155477285385132]
207,3-44,[11.374141693115234]
208,3-45,[10.256311416625977]
209,3-46,[7.4528374671936035]
210,3-47,[9.93435001373291]
211,3-48,[9.966007232666016]
212,3-49,[4.3598313331604]
213,3-50,[4.527958869934082]
214,3-52,[7.988753795623779]
215,3-53,[5.641441345214844]
216,3-54,[6.072436809539795]
217,3-55,[5.698703765869141]
218,3-56,[7.426518440246582]
219,3-57,[4.773155212402344]
220,3-58,[7.875892639160156]
221,3-59,[7.643779754638672]
222,4-0,[5.763045310974121]
223,4-1,[11.2630615234375]
224,4-2,[7.018782615661621]
225,4-3,[4.282149314880371]
226,4-5,[6.175511360168457]
227,4-6,[6.613916397094727]
228,4-7,[8.954054832458496]
229,4-8,[10.351642608642578]
230,4-9,[6.043334484100342]
231,4-10,[11.597281455993652]
232,4-11,[7.311306953430176]
233,4-12,[11.087722778320312]
234,4-13,[8.851503372192383]
235,4-14,[8.858320236206055]
236,4-15,[5.522411823272705]
237,4-16,[9.759475708007812]
238,4-18,[11.038556098937988]
239,4-19,[7.550586700439453]
240,4-20,[9.793533325195312]
241,4-21,[3.073007583618164]
242,4-22,[6.958956718444824]
243,4-23,[6.680716514587402]
244,4-24,[4.44904899597168]
245,4-25,[13.944765090942383]
246,4-26,[8.70800495147705]
247,4-27,[7.041094779968262]
248,4-28,[6.4179887771606445]
249,4-29,[6.053285121917725]
250,4-31,[3.1038613319396973]
251,4-32,[7.69516658782959]
252,4-33,[5.41048526763916]
253,4-34,[5.588440895080566]
254,4-35,[7.655717372894287]
255,4-36,[8.542304992675781]
256,4-37,[6.214495658874512]
257,4-38,[7.335871696472168]
258,4-39,[9.929983139038086]
259,4-40,[12.07641315460205]
260,4-41,[7.839567184448242]
261,4-42,[8.15538215637207]
262,4-43,[3.1698954105377197]
263,4-45,[10.958223342895508]
264,4-46,[9.38780403137207]
265,4-47,[7.893441200256348]
266,4-48,[10.131093978881836]
267,4-49,[6.369893550872803]
268,4-50,[7.948138236999512]
269,4-51,[10.720271110534668]
270,4-52,[6.042052268981934]
271,4-53,[7.384671211242676]
272,4-54,[12.063255310058594]
273,4-55,[6.934107780456543]
274,4-56,[5.563351154327393]
275,4-58,[8.791069984436035]
276,4-59,[10.135078430175781]
277,5-0,[5.139562606811523]
278,5-1,[3.294776201248169]
279,5-2,[3.77540922164917]
280,5-3,[6.682619094848633]
281,5-4,[5.819401741027832]
282,5-5,[10.13843059539795]
283,5-6,[8.532989501953125]
284,5-7,[10.74451732635498]
285,5-8,[10.83908462524414]
286,5-9,[3.671205997467041]
287,5-11,[4.780211448669434]
288,5-12,[6.863239765167236]
289,5-13,[3.522956371307373]
290,5-14,[6.852039337158203]
291,5-15,[8.01596736907959]
292,5-16,[6.046140193939209]
293,5-17,[6.325423240661621]
294,5-18,[8.697327613830566]
295,5-19,[9.260555267333984]
296,5-20,[7.055865287780762]
297,5-21,[7.423429489135742]
298,5-22,[10.735112190246582]
299,5-23,[5.3504319190979]
300,5-25,[3.2882120609283447]
301,5-26,[7.504321098327637]
302,5-27,[14.027536392211914]
303,5-28,[8.726828575134277]
304,5-29,[6.030860900878906]
305,5-30,[7.574481964111328]
306,5-31,[4.42786169052124]
307,5-32,[9.120190620422363]
308,5-33,[8.842926025390625]
309,5-34,[6.30825138092041]
310,5-35,[13.492841720581055]
311,5-36,[7.139657974243164]
312,5-38,[3.4083800315856934]
313,5-39,[4.821438312530518]
314,5-40,[6.332806587219238]
315,5-41,[4.803773880004883]
316,5-42,[9.647359848022461]
317,5-43,[8.380236625671387]
318,5-44,[11.527388572692871]
319,5-45,[9.842622756958008]
320,5-46,[8.038267135620117]
321,5-47,[7.201254844665527]
322,5-48,[10.832840919494629]
323,5-49,[3.4752984046936035]
324,5-50,[8.19123363494873]
325,5-52,[9.706071853637695]
326,5-53,[10.023134231567383]
327,5-54,[7.520954132080078]
328,5-55,[1.5926814079284668]
329,5-56,[6.46558952331543]
330,5-57,[8.795782089233398]
331,5-58,[7.090417861938477]
332,5-59,[5.024896144866943]
333,6-0,[8.720477104187012]
334,6-1,[9.207317352294922]
335,6-2,[5.837894916534424]
336,6-3,[4.8076629638671875]
337,6-5,[13.573589324951172]
338,6-6,[5.127196788787842]
339,6-7,[2.574205160140991]
340,6-8,[9.581098556518555]
341,6-9,[12.134330749511719]
342,6-10,[8.5780611038208]
343,6-11,[13.207759857177734]
344,6-12,[7.147403717041016]
345,6-13,[10.898801803588867]
346,6-14,[14.287875175476074]
347,6-15,[7.460605621337891]
348,6-16,[10.178752899169922]
349,6-18,[5.958469867706299]
350,6-19,[9.272007942199707]
351,6-20,[7.830664157867432]
352,6-21,[8.748092651367188]
353,6-22,[4.489070892333984]
354,6-23,[8.728935241699219]
355,6-24,[9.217738151550293]
356,6-25,[7.9903883934021]
357,6-26,[5.972727298736572]
358,6-27,[9.534283638000488]
359,6-28,[8.059510231018066]
360,6-29,[6.953559875488281]
361,6-31,[0.30091726779937744]
362,6-32,[6.706842422485352]
363,6-33,[8.414775848388672]
364,6-34,[6.946340560913086]
365,6-35,[13.146832466125488]
366,6-36,[8.058991432189941]
367,6-37,[7.382162094116211]
368,6-38,[10.867887496948242]
369,6-39,[12.377140998840332]
370,6-40,[8.42459774017334]
371,6-41,[7.081912517547607]
372,6-42,[8.196897506713867]
373,6-44,[9.470081329345703]
374,6-45,[9.473281860351562]
375,6-46,[14.938102722167969]
376,6-47,[4.860837936401367]
377,6-48,[8.384931564331055]
378,6-49,[8.1325044631958]
379,6-50,[3.0884854793548584]
380,6-51,[10.549684524536133]
381,6-52,[8.438278198242188]
382,6-53,[7.3900346755981445]
383,6-54,[8.351860046386719]
384,6-55,[8.22128677368164]
385,6-57,[8.436059951782227]
386,6-58,[8.017732620239258]
387,6-59,[7.211203575134277]
388,7-0,[7.812172889709473]
389,7-1,[5.891077041625977]
390,7-2,[4.794076919555664]
391,7-3,[12.86574935913086]
392,7-4,[9.679736137390137]
393,7-5,[12.041154861450195]
394,7-6,[9.222110748291016]
395,7-7,[11.795683860778809]
396,7-8,[5.947071075439453]
397,7-10,[8.75379753112793]
398,7-11,[7.650914192199707]
399,7-12,[6.60658597946167]
400,7-13,[8.367719650268555]
401,7-14,[12.215423583984375]
402,7-15,[8.986566543579102]
403,7-16,[7.1952033042907715]
404,7-17,[6.2933197021484375]
405,7-18,[10.887203216552734]
406,7-19,[5.95232629776001]
407,7-20,[8.068217277526855]
408,7-21,[8.072293281555176]
409,7-23,[8.184507369995117]
410,7-24,[3.3496925830841064]
411,7-25,[6.076835632324219]
412,7-26,[11.422776222229004]
413,7-27,[9.78432559967041]
414,7-28,[11.69167709350586]
415,7-29,[6.675833702087402]
416,7-30,[2.1637420654296875]
417,7-31,[15.236738204956055]
418,7-32,[8.7568941116333]
419,7-33,[12.634231567382812]
420,7-34,[9.483019828796387]
421,7-36,[6.920429229736328]
422,7-37,[6.802663326263428]
423,7-38,[10.206210136413574]
424,7-39,[8.121864318847656]
425,7-40,[12.935924530029297]
426,7-41,[8.59716510772705]
427,7-42,[6.534786224365234]
428,7-43,[12.039260864257812]
429,7-44,[9.793129920959473]
430,7-45,[5.761178970336914]
431,7-46,[8.287115097045898]
432,7-47,[7.684823036193848]
433,7-48,[10.127509117126465]
434,7-50,[2.9771230220794678]
435,7-51,[6.528858184814453]
436,7-52,[9.799320220947266]
437,7-53,[9.51397705078125]
438,7-54,[9.043808937072754]
439,7-55,[6.242985725402832]
440,7-56,[9.747746467590332]
441,7-57,[10.458314895629883]
442,7-58,[10.626546859741211]
443,7-59,[7.532116889953613]
444,8-0,[5.621284484863281]
445,8-1,[7.01420783996582]
446,8-3,[6.39837646484375]
447,8-4,[7.1436357498168945]
448,8-5,[7.812655448913574]
449,8-6,[11.305107116699219]
450,8-7,[10.496532440185547]
451,8-8,[7.901614665985107]
452,8-9,[11.911937713623047]
453,8-10,[10.784791946411133]
454,8-11,[10.164779663085938]
455,8-12,[6.211652755737305]
456,8-13,[11.759973526000977]
457,8-14,[6.078977584838867]
458,8-16,[7.431676864624023]
459,8-17,[7.934205055236816]
460,8-18,[8.701431274414062]
461,8-19,[13.657249450683594]
462,8-20,[9.46929931640625]
463,8-21,[4.931652069091797]
464,8-22,[2.992011070251465]
465,8-23,[6.190326690673828]
466,8-24,[6.672122955322266]
467,8-25,[7.518720626831055]
468,8-26,[2.5936062335968018]
469,8-27,[13.509778022766113]
470,8-29,[5.767313003540039]
471,8-30,[8.12566089630127]
472,8-31,[8.081292152404785]
473,8-32,[7.524986267089844]
474,8-33,[10.2904691696167]
475,8-34,[8.938512802124023]
476,8-35,[6.116602420806885]
477,8-36,[9.101134300231934]
478,8-37,[6.154857635498047]
479,8-38,[9.014117240905762]
480,8-39,[9.751932144165039]
481,8-40,[11.966192245483398]
482,8-42,[10.583211898803711]
483,8-43,[12.064288139343262]
484,8-44,[12.490766525268555]
485,8-45,[8.213730812072754]
486,8-46,[10.389387130737305]
487,8-47,[5.081083297729492]
488,8-48,[5.285937786102295]
489,8-49,[8.687828063964844]
490,8-50,[7.987965106964111]
491,8-51,[4.455452919006348]
492,8-52,[4.249167442321777]
493,8-53,[11.74989128112793]
494,8-55,[12.700357437133789]
495,8-56,[11.654658317565918]
496,8-57,[11.062108993530273]
497,8-58,[3.9641590118408203]
498,8-59,[13.147588729858398]
499,9-0,[7.306212902069092]
500,9-1,[6.840625762939453]
501,9-2,[9.650442123413086]
502,9-3,[10.673974990844727]
503,9-4,[8.314592361450195]
504,9-5,[12.1917724609375]
505,9-6,[9.038049697875977]
506,9-8,[6.441061973571777]
507,9-9,[7.864673137664795]
508,9-10,[2.0590484142303467]
509,9-11,[6.730706691741943]
510,9-12,[9.698575019836426]
511,9-13,[7.918257713317871]
512,9-14,[14.231199264526367]
513,9-15,[9.574681282043457]
514,9-16,[2.8821239471435547]
515,9-17,[11.18269157409668]
516,9-18,[7.553788185119629]
517,9-19,[9.624143600463867]
518,9-21,[9.629469871520996]
519,9-22,[7.502741813659668]
520,9-23,[10.53404712677002]
521,9-24,[6.431578636169434]
522,9-25,[8.521868705749512]
523,9-26,[9.464385986328125]
524,9-27,[9.461183547973633]
525,9-28,[11.033873558044434]
526,9-29,[4.834710121154785]
527,9-30,[5.914406776428223]
528,9-31,[8.031343460083008]
529,9-32,[7.276270866394043]
530,9-34,[6.040831565856934]
531,9-35,[11.838430404663086]
532,9-36,[10.632688522338867]
533,9-37,[4.581635475158691]
534,9-38,[11.77493953704834]
535,9-39,[8.77374267578125]
536,9-40,[5.906748294830322]
537,9-41,[6.947317123413086]
538,9-42,[8.905611038208008]
539,9-43,[7.582773208618164]
540,9-44,[6.749782562255859]
541,9-45,[2.646646738052368]
542,9-47,[8.87786865234375]
543,9-48,[12.0115966796875]
544,9-49,[6.088473320007324]
545,9-50,[10.069119453430176]
546,9-51,[8.809002876281738]
547,9-52,[10.767913818359375]
548,9-53,[9.80473518371582]
549,9-54,[7.772447109222412]
550,9-55,[7.19097900390625]
551,9-56,[11.91992473602295]
552,9-57,[7.595821380615234]
553,9-58,[4.509202480316162]
554,10-0,[10.433576583862305]
555,10-1,[6.097281455993652]
556,10-2,[3.7555575370788574]
557,10-3,[9.042688369750977]
558,10-4,[7.80817985534668]
559,10-5,[6.303003311157227]
560,10-6,[3.626018524169922]
561,10-7,[9.919272422790527]
562,10-8,[6.395629405975342]
563,10-9,[3.9090423583984375]
564,10-10,[8.481196403503418]
565,10-11,[7.352499961853027]
566,10-13,[7.673253536224365]
567,10-14,[6.215626239776611]
568,10-15,[11.864248275756836]
569,10-16,[7.725407600402832]
570,10-17,[8.515052795410156]
571,10-18,[3.8844103813171387]
572,10-19,[8.029643058776855]
573,10-20,[13.811895370483398]
574,10-21,[7.108838081359863]
575,10-22,[10.580751419067383]
576,10-23,[7.374569892883301]
577,10-24,[9.538804054260254]
578,10-26,[8.045365333557129]
579,10-27,[10.926876068115234]
580,10-28,[8.215434074401855]
581,10-29,[4.86969518661499]
582,10-30,[7.0173234939575195]
583,10-31,[7.659517288208008]
584,10-32,[7.737336158752441]
585,10-33,[5.83022403717041]
586,10-34,[6.751893997192383]
587,10-35,[8.274068832397461]
588,10-36,[7.368656158447266]
589,10-37,[6.000195026397705]
590,10-39,[10.966877937316895]
591,10-40,[2.849457025527954]
592,10-41,[9.78962516784668]
593,10-42,[4.364209175109863]
594,10-43,[8.66804313659668]
595,10-44,[0.8206237554550171]
596,10-45,[9.082515716552734]
597,10-46,[8.819330215454102]
598,10-47,[10.488666534423828]
599,10-48,[8.459320068359375]
600,10-49,[8.270013809204102]
601,10-50,[11.059098243713379]
602,10-52,[6.607805252075195]
603,10-53,[11.414332389831543]
604,10-54,[9.555219650268555]
605,10-55,[7.735745429992676]
606,10-56,[3.210456371307373]
607,10-57,[10.09798526763916]
608,10-58,[4.9653239250183105]
609,10-59,[9.207822799682617]
610,11-0,[8.842231750488281]
611,11-1,[11.007375717163086]
612,11-2,[13.103763580322266]
613,11-3,[10.947237968444824]
614,11-5,[5.923583984375]
615,11-6,[13.790790557861328]
616,11-7,[9.40543270111084]
617,11-8,[12.612436294555664]
618,11-9,[9.954094886779785]
619,11-10,[7.761392593383789]
620,11-11,[12.075967788696289]
621,11-12,[6.9923553466796875]
622,11-13,[3.780272960662842]
623,11-14,[12.396642684936523]
624,11-15,[6.898191928863525]
625,11-16,[5.105841636657715]
626,11-17,[6.315447807312012]
627,11-19,[7.0688629150390625]
628,11-20,[8.665470123291016]
629,11-21,[7.737256050109863]
630,11-22,[6.5763044357299805]
631,11-23,[7.744799613952637]
632,11-24,[6.2679057121276855]
633,11-25,[6.753411769866943]
634,11-26,[5.913509845733643]
635,11-27,[9.924647331237793]
