,Time,Count
0,0-0,[11.347349166870117]
1,0-1,[9.288333892822266]
2,0-2,[10.159998893737793]
3,0-3,[10.049731254577637]
4,0-4,[9.692117691040039]
5,0-5,[10.923285484313965]
6,0-6,[10.235058784484863]
7,0-7,[9.789836883544922]
8,0-9,[4.448733329772949]
9,0-10,[8.122843742370605]
10,0-11,[7.900282859802246]
11,0-12,[12.51759147644043]
12,0-13,[8.912727355957031]
13,0-14,[8.500197410583496]
14,0-15,[11.496554374694824]
15,0-16,[8.282055854797363]
16,0-17,[6.143218040466309]
17,0-18,[8.96048355102539]
18,0-19,[7.847225189208984]
19,0-20,[7.129909515380859]
20,0-22,[6.952120780944824]
21,0-23,[7.368472099304199]
22,0-24,[6.472546577453613]
23,0-25,[11.119241714477539]
24,0-26,[7.942108154296875]
25,0-27,[8.761022567749023]
26,0-28,[7.257589340209961]
27,0-29,[4.5464677810668945]
28,0-30,[8.455464363098145]
29,0-31,[6.543720245361328]
30,0-32,[10.71493148803711]
31,0-33,[5.815844535827637]
32,0-35,[8.581515312194824]
33,0-36,[6.905251502990723]
34,0-37,[12.244802474975586]
35,0-38,[3.642207145690918]
36,0-39,[8.784683227539062]
37,0-40,[3.2319695949554443]
38,0-41,[9.967913627624512]
39,0-42,[6.721413612365723]
40,0-43,[10.825047492980957]
41,0-44,[5.317896842956543]
42,0-45,[8.525186538696289]
43,0-46,[8.11878776550293]
44,0-48,[15.551002502441406]
45,0-49,[4.392891883850098]
46,0-50,[8.42816162109375]
47,0-51,[6.3193817138671875]
48,0-52,[9.224132537841797]
49,0-53,[11.795981407165527]
50,0-54,[9.211382865905762]
51,0-55,[9.948131561279297]
52,0-56,[6.111064910888672]
53,0-57,[6.800467491149902]
54,0-58,[6.292661666870117]
55,0-59,[6.184188365936279]
56,1-0,[9.584604263305664]
57,1-2,[10.087300300598145]
58,1-3,[4.434747695922852]
59,1-4,[13.356393814086914]
60,1-5,[10.122291564941406]
61,1-6,[7.625852584838867]
62,1-7,[3.8433756828308105]
63,1-8,[8.509441375732422]
64,1-9,[10.651732444763184]
65,1-10,[8.084659576416016]
66,1-11,[7.501952648162842]
67,1-12,[8.96963882446289]
68,1-13,[7.511857032775879]
69,1-15,[9.386756896972656]
70,1-16,[8.660219192504883]
71,1-17,[9.305771827697754]
72,1-18,[10.88422966003418]
73,1-19,[4.058274745941162]
74,1-20,[8.622987747192383]
75,1-21,[7.2474684715271]
76,1-22,[3.8677256107330322]
77,1-23,[5.352645397186279]
78,1-24,[9.08381462097168]
79,1-25,[9.52983283996582]
80,1-26,[9.717761039733887]
81,1-28,[7.972210884094238]
82,1-29,[9.752528190612793]
83,1-30,[7.885862350463867]
84,1-31,[10.279817581176758]
85,1-32,[6.75992488861084]
86,1-33,[7.118923187255859]
87,1-34,[8.801565170288086]
88,1-35,[6.217436790466309]
89,1-36,[5.720168113708496]
90,1-37,[9.394740104675293]
91,1-38,[7.631802558898926]
92,1-39,[10.454591751098633]
93,1-41,[6.816300868988037]
94,1-42,[9.952469825744629]
95,1-43,[5.519331932067871]
96,1-44,[5.523336410522461]
97,1-45,[5.977015972137451]
98,1-46,[7.41717004776001]
99,1-47,[9.619075775146484]
100,1-48,[6.807526588439941]
101,1-49,[8.758100509643555]
102,1-50,[9.486861228942871]
103,1-51,[10.971149444580078]
104,1-52,[9.035575866699219]
105,1-54,[3.4301700592041016]
106,1-55,[1.941396713256836]
107,1-56,[7.788896560668945]
108,1-57,[9.7472562789917]
109,1-58,[7.913741111755371]
110,1-59,[9.981843948364258]
111,2-0,[4.551662445068359]
112,2-1,[7.771955966949463]
113,2-2,[5.779163360595703]
114,2-3,[4.632389545440674]
115,2-4,[8.544576644897461]
116,2-5,[4.257760047912598]
117,2-6,[9.113697052001953]
118,2-8,[8.399202346801758]
119,2-9,[6.649617671966553]
120,2-10,[5.078372478485107]
121,2-11,[5.745423316955566]
122,2-12,[11.264413833618164]
123,2-13,[3.2609009742736816]
124,2-14,[6.244687080383301]
125,2-15,[12.448824882507324]
126,2-16,[6.998704433441162]
127,2-17,[6.251993179321289]
128,2-18,[7.130305290222168]
129,2-20,[9.330278396606445]
130,2-21,[2.2898218631744385]
131,2-22,[1.8144992589950562]
