,Time,Count
0,0-0,[9.624711990356445]
1,0-1,[6.608353614807129]
2,0-2,[7.600399494171143]
3,0-3,[3.142700672149658]
4,0-4,[8.172500610351562]
5,0-6,[8.702598571777344]
6,0-7,[11.739888191223145]
7,0-8,[9.003826141357422]
8,0-9,[6.822406768798828]
9,0-10,[6.975955963134766]
10,0-11,[11.420138359069824]
11,0-12,[10.310867309570312]
12,0-13,[10.52486515045166]
13,0-14,[5.177516937255859]
14,0-15,[10.61364459991455]
15,0-16,[10.063146591186523]
16,0-17,[7.703046798706055]
17,0-18,[3.833141326904297]
18,0-20,[10.291200637817383]
19,0-21,[3.594050884246826]
20,0-22,[8.169106483459473]
21,0-23,[14.73013687133789]
22,0-24,[8.678518295288086]
23,0-25,[11.767610549926758]
24,0-26,[9.02992057800293]
25,0-27,[6.576916694641113]
26,0-28,[12.321574211120605]
27,0-29,[13.503140449523926]
28,0-30,[7.182641983032227]
29,0-31,[11.142334938049316]
30,0-33,[4.154659271240234]
31,0-34,[8.276124000549316]
32,0-35,[6.7985992431640625]
33,0-36,[11.115570068359375]
34,0-37,[5.987111568450928]
35,0-38,[14.985725402832031]
36,0-39,[4.888425350189209]
37,0-40,[11.707313537597656]
38,0-41,[5.402652263641357]
39,0-42,[9.04165267944336]
40,0-43,[6.223046779632568]
41,0-44,[6.931457042694092]
42,0-46,[8.737184524536133]
43,0-47,[11.077924728393555]
44,0-48,[5.649267196655273]
45,0-49,[5.519496440887451]
46,0-50,[6.9488935470581055]
47,0-51,[8.078680038452148]
48,0-52,[11.477899551391602]
49,0-53,[15.931201934814453]
50,0-54,[3.7103753089904785]
51,0-55,[4.916394233703613]
52,0-56,[6.9662251472473145]
53,0-57,[7.76576566696167]
54,0-59,[8.224254608154297]
55,1-0,[10.401411056518555]
56,1-1,[3.537835121154785]
57,1-2,[7.605154991149902]
58,1-3,[4.564453601837158]
59,1-4,[9.80397891998291]
60,1-5,[10.405635833740234]
61,1-6,[14.498754501342773]
62,1-7,[10.003478050231934]
63,1-8,[2.7710142135620117]
64,1-9,[4.7375030517578125]
65,1-10,[7.155947685241699]
66,1-12,[6.865225791931152]
67,1-13,[6.134744644165039]
68,1-14,[9.742101669311523]
69,1-15,[7.355475902557373]
70,1-16,[7.44081974029541]
71,1-17,[10.498419761657715]
72,1-18,[12.231731414794922]
73,1-19,[5.857831001281738]
74,1-20,[7.991353988647461]
75,1-21,[5.491156578063965]
76,1-22,[8.280654907226562]
77,1-23,[10.713685035705566]
78,1-25,[10.383834838867188]
79,1-26,[11.141080856323242]
80,1-27,[3.739047050476074]
81,1-28,[8.358813285827637]
82,1-29,[7.380414009094238]
83,1-30,[6.976454734802246]
84,1-31,[6.879019737243652]
