,Time,Count
0,0-0,[10.744046211242676]
1,0-1,[11.965677261352539]
2,0-2,[11.497112274169922]
3,0-3,[6.314528465270996]
4,0-5,[12.2415189743042]
5,0-6,[9.455748558044434]
6,0-7,[8.097607612609863]
7,0-8,[6.25008487701416]
8,0-9,[8.338597297668457]
9,0-10,[6.511686325073242]
10,0-11,[11.006059646606445]
11,0-12,[10.48391056060791]
12,0-13,[8.50058650970459]
13,0-14,[6.143857955932617]
14,0-15,[10.725846290588379]
15,0-16,[8.933679580688477]
16,0-18,[6.104974746704102]
17,0-19,[2.6751747131347656]
18,0-20,[11.055192947387695]
19,0-21,[3.7211809158325195]
20,0-22,[8.377689361572266]
21,0-23,[9.671369552612305]
22,0-24,[2.749236583709717]
23,0-25,[4.7606682777404785]
24,0-26,[7.5717878341674805]
25,0-27,[6.815975189208984]
26,0-28,[4.929515838623047]
27,0-29,[9.151461601257324]
28,0-31,[7.98490047454834]
29,0-32,[7.494375228881836]
30,0-33,[9.718894958496094]
31,0-34,[11.856298446655273]
32,0-35,[9.613033294677734]
33,0-36,[7.149229049682617]
34,0-37,[7.638073921203613]
35,0-38,[13.591534614562988]
36,0-39,[5.265562534332275]
37,0-40,[8.181722640991211]
38,0-41,[6.702693462371826]
39,0-42,[12.943199157714844]
40,0-44,[6.982173919677734]
41,0-45,[10.109838485717773]
42,0-46,[5.761528968811035]
43,0-47,[6.22694730758667]
44,0-48,[9.669451713562012]
45,0-49,[8.650260925292969]
46,0-50,[9.113885879516602]
47,0-51,[8.876310348510742]
48,0-52,[6.472509384155273]
49,0-53,[7.774423122406006]
50,0-54,[7.0710368156433105]
51,0-55,[7.21688175201416]
52,0-57,[9.87282943725586]
53,0-58,[9.187555313110352]
54,0-59,[7.3014984130859375]
55,1-0,[12.14169692993164]
56,1-1,[6.582061767578125]
57,1-2,[7.070745468139648]
58,1-3,[13.716492652893066]
59,1-4,[8.01406478881836]
60,1-5,[7.736490249633789]
61,1-6,[5.487607955932617]
62,1-7,[9.948948860168457]
63,1-8,[6.559786796569824]
64,1-10,[8.979016304016113]
65,1-11,[9.443852424621582]
66,1-12,[8.233460426330566]
67,1-13,[10.356489181518555]
68,1-14,[7.592503547668457]
69,1-15,[8.183262825012207]
70,1-16,[4.70145320892334]
71,1-17,[4.5620808601379395]
72,1-18,[7.135654449462891]
73,1-19,[8.02591609954834]
74,1-20,[8.01917839050293]
75,1-21,[8.321634292602539]
76,1-23,[8.409893989562988]
77,1-24,[11.908879280090332]
78,1-25,[9.475919723510742]
