,Time,Count
0,0-0,[11.397117614746094]
1,0-1,[8.293516159057617]
2,0-3,[11.416183471679688]
3,0-4,[11.394750595092773]
4,0-5,[14.341387748718262]
5,0-6,[8.30265998840332]
6,0-7,[6.7547407150268555]
7,0-8,[11.22849178314209]
8,0-9,[5.727540493011475]
9,0-10,[6.363098621368408]
10,0-11,[9.378795623779297]
11,0-12,[10.00257396697998]
12,0-13,[11.121125221252441]
13,0-14,[7.01397705078125]
14,0-16,[7.653045177459717]
15,0-17,[7.285161018371582]
16,0-18,[5.197847366333008]
17,0-19,[9.5331392288208]
18,0-20,[9.269043922424316]
19,0-21,[10.53095817565918]
20,0-22,[7.1579742431640625]
21,0-23,[12.803080558776855]
22,0-24,[6.324378967285156]
23,0-25,[10.205022811889648]
24,0-26,[7.153928756713867]
25,0-27,[7.625269889831543]
26,0-29,[7.034463882446289]
27,0-30,[13.788756370544434]
28,0-31,[9.112006187438965]
29,0-32,[9.753005981445312]
30,0-33,[6.454900741577148]
31,0-34,[8.802717208862305]
32,0-35,[4.909018516540527]
33,0-36,[7.969548225402832]
34,0-37,[3.1566450595855713]
35,0-38,[11.534640312194824]
36,0-39,[5.607301712036133]
37,0-40,[11.105868339538574]
38,0-42,[11.223697662353516]
39,0-43,[10.11343002319336]
40,0-44,[12.606093406677246]
41,0-45,[12.738333702087402]
42,0-46,[10.361150741577148]
43,0-47,[8.783716201782227]
44,0-48,[12.103357315063477]
45,0-49,[12.832870483398438]
46,0-50,[11.260747909545898]
47,0-51,[9.920812606811523]
48,0-52,[11.06784725189209]
49,0-53,[10.780302047729492]
50,0-55,[9.580926895141602]
51,0-56,[9.020726203918457]
52,0-57,[6.103045463562012]
53,0-58,[9.464388847351074]
54,0-59,[7.620695114135742]
55,1-0,[11.082839965820312]
56,1-1,[11.798558235168457]
57,1-2,[11.770276069641113]
58,1-3,[11.544219970703125]
59,1-4,[4.95656681060791]
60,1-5,[7.687504291534424]
61,1-6,[3.2063851356506348]
62,1-8,[8.428926467895508]
63,1-9,[6.809765815734863]
64,1-10,[4.953861236572266]
65,1-11,[8.541570663452148]
66,1-12,[7.423911094665527]
67,1-13,[6.032090187072754]
68,1-14,[13.263178825378418]
69,1-15,[7.37332820892334]
70,1-16,[7.022918701171875]
71,1-17,[9.804593086242676]
72,1-18,[4.069797992706299]
73,1-19,[7.6489644050598145]
74,1-21,[5.073421478271484]
75,1-22,[6.0920257568359375]
76,1-23,[2.550442934036255]
77,1-24,[5.2545552253723145]
78,1-25,[11.10500717163086]
79,1-26,[8.538433074951172]
80,1-27,[6.109633922576904]
81,1-28,[9.000421524047852]
82,1-29,[6.4772233963012695]
83,1-30,[5.532604217529297]
84,1-31,[14.279376029968262]
85,1-32,[9.294017791748047]
86,1-33,[13.082877159118652]
87,1-35,[6.565881729125977]
88,1-36,[5.724891185760498]
89,1-37,[6.9478254318237305]
90,1-38,[8.112367630004883]
91,1-39,[7.618598461151123]
92,1-40,[10.329700469970703]
93,1-41,[7.623818874359131]
94,1-42,[9.41609001159668]
95,1-43,[7.650827407836914]
96,1-44,[11.40239429473877]
97,1-45,[7.25474739074707]
98,1-46,[7.65492057800293]
99,1-48,[-0.3773362636566162]
100,1-49,[12.741493225097656]
101,1-50,[6.219794750213623]
102,1-51,[11.831826210021973]
103,1-52,[12.416175842285156]
104,1-53,[5.214427471160889]
105,1-54,[8.284704208374023]
106,1-55,[10.228994369506836]
107,1-56,[7.983136177062988]
108,1-57,[4.421444416046143]
109,1-58,[7.813799858093262]
110,1-59,[8.564895629882812]
111,2-1,[7.612321853637695]
112,2-2,[7.222393989562988]
113,2-3,[13.054014205932617]
114,2-4,[5.9982590675354]
115,2-5,[5.971344947814941]
116,2-6,[9.320661544799805]
117,2-7,[5.314632415771484]
118,2-8,[4.5930938720703125]
119,2-9,[10.407963752746582]
120,2-10,[6.101033687591553]
121,2-11,[10.328989028930664]
122,2-12,[6.155340194702148]
123,2-14,[5.169425010681152]
124,2-15,[11.262615203857422]
125,2-16,[9.584329605102539]
126,2-17,[11.848424911499023]
127,2-18,[8.166211128234863]
128,2-19,[14.158281326293945]
129,2-20,[8.693161010742188]
130,2-21,[5.038168907165527]
131,2-22,[9.188060760498047]
132,2-23,[10.812224388122559]
133,2-24,[8.384737968444824]
134,2-25,[7.220430374145508]
135,2-27,[11.9247465133667]
136,2-28,[6.294031143188477]
137,2-29,[11.832714080810547]
138,2-30,[6.735473155975342]
139,2-31,[9.760939598083496]
140,2-32,[7.994086265563965]
141,2-33,[6.790257930755615]
142,2-34,[12.560722351074219]
143,2-35,[6.46441125869751]
144,2-36,[6.662168025970459]
145,2-37,[9.227458953857422]
146,2-38,[9.020517349243164]
147,2-39,[1.645202875137329]
148,2-41,[10.153421401977539]
149,2-42,[7.063528537750244]
150,2-43,[10.533323287963867]
151,2-44,[13.968653678894043]
152,2-45,[7.700876235961914]
153,2-46,[11.972759246826172]
154,2-47,[6.860638618469238]
155,2-48,[8.906131744384766]
156,2-49,[11.307018280029297]
157,2-50,[7.001237392425537]
158,2-51,[11.630265235900879]
159,2-52,[4.207603454589844]
160,2-54,[3.2868518829345703]
161,2-55,[3.9324796199798584]
162,2-56,[9.907772064208984]
163,2-57,[5.092352390289307]
164,2-58,[12.053727149963379]
165,2-59,[7.417430400848389]
166,3-0,[11.654029846191406]
167,3-1,[12.38377571105957]
168,3-2,[7.818416595458984]
169,3-3,[4.450984001159668]
170,3-4,[5.175615310668945]
171,3-5,[10.63719654083252]
172,3-7,[11.610952377319336]
173,3-8,[7.3317060470581055]
174,3-9,[7.834237575531006]
175,3-10,[5.997148036956787]
176,3-11,[10.53274917602539]
177,3-12,[5.20526123046875]
178,3-13,[4.741753578186035]
179,3-14,[5.6073408126831055]
180,3-15,[6.301527976989746]
181,3-16,[6.960309028625488]
182,3-17,[13.181551933288574]
183,3-18,[11.28756046295166]
184,3-19,[5.62550687789917]
185,3-21,[6.6010847091674805]
186,3-22,[10.72336196899414]
187,3-23,[5.0457444190979]
188,3-24,[7.0110554695129395]
189,3-25,[10.023148536682129]
190,3-26,[6.16241979598999]
191,3-27,[10.527894020080566]
192,3-28,[8.123289108276367]
193,3-29,[2.7301063537597656]
194,3-30,[8.286462783813477]
195,3-31,[8.535573959350586]
196,3-32,[8.329520225524902]
197,3-34,[6.331934928894043]
198,3-35,[5.7342848777771]
199,3-36,[10.687063217163086]
200,3-37,[9.477287292480469]
201,3-38,[6.2568440437316895]
202,3-39,[8.120132446289062]
203,3-40,[5.399147033691406]
204,3-41,[6.574519157409668]
205,3-42,[10.026351928710938]
206,3-43,[7.57504415512085]
207,3-44,[13.11876106262207]
208,3-45,[5.608562469482422]
209,3-47,[9.023061752319336]
210,3-48,[7.6360249519348145]
211,3-49,[9.44752311706543]
212,3-50,[9.49116325378418]
213,3-51,[8.30434799194336]
214,3-52,[2.692336082458496]
215,3-53,[7.362741470336914]
216,3-54,[2.285108804702759]
217,3-55,[9.783169746398926]
218,3-56,[6.959848880767822]
219,3-57,[9.39171028137207]
220,3-58,[7.636209487915039]
221,4-0,[11.69299030303955]
222,4-1,[6.587773323059082]
223,4-2,[8.738346099853516]
224,4-3,[6.077613830566406]
225,4-4,[11.52775764465332]
226,4-5,[6.438281536102295]
227,4-6,[5.76741886138916]
228,4-7,[5.188116550445557]
229,4-8,[3.8570404052734375]
230,4-9,[12.354397773742676]
231,4-10,[8.465676307678223]
232,4-11,[14.871527671813965]
233,4-13,[10.0135498046875]
234,4-14,[8.396239280700684]
235,4-15,[6.093403339385986]
236,4-16,[7.947839736938477]
237,4-17,[6.3855977058410645]
238,4-18,[8.250557899475098]
239,4-19,[6.841719150543213]
240,4-20,[7.161399841308594]
241,4-21,[11.970712661743164]
242,4-22,[9.855562210083008]
243,4-23,[5.953425407409668]
244,4-24,[4.261135101318359]
245,4-26,[1.1412129402160645]
246,4-27,[6.535438537597656]
247,4-28,[8.10875129699707]
248,4-29,[10.588632583618164]
249,4-30,[10.90878677368164]
250,4-31,[8.394922256469727]
251,4-32,[10.369361877441406]
252,4-33,[14.108209609985352]
253,4-34,[10.630681037902832]
254,4-35,[7.665044784545898]
255,4-36,[9.427030563354492]
256,4-37,[8.939157485961914]
257,4-39,[7.420642375946045]
258,4-40,[5.528836727142334]
259,4-41,[7.845338821411133]
260,4-42,[9.434127807617188]
261,4-43,[11.452011108398438]
262,4-44,[7.2892231941223145]
263,4-45,[11.983835220336914]
264,4-46,[4.718173027038574]
265,4-47,[3.781188488006592]
266,4-48,[9.123838424682617]
267,4-49,[6.5459747314453125]
268,4-50,[10.83942985534668]
269,4-52,[10.851984024047852]
270,4-53,[8.882118225097656]
271,4-54,[10.48287582397461]
272,4-55,[6.596858978271484]
273,4-56,[6.582390785217285]
274,4-57,[10.205461502075195]
275,4-58,[8.355308532714844]
276,4-59,[5.2251081466674805]
277,5-0,[8.560667991638184]
278,5-1,[3.55618953704834]
279,5-2,[6.834980487823486]
280,5-3,[10.040231704711914]
281,5-5,[11.720033645629883]
282,5-6,[8.140251159667969]
283,5-7,[11.374810218811035]
284,5-8,[4.697038650512695]
285,5-9,[9.981300354003906]
286,5-10,[8.755751609802246]
287,5-11,[6.724061012268066]
288,5-12,[5.590564250946045]
289,5-13,[9.36020278930664]
290,5-14,[7.84402322769165]
291,5-15,[11.229776382446289]
292,5-16,[8.071144104003906]
293,5-18,[9.951257705688477]
294,5-19,[6.161459445953369]
295,5-20,[10.65214729309082]
296,5-21,[7.948132038116455]
297,5-22,[8.06429672241211]
298,5-23,[4.017355918884277]
299,5-24,[10.097175598144531]
300,5-25,[6.626387596130371]
301,5-26,[10.520800590515137]
302,5-27,[8.485154151916504]
303,5-28,[7.787152290344238]
304,5-29,[10.602834701538086]
305,5-31,[7.356437683105469]
306,5-32,[6.725160598754883]
307,5-33,[3.7186508178710938]
308,5-34,[6.196516036987305]
309,5-35,[7.800878524780273]
310,5-36,[8.720538139343262]
311,5-37,[6.84736967086792]
312,5-38,[8.56610107421875]
313,5-39,[6.7829670906066895]
314,5-40,[6.95561408996582]
315,5-41,[11.280928611755371]
316,5-42,[7.578908920288086]
317,5-44,[7.460197448730469]
318,5-45,[13.013071060180664]
319,5-46,[6.103768348693848]
320,5-47,[11.364649772644043]
321,5-48,[13.26567554473877]
322,5-49,[12.577884674072266]
323,5-50,[9.30014419555664]
324,5-51,[6.623560428619385]
325,5-52,[7.781466484069824]
326,5-53,[12.678013801574707]
327,5-54,[12.997435569763184]
328,5-55,[7.513250350952148]
329,5-57,[13.047540664672852]
330,5-58,[14.464197158813477]
331,5-59,[8.411178588867188]
332,6-0,[11.522944450378418]
333,6-1,[8.388009071350098]
334,6-2,[7.113315582275391]
335,6-3,[9.529783248901367]
336,6-4,[4.571972846984863]
337,6-5,[5.611586570739746]
338,6-6,[5.035524845123291]
339,6-7,[9.624720573425293]
340,6-8,[6.6374664306640625]
341,6-10,[4.144167423248291]
342,6-11,[5.050150394439697]
343,6-12,[3.205507755279541]
344,6-13,[13.827274322509766]
345,6-14,[4.823125839233398]
346,6-15,[10.552825927734375]
347,6-16,[6.444310188293457]
348,6-17,[6.928009033203125]
349,6-18,[9.186380386352539]
350,6-19,[12.462327003479004]
351,6-20,[6.110095500946045]
352,6-21,[6.973435401916504]
353,6-22,[7.1655168533325195]
354,6-24,[6.571394443511963]
355,6-25,[6.774273872375488]
356,6-26,[10.160737991333008]
357,6-27,[12.02239990234375]
358,6-28,[7.060206413269043]
359,6-29,[6.985551834106445]
360,6-30,[12.0303955078125]
361,6-31,[6.3641557693481445]
362,6-32,[12.836843490600586]
363,6-33,[5.079086780548096]
364,6-34,[11.755069732666016]
365,6-35,[7.816941738128662]
366,6-37,[5.5585408210754395]
367,6-38,[12.289597511291504]
368,6-39,[8.642875671386719]
369,6-40,[11.02044677734375]
370,6-41,[4.552403926849365]
371,6-42,[5.476871967315674]
372,6-43,[6.126625061035156]
373,6-44,[10.82341480255127]
374,6-45,[6.426192283630371]
375,6-46,[11.274782180786133]
376,6-47,[6.740077018737793]
377,6-48,[11.064911842346191]
378,6-50,[3.7329864501953125]
379,6-51,[12.0243501663208]
380,6-52,[10.641435623168945]
381,6-53,[8.347865104675293]
382,6-54,[5.634916305541992]
383,6-55,[8.0634183883667]
384,6-56,[6.924350261688232]
385,6-57,[11.396199226379395]
386,6-58,[10.117576599121094]
387,6-59,[13.419048309326172]
388,7-0,[9.483606338500977]
389,7-1,[7.242522239685059]
390,7-3,[5.49215030670166]
391,7-4,[7.281760215759277]
392,7-5,[5.109436511993408]
393,7-6,[13.847890853881836]
394,7-7,[7.615085601806641]
395,7-8,[7.432967185974121]
396,7-9,[12.846115112304688]
397,7-10,[9.447010040283203]
398,7-11,[7.311506271362305]
399,7-12,[5.161775588989258]
400,7-13,[10.496543884277344]
401,7-14,[8.343191146850586]
402,7-16,[5.13647985458374]
403,7-17,[12.727594375610352]
404,7-18,[7.513530731201172]
405,7-19,[14.612625122070312]
406,7-20,[14.811641693115234]
407,7-21,[8.961405754089355]
408,7-22,[10.860664367675781]
409,7-23,[10.370198249816895]
410,7-24,[6.71547794342041]
411,7-25,[9.047916412353516]
412,7-26,[9.122100830078125]
413,7-27,[4.422891616821289]
414,7-29,[7.936391830444336]
415,7-30,[9.8179292678833]
416,7-31,[9.027301788330078]
417,7-32,[7.486334800720215]
418,7-33,[9.297974586486816]
419,7-34,[12.147517204284668]
420,7-35,[7.54600715637207]
421,7-36,[10.536375045776367]
422,7-37,[8.65821647644043]
423,7-38,[7.950965404510498]
424,7-39,[11.337897300720215]
425,7-40,[7.241733551025391]
426,7-42,[5.398885726928711]
427,7-43,[6.456655502319336]
428,7-44,[9.461185455322266]
429,7-45,[7.43862247467041]
430,7-46,[5.8849639892578125]
431,7-47,[11.317450523376465]
432,7-48,[9.35557746887207]
433,7-49,[7.698655128479004]
434,7-50,[11.695585250854492]
435,7-51,[4.191659450531006]
436,7-52,[7.566712379455566]
437,7-53,[7.089395523071289]
438,7-55,[12.460843086242676]
439,7-56,[11.564553260803223]
440,7-57,[6.560301780700684]
441,7-58,[10.51562213897705]
442,7-59,[8.672416687011719]
443,8-0,[5.118570804595947]
444,8-1,[7.229063510894775]
445,8-2,[9.245201110839844]
446,8-3,[5.6982879638671875]
447,8-4,[6.018355369567871]
448,8-5,[9.792009353637695]
449,8-6,[7.619994640350342]
450,8-8,[10.523408889770508]
451,8-9,[8.814605712890625]
452,8-10,[6.073619842529297]
453,8-11,[10.673044204711914]
454,8-12,[9.184462547302246]
455,8-13,[9.415672302246094]
456,8-14,[11.388824462890625]
457,8-15,[15.03884506225586]
458,8-16,[11.378732681274414]
459,8-17,[6.39024543762207]
460,8-18,[6.5463104248046875]
461,8-19,[6.764090061187744]
462,8-21,[9.57511043548584]
463,8-22,[13.586467742919922]
464,8-23,[8.445034980773926]
465,8-24,[6.967066287994385]
466,8-25,[11.429580688476562]
467,8-26,[7.859285354614258]
468,8-27,[8.99059009552002]
469,8-28,[9.242286682128906]
470,8-29,[7.7487030029296875]
471,8-30,[9.32740306854248]
472,8-31,[7.226832389831543]
473,8-32,[7.285905838012695]
474,8-34,[7.22292947769165]
475,8-35,[9.637910842895508]
476,8-36,[5.86574125289917]
477,8-37,[6.669498443603516]
478,8-38,[7.116131782531738]
479,8-39,[6.604325294494629]
480,8-40,[5.504557132720947]
481,8-41,[7.1346821784973145]
482,8-42,[7.184305191040039]
483,8-43,[6.365545272827148]
484,8-44,[10.007338523864746]
485,8-45,[8.533485412597656]
486,8-47,[6.7330474853515625]
487,8-48,[5.67379903793335]
488,8-49,[8.501479148864746]
489,8-50,[7.445136070251465]
490,8-51,[9.092284202575684]
491,8-52,[6.249313831329346]
492,8-53,[6.155167579650879]
493,8-54,[9.866543769836426]
494,8-55,[6.707247734069824]
495,8-56,[9.668828964233398]
496,8-57,[6.197936058044434]
497,8-58,[11.605162620544434]
498,8-59,[7.570900917053223]
499,9-1,[4.51492166519165]
500,9-2,[8.935611724853516]
501,9-3,[9.210267066955566]
502,9-4,[10.61761474609375]
503,9-5,[9.368309020996094]
504,9-6,[10.703628540039062]
505,9-7,[2.8190560340881348]
506,9-8,[4.535989284515381]
507,9-9,[9.668105125427246]
508,9-10,[12.145702362060547]
509,9-11,[5.261693954467773]
510,9-12,[9.131217956542969]
511,9-14,[3.0079517364501953]
512,9-15,[5.967770099639893]
513,9-16,[11.835396766662598]
