,Time,Count
0,0-1,[5.975539207458496]
1,0-2,[8.327678680419922]
2,0-3,[9.818114280700684]
3,0-4,[14.165685653686523]
4,0-5,[7.10817813873291]
5,0-6,[4.1936564445495605]
6,0-7,[6.206631183624268]
7,0-8,[5.497442722320557]
8,0-9,[5.638450622558594]
9,0-10,[10.879350662231445]
10,0-11,[8.653959274291992]
11,0-12,[10.928607940673828]
12,0-14,[11.29596996307373]
13,0-15,[6.193792343139648]
14,0-16,[6.031428813934326]
15,0-17,[10.868361473083496]
16,0-18,[11.75737476348877]
17,0-19,[11.096735954284668]
18,0-20,[7.569147109985352]
19,0-21,[8.622194290161133]
20,0-22,[10.913333892822266]
21,0-23,[7.64777135848999]
22,0-24,[5.956457138061523]
23,0-25,[5.936004161834717]
24,0-26,[10.776220321655273]
25,0-28,[8.819764137268066]
26,0-29,[9.2655668258667]
27,0-30,[9.900189399719238]
28,0-31,[8.337915420532227]
29,0-32,[11.847308158874512]
30,0-33,[8.48656940460205]
31,0-34,[8.188850402832031]
32,0-35,[8.829595565795898]
33,0-36,[7.5249786376953125]
34,0-37,[8.145889282226562]
35,0-38,[8.913810729980469]
36,0-39,[7.367934226989746]
37,0-41,[6.271877288818359]
38,0-42,[8.644746780395508]
39,0-43,[11.177742004394531]
40,0-44,[6.310118675231934]
41,0-45,[3.9060938358306885]
42,0-46,[11.015912055969238]
43,0-47,[6.140267372131348]
44,0-48,[5.435011386871338]
45,0-49,[9.813426971435547]
46,0-50,[6.889091491699219]
47,0-51,[9.904725074768066]
48,0-52,[9.232678413391113]
49,0-54,[8.818981170654297]
50,0-55,[6.134361267089844]
51,0-56,[15.403696060180664]
52,0-57,[5.785655975341797]
53,0-58,[10.664398193359375]
54,0-59,[9.977169036865234]
55,1-0,[13.116575241088867]
56,1-1,[8.266112327575684]
57,1-2,[11.287291526794434]
58,1-3,[8.484764099121094]
59,1-4,[8.686606407165527]
60,1-5,[6.678966999053955]
61,1-7,[13.27662467956543]
62,1-8,[10.918018341064453]
63,1-9,[9.568962097167969]
64,1-10,[6.998934745788574]
65,1-11,[8.393726348876953]
66,1-12,[9.15250015258789]
67,1-13,[7.204445838928223]
68,1-14,[14.192549705505371]
69,1-15,[8.404254913330078]
70,1-16,[5.215354919433594]
71,1-17,[12.526887893676758]
72,1-18,[11.465826988220215]
73,1-20,[8.898138046264648]
74,1-21,[13.324858665466309]
75,1-22,[10.542779922485352]
76,1-23,[11.677640914916992]
77,1-24,[8.375393867492676]
78,1-25,[8.583088874816895]
79,1-26,[8.96495246887207]
80,1-27,[10.036468505859375]
81,1-28,[6.429439544677734]
