,Time,Count
0,0-0,[6.523378372192383]
1,0-1,[12.279547691345215]
2,0-2,[9.836338996887207]
3,0-3,[9.683680534362793]
4,0-4,[7.095235824584961]
5,0-5,[12.282692909240723]
6,0-6,[12.259150505065918]
7,0-7,[9.860452651977539]
8,0-8,[8.653565406799316]
9,0-9,[9.952312469482422]
10,0-11,[8.232236862182617]
11,0-12,[5.834475040435791]
12,0-13,[6.9156317710876465]
13,0-14,[8.03207778930664]
14,0-15,[4.904814720153809]
15,0-16,[7.779287338256836]
16,0-17,[4.948414325714111]
17,0-18,[4.685396671295166]
18,0-19,[8.216350555419922]
19,0-20,[8.930639266967773]
20,0-21,[8.585498809814453]
21,0-22,[8.926733016967773]
22,0-24,[7.080254077911377]
23,0-25,[9.959848403930664]
24,0-26,[3.8060269355773926]
25,0-27,[10.64203929901123]
26,0-28,[6.502965927124023]
27,0-29,[8.941118240356445]
28,0-30,[10.279027938842773]
29,0-31,[5.853020668029785]
30,0-32,[9.24238395690918]
31,0-33,[14.73441219329834]
32,0-34,[8.860654830932617]
33,0-35,[8.872756004333496]
34,0-37,[2.632905960083008]
35,0-38,[8.35166072845459]
36,0-39,[5.798768997192383]
37,0-40,[8.271268844604492]
38,0-41,[5.671388149261475]
39,0-42,[10.896018981933594]
40,0-43,[6.897071838378906]
41,0-44,[6.556604385375977]
42,0-45,[7.776280403137207]
43,0-46,[7.267031669616699]
44,0-47,[11.478748321533203]
45,0-48,[2.7264623641967773]
46,0-50,[6.907688140869141]
47,0-51,[7.845160007476807]
48,0-52,[3.634773015975952]
49,0-53,[8.347350120544434]
50,0-54,[9.586311340332031]
51,0-55,[7.227421760559082]
52,0-56,[11.311857223510742]
53,0-57,[7.094168663024902]
54,0-58,[6.747383117675781]
55,0-59,[10.820463180541992]
56,1-0,[10.676816940307617]
57,1-1,[10.742366790771484]
58,1-3,[3.9457669258117676]
59,1-4,[6.615097999572754]
60,1-5,[-0.9787938594818115]
61,1-6,[5.85113525390625]
62,1-7,[12.507407188415527]
63,1-8,[4.654384613037109]
64,1-9,[8.997151374816895]
65,1-10,[8.99949836730957]
66,1-11,[9.110588073730469]
67,1-12,[9.532968521118164]
68,1-13,[6.271663665771484]
69,1-14,[6.126646041870117]
70,1-16,[10.036263465881348]
71,1-17,[10.026618957519531]
72,1-18,[10.741907119750977]
73,1-19,[9.942824363708496]
74,1-20,[5.179553508758545]
75,1-21,[10.621511459350586]
76,1-22,[3.8909897804260254]
77,1-23,[9.997615814208984]
78,1-24,[9.634934425354004]
79,1-25,[10.454612731933594]
80,1-26,[5.840704917907715]
81,1-27,[4.483181476593018]
82,1-29,[7.456066131591797]
83,1-30,[8.014589309692383]
84,1-31,[10.39175796508789]
85,1-32,[5.235724925994873]
86,1-33,[12.345701217651367]
87,1-34,[10.913365364074707]
88,1-35,[10.490547180175781]
89,1-36,[9.3700532913208]
90,1-37,[8.799613952636719]
91,1-38,[11.373190879821777]
92,1-39,[9.237846374511719]
93,1-40,[3.8168179988861084]
94,1-42,[8.140430450439453]
95,1-43,[9.485931396484375]
96,1-44,[10.147098541259766]
97,1-45,[5.142841339111328]
98,1-46,[7.326043128967285]
99,1-47,[5.865288734436035]
100,1-48,[8.122611999511719]
101,1-49,[8.180456161499023]
102,1-50,[10.01866340637207]
103,1-51,[9.821159362792969]
104,1-52,[11.797319412231445]
105,1-53,[7.66796350479126]
106,1-55,[11.895852088928223]
107,1-56,[8.534360885620117]
108,1-57,[10.120176315307617]
109,1-58,[8.585346221923828]
110,1-59,[8.421882629394531]
111,2-0,[7.854989051818848]
112,2-1,[10.142881393432617]
113,2-2,[7.337992191314697]
114,2-3,[10.181434631347656]
115,2-4,[8.268404006958008]
116,2-5,[8.981128692626953]
117,2-6,[8.367231369018555]
118,2-8,[12.349784851074219]
119,2-9,[9.70114803314209]
120,2-10,[2.5510799884796143]
121,2-11,[10.735804557800293]
122,2-12,[6.7470855712890625]
123,2-13,[8.004434585571289]
124,2-14,[6.679604530334473]
125,2-15,[8.631855010986328]
126,2-16,[4.779766082763672]
127,2-17,[4.9453253746032715]
128,2-18,[10.424176216125488]
129,2-19,[6.180877208709717]
130,2-21,[8.742125511169434]
131,2-22,[8.761643409729004]
132,2-23,[9.909767150878906]
133,2-24,[7.806768417358398]
134,2-25,[9.571033477783203]
135,2-26,[5.308122634887695]
136,2-27,[10.296163558959961]
137,2-28,[1.6910825967788696]
138,2-29,[12.891066551208496]
139,2-30,[2.189441442489624]
140,2-31,[8.569015502929688]
141,2-32,[13.44175910949707]
142,2-34,[8.45301628112793]
143,2-35,[6.386416912078857]
144,2-36,[9.366340637207031]
145,2-37,[12.687088012695312]
146,2-38,[3.779013156890869]
147,2-39,[5.828333854675293]
148,2-40,[9.42267894744873]
149,2-41,[8.572053909301758]
150,2-42,[2.753755569458008]
151,2-43,[9.999433517456055]
152,2-44,[11.999305725097656]
153,2-45,[4.6481218338012695]
154,2-47,[11.328656196594238]
155,2-48,[9.965109825134277]
