,Time,Count
0,0-0,[8.290939331054688]
1,0-1,[8.729393005371094]
2,0-2,[9.428142547607422]
3,0-3,[8.15569019317627]
4,0-4,[9.731260299682617]
5,0-5,[5.584686756134033]
6,0-6,[12.049112319946289]
7,0-7,[8.693719863891602]
8,0-8,[5.8573832511901855]
9,0-9,[4.426200866699219]
10,0-11,[7.734114170074463]
11,0-12,[8.53707504272461]
12,0-13,[9.428818702697754]
13,0-14,[6.837057590484619]
14,0-15,[5.069192886352539]
15,0-16,[5.040377616882324]
16,0-17,[6.94994592666626]
17,0-18,[3.0446908473968506]
18,0-19,[5.20350980758667]
19,0-20,[10.153797149658203]
20,0-21,[9.632493019104004]
21,0-22,[11.540129661560059]
22,0-24,[6.60629940032959]
23,0-25,[11.013588905334473]
24,0-26,[4.905701637268066]
25,0-27,[10.250448226928711]
26,0-28,[6.728769302368164]
27,0-29,[6.577752113342285]
28,0-30,[7.65620231628418]
29,0-31,[9.094115257263184]
30,0-32,[10.649002075195312]
31,0-33,[6.898281574249268]
32,0-34,[7.346644878387451]
33,0-35,[6.939793586730957]
34,0-37,[10.10840129852295]
35,0-38,[9.246099472045898]
36,0-39,[6.037771224975586]
37,0-40,[7.4447736740112305]
38,0-41,[7.518566608428955]
39,0-42,[9.456966400146484]
40,0-43,[7.223260402679443]
41,0-44,[11.853277206420898]
42,0-45,[8.029253005981445]
43,0-46,[8.051176071166992]
44,0-47,[8.039125442504883]
45,0-48,[4.900397777557373]
46,0-50,[7.988049507141113]
47,0-51,[11.455063819885254]
48,0-52,[7.529979228973389]
49,0-53,[7.989720344543457]
50,0-54,[9.480873107910156]
51,0-55,[13.000046730041504]
52,0-56,[9.358514785766602]
53,0-57,[7.56059455871582]
54,0-58,[12.891780853271484]
55,0-59,[4.082240104675293]
56,1-0,[11.69156551361084]
57,1-1,[7.877773284912109]
58,1-3,[11.594298362731934]
59,1-4,[9.999004364013672]
60,1-5,[8.793634414672852]
61,1-6,[6.904324531555176]
62,1-7,[9.466056823730469]
63,1-8,[9.789567947387695]
64,1-9,[5.806632995605469]
65,1-10,[9.08102035522461]
66,1-11,[10.248804092407227]
67,1-12,[6.312911033630371]
68,1-13,[13.467716217041016]
69,1-14,[6.763110160827637]
70,1-16,[9.604696273803711]
71,1-17,[7.564182758331299]
72,1-18,[15.024755477905273]
73,1-19,[8.270981788635254]
74,1-20,[5.67852258682251]
75,1-21,[5.390734672546387]
76,1-22,[7.533424377441406]
77,1-23,[4.08800745010376]
78,1-24,[6.280707359313965]
79,1-25,[5.084485054016113]
80,1-26,[12.720356941223145]
81,1-27,[7.350052833557129]
82,1-29,[8.736664772033691]
83,1-30,[7.099253177642822]
84,1-31,[9.510181427001953]
85,1-32,[8.840998649597168]
86,1-33,[7.3272786140441895]
87,1-34,[4.190128803253174]
88,1-35,[8.211833953857422]
89,1-36,[4.177667617797852]
90,1-37,[8.05532169342041]
91,1-38,[9.500137329101562]
92,1-39,[10.280962944030762]
93,1-40,[9.576423645019531]
94,1-42,[7.802541255950928]
95,1-43,[9.549261093139648]
96,1-44,[10.586357116699219]
97,1-45,[10.5836820602417]
98,1-46,[10.31298828125]
99,1-47,[6.152702331542969]
100,1-48,[8.506390571594238]
101,1-49,[9.197469711303711]
102,1-50,[7.9381208419799805]
103,1-51,[9.880260467529297]
104,1-52,[6.534536361694336]
105,1-53,[7.6499481201171875]
106,1-55,[10.12238883972168]
107,1-56,[13.453592300415039]
108,1-57,[7.643127918243408]
109,1-58,[13.204320907592773]
110,1-59,[8.944469451904297]
111,2-0,[8.50109577178955]
112,2-1,[9.824030876159668]
113,2-2,[11.554903030395508]
114,2-3,[11.746980667114258]
115,2-4,[5.36871862411499]
116,2-5,[3.058467388153076]
117,2-6,[10.915626525878906]
118,2-8,[9.993743896484375]
119,2-9,[7.314790725708008]
120,2-10,[8.535107612609863]
121,2-11,[7.358225345611572]
122,2-12,[8.87479019165039]
123,2-13,[9.141422271728516]
124,2-14,[6.097625255584717]
125,2-15,[10.713451385498047]
126,2-16,[10.205391883850098]
127,2-17,[8.970113754272461]
128,2-18,[8.166974067687988]
129,2-19,[6.784705638885498]
130,2-21,[12.735797882080078]
131,2-22,[8.17214584350586]
132,2-23,[7.705799579620361]
133,2-24,[10.908050537109375]
134,2-25,[9.688961029052734]
135,2-26,[7.410826683044434]
136,2-27,[5.459853172302246]
137,2-28,[9.048681259155273]
138,2-29,[8.665115356445312]
139,2-30,[9.032504081726074]
140,2-31,[10.450495719909668]
141,2-32,[6.280611991882324]
142,2-34,[9.345189094543457]
143,2-35,[6.505429267883301]
144,2-36,[8.483201026916504]
145,2-37,[6.8559064865112305]
146,2-38,[9.028474807739258]
147,2-39,[8.414506912231445]
148,2-40,[8.012659072875977]
149,2-41,[7.8858184814453125]
150,2-42,[7.708189964294434]
151,2-43,[10.437427520751953]
152,2-44,[5.491373062133789]
153,2-45,[6.127267837524414]
154,2-47,[8.116886138916016]
155,2-48,[12.086109161376953]
156,2-49,[9.585647583007812]
157,2-50,[6.625411033630371]
158,2-51,[7.183494567871094]
159,2-52,[3.411259174346924]
160,2-53,[8.301803588867188]
161,2-54,[8.010760307312012]
162,2-55,[11.08544921875]
163,2-56,[6.187419891357422]
164,2-57,[6.206810474395752]
165,2-58,[8.507400512695312]
166,3-0,[9.285967826843262]
167,3-1,[3.1110520362854004]
168,3-2,[5.845118522644043]
169,3-3,[6.16089391708374]
170,3-4,[6.7232232093811035]
171,3-5,[7.107518196105957]
172,3-6,[6.175776481628418]
173,3-7,[6.160642623901367]
174,3-8,[9.602035522460938]
175,3-9,[7.668213844299316]
176,3-10,[11.751445770263672]
177,3-11,[10.66301155090332]
178,3-13,[6.321816444396973]
179,3-14,[4.2762579917907715]
180,3-15,[7.721158981323242]
181,3-16,[2.296987771987915]
182,3-17,[11.971277236938477]
183,3-18,[5.527968406677246]
184,3-19,[8.295613288879395]
185,3-20,[11.023367881774902]
186,3-21,[3.9089465141296387]
187,3-22,[5.2990241050720215]
188,3-23,[6.671113967895508]
189,3-24,[5.826417446136475]
190,3-26,[6.054067611694336]
191,3-27,[10.242720603942871]
192,3-28,[8.953408241271973]
193,3-29,[10.699739456176758]
194,3-30,[7.861955642700195]
195,3-31,[2.8090126514434814]
196,3-32,[10.826519966125488]
197,3-33,[4.926690101623535]
198,3-34,[5.502131938934326]
199,3-35,[11.336833000183105]
200,3-36,[10.890923500061035]
201,3-37,[4.7110700607299805]
202,3-39,[9.908594131469727]
203,3-40,[7.563311576843262]
204,3-41,[6.3098039627075195]
205,3-42,[9.564598083496094]
206,3-43,[8.006080627441406]
207,3-44,[6.296354293823242]
208,3-45,[4.122623920440674]
209,3-46,[8.122255325317383]
210,3-47,[4.907881259918213]
211,3-48,[9.04056453704834]
212,3-49,[4.945507049560547]
213,3-50,[6.301050662994385]
214,3-51,[8.047147750854492]
215,3-53,[12.440519332885742]
216,3-54,[5.876738548278809]
217,3-55,[10.30722427368164]
218,3-56,[9.221609115600586]
219,3-57,[4.607473373413086]
220,3-58,[9.639972686767578]
221,3-59,[10.300360679626465]
222,4-0,[10.097702026367188]
223,4-1,[9.157190322875977]
224,4-2,[6.800031661987305]
225,4-3,[11.710687637329102]
226,4-4,[7.84356689453125]
227,4-6,[3.9682507514953613]
228,4-7,[7.051727771759033]
229,4-8,[5.396357536315918]
230,4-9,[10.72835636138916]
231,4-10,[9.939858436584473]
232,4-11,[9.3851900100708]
233,4-12,[6.945023059844971]
234,4-13,[7.168139457702637]
235,4-14,[6.476119518280029]
236,4-15,[7.009675979614258]
237,4-16,[7.6664018630981445]
238,4-17,[6.999715328216553]
239,4-19,[7.187531471252441]
240,4-20,[8.556398391723633]
241,4-21,[1.2781970500946045]
242,4-22,[10.771045684814453]
243,4-23,[6.007206916809082]
244,4-24,[5.668001651763916]
245,4-25,[6.297747611999512]
246,4-26,[12.354185104370117]
247,4-27,[12.079504013061523]
248,4-28,[5.196547508239746]
249,4-29,[8.75903606414795]
250,4-30,[8.780861854553223]
251,4-31,[5.36019229888916]
252,4-33,[9.952433586120605]
253,4-34,[8.164702415466309]
254,4-35,[15.51702880859375]
255,4-36,[8.767951965332031]
256,4-37,[8.720274925231934]
257,4-38,[8.5390625]
258,4-39,[11.31680965423584]
259,4-40,[11.940597534179688]
260,4-41,[7.257335662841797]
261,4-42,[11.693331718444824]
262,4-43,[6.272567272186279]
263,4-44,[11.615691184997559]
264,4-46,[11.878046035766602]
265,4-47,[5.586601734161377]
266,4-48,[6.007342338562012]
267,4-49,[5.390542984008789]
268,4-50,[6.476263046264648]
269,4-51,[6.637057781219482]
270,4-52,[11.26427936553955]
271,4-53,[7.247344970703125]
272,4-54,[8.20505142211914]
273,4-55,[10.38797378540039]
274,4-56,[10.71575927734375]
275,4-57,[9.883426666259766]
276,4-59,[13.055356979370117]
277,5-0,[6.565799713134766]
278,5-1,[6.554440498352051]
279,5-2,[15.35029125213623]
280,5-3,[8.308246612548828]
281,5-4,[9.907883644104004]
282,5-5,[9.734888076782227]
283,5-6,[11.707635879516602]
284,5-7,[5.991796493530273]
285,5-8,[10.113058090209961]
286,5-9,[11.195048332214355]
287,5-10,[9.990179061889648]
288,5-12,[5.140483856201172]
289,5-13,[5.6839141845703125]
290,5-14,[5.504212379455566]
291,5-15,[2.8627161979675293]
292,5-16,[5.663713455200195]
293,5-17,[9.227641105651855]
294,5-19,[14.106714248657227]
295,5-20,[11.70160961151123]
296,5-21,[11.827877044677734]
297,5-22,[6.21658992767334]
298,5-23,[7.558254241943359]
299,5-24,[13.201971054077148]
