,Time,Count
0,0-0,[6.243177890777588]
1,0-1,[8.988851547241211]
2,0-2,[13.732385635375977]
3,0-3,[3.896301746368408]
4,0-4,[8.951757431030273]
5,0-5,[3.771242618560791]
6,0-6,[8.810184478759766]
7,0-7,[10.347250938415527]
8,0-9,[11.985870361328125]
9,0-10,[3.797654628753662]
10,0-11,[9.996435165405273]
11,0-12,[11.397209167480469]
12,0-13,[7.952516555786133]
13,0-14,[8.580702781677246]
14,0-15,[10.094242095947266]
15,0-16,[7.357948303222656]
16,0-17,[8.8737211227417]
17,0-18,[7.182473182678223]
18,0-19,[4.536387920379639]
19,0-20,[8.531978607177734]
20,0-22,[2.785708427429199]
21,0-23,[10.98763370513916]
22,0-24,[11.006195068359375]
23,0-25,[5.577059745788574]
24,0-26,[13.509546279907227]
25,0-27,[7.566255569458008]
26,0-28,[6.591795921325684]
27,0-29,[5.74185037612915]
28,0-30,[8.726899147033691]
29,0-31,[13.329618453979492]
30,0-32,[3.6017282009124756]
31,0-33,[6.819330215454102]
32,0-35,[8.618005752563477]
33,0-36,[3.8622474670410156]
34,0-37,[11.475055694580078]
35,0-38,[8.211960792541504]
36,0-39,[10.087213516235352]
37,0-40,[4.509543418884277]
38,0-41,[5.5288286209106445]
39,0-42,[9.449466705322266]
40,0-43,[8.447636604309082]
41,0-44,[7.993399620056152]
42,0-45,[5.981601715087891]
43,0-46,[5.121489524841309]
44,0-47,[9.905887603759766]
45,0-49,[12.66962718963623]
46,0-50,[8.288122177124023]
47,0-51,[7.7147626876831055]
48,0-52,[9.089129447937012]
49,0-53,[8.799869537353516]
50,0-54,[5.421463966369629]
51,0-55,[5.3339948654174805]
52,0-56,[8.985611915588379]
53,0-57,[9.955670356750488]
54,0-58,[6.759249210357666]
55,0-59,[6.025147438049316]
56,1-0,[6.605474472045898]
57,1-2,[9.340034484863281]
58,1-3,[3.4845314025878906]
59,1-4,[2.208116054534912]
60,1-5,[13.714040756225586]
61,1-6,[6.5174689292907715]
62,1-7,[5.909845352172852]
63,1-8,[10.522543907165527]
64,1-9,[5.7821784019470215]
65,1-10,[3.552339553833008]
66,1-11,[8.474431991577148]
67,1-12,[7.851208686828613]
68,1-13,[8.000898361206055]
69,1-15,[10.352608680725098]
70,1-16,[3.4049949645996094]
71,1-17,[4.347350597381592]
72,1-18,[9.228450775146484]
73,1-19,[14.837709426879883]
74,1-20,[10.039143562316895]
75,1-21,[8.732255935668945]
76,1-22,[9.130258560180664]
77,1-23,[12.055438995361328]
78,1-24,[9.530069351196289]
79,1-25,[8.31203842163086]
80,1-26,[12.698019981384277]
81,1-28,[10.289539337158203]
82,1-29,[7.181188106536865]
83,1-30,[6.282540798187256]
84,1-31,[10.955230712890625]
85,1-32,[7.811083793640137]
86,1-33,[6.7316741943359375]
87,1-34,[6.964863300323486]
88,1-35,[10.00598430633545]
89,1-36,[6.536994934082031]
90,1-37,[12.154783248901367]
91,1-38,[12.459111213684082]
92,1-39,[7.204394340515137]
93,1-41,[6.350167274475098]
94,1-42,[9.246586799621582]
95,1-43,[4.237251281738281]
96,1-44,[8.17573070526123]
97,1-45,[11.111371040344238]
98,1-46,[14.809454917907715]
99,1-47,[12.69191837310791]
100,1-48,[9.740106582641602]
101,1-49,[7.343299865722656]
102,1-50,[5.631758689880371]
103,1-51,[5.937743663787842]
104,1-52,[7.973005294799805]
105,1-54,[9.277997970581055]
106,1-55,[6.245166301727295]
107,1-56,[6.405153751373291]
108,1-57,[6.611745834350586]
109,1-58,[7.994039535522461]
110,1-59,[6.813485145568848]
111,2-0,[11.323928833007812]
112,2-1,[14.170185089111328]
113,2-2,[10.948269844055176]
114,2-3,[9.155487060546875]
115,2-4,[7.20017671585083]
116,2-5,[5.727128982543945]
117,2-7,[5.705836296081543]
118,2-8,[9.725393295288086]
119,2-9,[7.959786415100098]
120,2-10,[8.75979232788086]
121,2-11,[13.097079277038574]
122,2-12,[7.616757392883301]
123,2-13,[11.152801513671875]
124,2-14,[12.15339469909668]
125,2-15,[9.17875862121582]
126,2-16,[4.265466690063477]
127,2-17,[11.619807243347168]
128,2-18,[7.670490741729736]
129,2-20,[12.30172061920166]
130,2-21,[9.640399932861328]
131,2-22,[5.497076034545898]
132,2-23,[10.627166748046875]
133,2-24,[7.387157440185547]
134,2-25,[5.620030403137207]
135,2-26,[11.852523803710938]
136,2-27,[7.371363639831543]
137,2-28,[5.432071685791016]
138,2-29,[6.206578254699707]
139,2-30,[11.270858764648438]
140,2-31,[6.666133880615234]
141,2-33,[9.512374877929688]
142,2-34,[8.096162796020508]
143,2-35,[11.578102111816406]
144,2-36,[7.953242301940918]
145,2-37,[11.844709396362305]
146,2-38,[11.101419448852539]
147,2-39,[6.0887532234191895]
148,2-40,[3.264350414276123]
149,2-41,[10.45578670501709]
150,2-42,[9.336043357849121]
151,2-43,[10.3779296875]
152,2-44,[11.345096588134766]
153,2-46,[10.192803382873535]
154,2-47,[5.6097002029418945]
155,2-48,[7.493068218231201]
156,2-49,[13.611135482788086]
157,2-50,[5.78236198425293]
158,2-51,[11.029623031616211]
159,2-52,[4.192422389984131]
160,2-53,[7.041973114013672]
161,2-54,[10.494802474975586]
162,2-55,[4.820056915283203]
163,2-56,[9.1362886428833]
164,2-57,[13.45457935333252]
165,2-59,[7.055897235870361]
166,3-0,[5.123599052429199]
167,3-1,[6.6539459228515625]
168,3-2,[9.41447639465332]
169,3-3,[7.5326337814331055]
170,3-4,[4.416772365570068]
171,3-5,[5.562727928161621]
172,3-6,[8.292259216308594]
173,3-7,[3.8283567428588867]
174,3-8,[10.29621696472168]
175,3-9,[5.872955799102783]
176,3-10,[3.670954704284668]
177,3-12,[7.328383445739746]
178,3-13,[9.549909591674805]
179,3-14,[7.241256237030029]
180,3-15,[4.9538469314575195]
181,3-16,[10.115049362182617]
182,3-17,[10.209328651428223]
183,3-18,[4.506411552429199]
184,3-19,[6.918953895568848]
185,3-20,[4.958162307739258]
186,3-21,[8.63308048248291]
187,3-22,[9.259212493896484]
188,3-23,[5.807578086853027]
189,3-24,[9.96054744720459]
190,3-26,[11.289741516113281]
191,3-27,[9.237493515014648]
192,3-28,[9.453096389770508]
193,3-29,[3.507981061935425]
194,3-30,[7.244622230529785]
195,3-31,[10.330613136291504]
196,3-32,[9.308605194091797]
197,3-33,[3.777181625366211]
198,3-34,[8.385169982910156]
199,3-35,[5.927088737487793]
200,3-36,[10.92341423034668]
201,3-37,[9.23558521270752]
202,3-39,[3.1545629501342773]
203,3-40,[10.705281257629395]
204,3-41,[9.835912704467773]
205,3-42,[10.635638236999512]
206,3-43,[6.431660175323486]
207,3-44,[7.832608699798584]
208,3-45,[9.211599349975586]
209,3-46,[11.05630874633789]
210,3-47,[10.185322761535645]
211,3-48,[6.2295918464660645]
212,3-49,[9.42799186706543]
213,3-50,[10.801576614379883]
214,3-52,[12.886634826660156]
215,3-53,[3.013363838195801]
216,3-54,[8.227697372436523]
217,3-55,[4.330413341522217]
218,3-56,[9.813250541687012]
219,3-57,[8.71006965637207]
220,3-58,[4.658535957336426]
221,3-59,[8.770589828491211]
222,4-0,[11.677637100219727]
223,4-1,[8.739533424377441]
224,4-2,[5.377657890319824]
225,4-3,[4.445467948913574]
226,4-5,[5.827084541320801]
227,4-6,[10.371834754943848]
228,4-7,[7.898032188415527]
229,4-8,[12.093523025512695]
230,4-9,[10.831521034240723]
231,4-10,[11.84239387512207]
232,4-11,[7.321774959564209]
233,4-12,[8.525056838989258]
234,4-13,[9.648900985717773]
235,4-14,[10.578856468200684]
236,4-15,[6.53579044342041]
237,4-16,[8.316014289855957]
238,4-18,[8.613471984863281]
239,4-19,[6.4734039306640625]
240,4-20,[3.041107654571533]
241,4-21,[9.639504432678223]
242,4-22,[10.772144317626953]
243,4-23,[5.208826065063477]
244,4-24,[11.445975303649902]
245,4-25,[6.1849260330200195]
246,4-26,[13.728281021118164]
247,4-27,[10.709564208984375]
248,4-28,[8.876261711120605]
249,4-29,[10.070995330810547]
250,4-31,[5.021002292633057]
251,4-32,[9.815391540527344]
252,4-33,[8.379800796508789]
253,4-34,[4.5576653480529785]
