,Time,Count
0,0-0,[2.214323043823242]
1,0-1,[5.970837116241455]
2,0-2,[10.741589546203613]
3,0-3,[7.10909366607666]
4,0-4,[4.404013633728027]
5,0-6,[10.36630916595459]
6,0-7,[10.019250869750977]
7,0-8,[8.900527000427246]
8,0-9,[4.42117166519165]
9,0-10,[9.216622352600098]
10,0-11,[6.904483795166016]
11,0-12,[9.773604393005371]
12,0-13,[4.223121166229248]
13,0-14,[11.931687355041504]
14,0-15,[18.733200073242188]
15,0-16,[1.561789870262146]
16,0-17,[7.526346206665039]
17,0-19,[8.778339385986328]
18,0-20,[9.969863891601562]
19,0-21,[9.59201431274414]
20,0-22,[7.279331207275391]
21,0-23,[9.714042663574219]
22,0-24,[14.25346565246582]
23,0-25,[8.614714622497559]
24,0-26,[6.561054706573486]
25,0-27,[10.704238891601562]
26,0-28,[3.931952953338623]
27,0-29,[7.9586567878723145]
28,0-30,[6.447031021118164]
29,0-32,[10.547516822814941]
30,0-33,[14.769573211669922]
31,0-34,[12.35446834564209]
32,0-35,[11.806591987609863]
33,0-36,[8.090476989746094]
34,0-37,[10.853095054626465]
35,0-38,[11.27037239074707]
36,0-39,[5.898491859436035]
37,0-40,[8.638786315917969]
38,0-41,[2.344305992126465]
39,0-42,[9.20537281036377]
40,0-43,[8.485645294189453]
41,0-45,[8.524697303771973]
42,0-46,[3.286017894744873]
43,0-47,[5.626527786254883]
44,0-48,[7.682225227355957]
45,0-49,[4.935919284820557]
46,0-50,[9.599626541137695]
47,0-51,[12.350570678710938]
48,0-52,[4.592554092407227]
49,0-53,[10.12783432006836]
50,0-54,[6.064056396484375]
51,0-55,[15.941532135009766]
52,0-56,[6.480352401733398]
53,0-58,[11.601949691772461]
54,0-59,[4.708313941955566]
55,1-0,[4.8479084968566895]
56,1-1,[7.346129417419434]
57,1-2,[4.220737934112549]
58,1-3,[6.625126838684082]
59,1-4,[4.14249849319458]
60,1-5,[8.512096405029297]
61,1-6,[5.290514945983887]
62,1-7,[12.305818557739258]
63,1-8,[6.774110794067383]
64,1-9,[7.492901802062988]
65,1-11,[6.712680339813232]
66,1-12,[10.396577835083008]
67,1-13,[5.913510322570801]
68,1-14,[9.197715759277344]
69,1-15,[10.543110847473145]
70,1-16,[18.11522674560547]
71,1-17,[9.233551025390625]
72,1-18,[9.647966384887695]
73,1-19,[7.949977874755859]
74,1-20,[5.855417728424072]
75,1-21,[8.942556381225586]
76,1-22,[6.991523742675781]
77,1-24,[3.9995298385620117]
78,1-25,[11.898719787597656]
79,1-26,[12.738582611083984]
80,1-27,[2.407651424407959]
81,1-28,[10.991024017333984]
82,1-29,[10.930988311767578]
83,1-30,[4.050957202911377]
84,1-31,[7.425931930541992]
85,1-32,[5.100237846374512]
86,1-33,[3.4851155281066895]
87,1-34,[8.221696853637695]
88,1-35,[9.367868423461914]
89,1-37,[8.967456817626953]
90,1-38,[9.53779411315918]
91,1-39,[7.646749496459961]
92,1-40,[10.210274696350098]
93,1-41,[8.993549346923828]
94,1-42,[6.129332542419434]
95,1-43,[9.191558837890625]
96,1-44,[6.387354850769043]
97,1-45,[10.551027297973633]
98,1-46,[6.303957462310791]
99,1-47,[7.585050106048584]
100,1-48,[8.518359184265137]
101,1-50,[6.953769683837891]
102,1-51,[6.525277137756348]
103,1-52,[11.844073295593262]
104,1-53,[9.044458389282227]
105,1-54,[9.880651473999023]
106,1-55,[5.308510780334473]
107,1-56,[5.903691291809082]
108,1-57,[8.781454086303711]
109,1-58,[5.442978382110596]
110,1-59,[10.010473251342773]
111,2-0,[9.730361938476562]
112,2-1,[6.870928764343262]
113,2-3,[8.450776100158691]
114,2-4,[8.074682235717773]
115,2-5,[5.285616397857666]
116,2-6,[5.187199592590332]
117,2-7,[9.04961109161377]
118,2-8,[7.692978382110596]
119,2-9,[6.972306728363037]
120,2-10,[9.475118637084961]
121,2-11,[6.395689964294434]
122,2-12,[6.012087821960449]
123,2-13,[7.080461025238037]
124,2-14,[3.286433458328247]
125,2-16,[5.391969203948975]
126,2-17,[7.618498802185059]
127,2-18,[11.97840690612793]
128,2-19,[6.616607189178467]
129,2-20,[7.075893878936768]
130,2-21,[3.7327518463134766]
131,2-22,[7.357458591461182]
132,2-23,[8.105342864990234]
133,2-24,[6.983858585357666]
134,2-25,[9.053455352783203]
135,2-26,[12.016510963439941]
136,2-27,[8.355376243591309]
137,2-29,[11.047531127929688]
138,2-30,[7.331325531005859]
139,2-31,[6.292403221130371]
140,2-32,[8.110445022583008]
141,2-33,[7.911513328552246]
142,2-34,[4.718198776245117]
143,2-35,[11.318995475769043]
144,2-36,[8.499471664428711]
145,2-37,[11.24166488647461]
146,2-38,[5.996181488037109]
147,2-39,[8.99193000793457]
148,2-40,[2.668548107147217]
149,2-42,[3.4884166717529297]
150,2-43,[10.612211227416992]
151,2-44,[7.480545997619629]
152,2-45,[8.931268692016602]
153,2-46,[10.411943435668945]
154,2-47,[5.655729293823242]
155,2-48,[4.655366897583008]
156,2-49,[7.079143047332764]
157,2-50,[6.711856842041016]
158,2-51,[7.778452396392822]
159,2-52,[7.58635139465332]
160,2-53,[12.236324310302734]
161,2-55,[7.774716854095459]
162,2-56,[4.767178535461426]
163,2-57,[12.910134315490723]
164,2-58,[8.350261688232422]
165,2-59,[5.728221893310547]
