,Time,Count
0,0-0,[8.23472785949707]
1,0-1,[12.406188011169434]
2,0-2,[11.70057487487793]
3,0-3,[6.663094520568848]
4,0-4,[11.675193786621094]
5,0-5,[8.030866622924805]
6,0-7,[11.975502014160156]
7,0-8,[10.61302375793457]
8,0-9,[11.672502517700195]
9,0-10,[2.336946964263916]
10,0-11,[3.8006668090820312]
11,0-12,[8.801398277282715]
12,0-13,[11.162259101867676]
13,0-14,[8.003915786743164]
14,0-15,[8.132528305053711]
15,0-16,[4.398455619812012]
16,0-17,[4.762663841247559]
17,0-18,[5.682395935058594]
18,0-20,[10.01708984375]
19,0-21,[7.541825294494629]
20,0-22,[10.260686874389648]
21,0-23,[9.086671829223633]
22,0-24,[7.698236465454102]
23,0-25,[4.218804836273193]
24,0-26,[4.2680158615112305]
25,0-27,[11.031681060791016]
26,0-28,[9.000012397766113]
27,0-29,[15.764457702636719]
28,0-30,[4.564743995666504]
29,0-31,[11.560155868530273]
30,0-33,[9.331927299499512]
31,0-34,[3.878706932067871]
32,0-35,[2.9818527698516846]
33,0-36,[3.7416393756866455]
34,0-37,[6.602283477783203]
35,0-38,[5.650277137756348]
36,0-39,[5.503084182739258]
37,0-40,[8.138673782348633]
38,0-41,[8.671162605285645]
39,0-42,[8.009151458740234]
40,0-43,[9.297880172729492]
41,0-44,[4.84206485748291]
42,0-46,[9.608149528503418]
43,0-47,[5.431997299194336]
44,0-48,[10.093999862670898]
45,0-49,[15.389130592346191]
46,0-50,[11.606212615966797]
47,0-51,[7.773155212402344]
48,0-52,[11.554638862609863]
49,0-53,[9.198402404785156]
50,0-54,[1.3808399438858032]
51,0-55,[8.283956527709961]
52,0-56,[13.12391471862793]
53,0-57,[9.059148788452148]
54,0-59,[12.3179931640625]
55,1-0,[6.780195236206055]
56,1-1,[5.598424434661865]
57,1-2,[10.758686065673828]
58,1-3,[7.808284759521484]
59,1-4,[8.730454444885254]
60,1-5,[7.534552574157715]
61,1-6,[7.035101890563965]
62,1-7,[8.154438018798828]
63,1-8,[8.562888145446777]
64,1-9,[10.071409225463867]
65,1-10,[19.700517654418945]
66,1-12,[2.9870152473449707]
67,1-13,[8.730256080627441]
68,1-14,[5.129697799682617]
69,1-15,[7.776844024658203]
70,1-16,[6.055384159088135]
71,1-17,[4.478360176086426]
72,1-18,[12.172521591186523]
73,1-19,[9.869867324829102]
74,1-20,[11.760573387145996]
75,1-21,[13.92857837677002]
76,1-22,[13.88129711151123]
77,1-23,[5.724356651306152]
78,1-25,[5.499166488647461]
79,1-26,[6.664278507232666]
80,1-27,[7.416701316833496]
81,1-28,[15.033257484436035]
82,1-29,[9.776870727539062]
83,1-30,[5.98251485824585]
84,1-31,[9.752388000488281]
85,1-32,[7.957087993621826]
86,1-33,[12.346338272094727]
87,1-34,[7.879538536071777]
88,1-35,[3.96286678314209]
89,1-36,[6.232636451721191]
90,1-38,[10.036224365234375]
91,1-39,[5.409905910491943]
92,1-40,[8.01196575164795]
93,1-41,[11.790574073791504]
94,1-42,[10.515304565429688]
95,1-43,[5.185945987701416]
96,1-44,[8.61072826385498]
97,1-45,[7.131591796875]
98,1-46,[13.032380104064941]
99,1-47,[5.258145332336426]
100,1-48,[8.306135177612305]
101,1-49,[9.277142524719238]
102,1-51,[9.58171272277832]
103,1-52,[9.085590362548828]
104,1-53,[1.6230543851852417]
105,1-54,[7.432465553283691]
106,1-55,[7.3845319747924805]
107,1-56,[5.233522415161133]
108,1-57,[10.122566223144531]
109,1-58,[7.249799728393555]
110,1-59,[11.853253364562988]
111,2-0,[11.917828559875488]
112,2-1,[4.817963600158691]
113,2-2,[4.661652088165283]
114,2-4,[11.648186683654785]
115,2-5,[4.201549053192139]
116,2-6,[9.159801483154297]
117,2-7,[7.284174919128418]
118,2-8,[10.797301292419434]
119,2-9,[7.29416561126709]
120,2-10,[9.987010955810547]
121,2-11,[8.385927200317383]
122,2-12,[6.091585159301758]
123,2-13,[6.500634670257568]
124,2-14,[11.284110069274902]
125,2-15,[7.9479546546936035]
126,2-17,[12.255489349365234]
127,2-18,[5.548264026641846]
128,2-19,[7.266819000244141]
129,2-20,[10.633749961853027]
130,2-21,[11.539690017700195]
131,2-22,[12.273241996765137]
132,2-23,[7.53261661529541]
133,2-24,[15.42563533782959]
134,2-25,[8.806380271911621]
135,2-26,[6.141892910003662]
136,2-27,[8.183847427368164]
137,2-28,[11.901556968688965]
138,2-30,[11.468550682067871]
139,2-31,[12.372528076171875]
140,2-32,[9.419437408447266]
141,2-33,[7.765203475952148]
142,2-34,[5.056821346282959]
143,2-35,[7.205563545227051]
144,2-36,[8.61759090423584]
145,2-37,[8.080196380615234]
146,2-38,[8.120584487915039]
147,2-39,[5.915820121765137]
148,2-40,[6.6163458824157715]
149,2-41,[15.063608169555664]
150,2-43,[7.134563446044922]
151,2-44,[6.891375541687012]
152,2-45,[7.843173027038574]
153,2-46,[3.4181036949157715]
154,2-47,[10.963850021362305]
155,2-48,[7.88104772567749]
156,2-49,[7.943756580352783]
157,2-50,[9.50554084777832]
158,2-51,[8.949854850769043]
159,2-52,[8.639705657958984]
160,2-53,[8.710319519042969]
161,2-54,[7.818556785583496]
162,2-56,[8.66423225402832]
163,2-57,[7.400421142578125]
164,2-58,[9.055074691772461]
165,2-59,[10.193693161010742]
166,3-0,[6.841848850250244]
167,3-1,[11.729281425476074]
168,3-2,[8.257577896118164]
169,3-3,[8.339740753173828]
170,3-4,[9.821741104125977]
171,3-5,[3.830012321472168]
172,3-6,[7.710705757141113]
173,3-7,[3.5638389587402344]
174,3-9,[10.809219360351562]
175,3-10,[10.158916473388672]
176,3-11,[8.596454620361328]
177,3-12,[10.087963104248047]
178,3-13,[10.033339500427246]
179,3-14,[7.876180171966553]
180,3-15,[10.758462905883789]
181,3-16,[7.9238715171813965]
182,3-17,[10.543574333190918]
183,3-18,[4.960639476776123]
184,3-19,[10.702973365783691]
185,3-20,[8.24476146697998]
186,3-22,[7.23827600479126]
187,3-23,[15.55252456665039]
188,3-24,[7.98612642288208]
189,3-25,[7.36618185043335]
190,3-26,[6.9861650466918945]
191,3-27,[6.2273454666137695]
192,3-28,[3.5616559982299805]
193,3-29,[7.444295883178711]
194,3-30,[6.916698455810547]
195,3-31,[9.205521583557129]
196,3-32,[4.405978202819824]
197,3-33,[5.999347686767578]
198,3-35,[6.09086799621582]
199,3-36,[9.757949829101562]
200,3-37,[8.937395095825195]
201,3-38,[14.29389762878418]
202,3-39,[5.845065116882324]
203,3-40,[11.198214530944824]
204,3-41,[5.336648464202881]
205,3-42,[12.406261444091797]
206,3-43,[11.8275728225708]
207,3-44,[10.894103050231934]
208,3-45,[3.047189235687256]
209,3-46,[12.996736526489258]
210,3-48,[8.002967834472656]
211,3-49,[11.052889823913574]
212,3-50,[8.838323593139648]
213,3-51,[4.013736724853516]
214,3-52,[7.790481090545654]
215,3-53,[6.024578094482422]
216,3-54,[8.027073860168457]
217,3-55,[6.641406536102295]
218,3-56,[8.588691711425781]
219,3-57,[5.598798751831055]
220,3-58,[7.002893447875977]
221,3-59,[6.690706729888916]
222,4-1,[5.912308216094971]
223,4-2,[8.134637832641602]
224,4-3,[7.867161273956299]
225,4-4,[10.391056060791016]
226,4-5,[8.2381591796875]
227,4-6,[7.072084426879883]
228,4-7,[7.74744987487793]
229,4-8,[9.41617488861084]
230,4-9,[11.01817512512207]
231,4-10,[9.371932983398438]
232,4-11,[12.136910438537598]
233,4-12,[7.81089973449707]
234,4-14,[10.729069709777832]
235,4-15,[5.1920061111450195]
236,4-16,[7.702554702758789]
237,4-17,[8.458867073059082]
238,4-18,[6.723773002624512]
239,4-19,[6.7853217124938965]
240,4-20,[5.358866214752197]
241,4-21,[11.477665901184082]
242,4-22,[8.278934478759766]
243,4-23,[8.71891975402832]
244,4-24,[12.643630981445312]
245,4-25,[7.980842113494873]
246,4-27,[6.946824073791504]
247,4-28,[7.09536075592041]
248,4-29,[5.643599510192871]
249,4-30,[6.321781158447266]
250,4-31,[12.044591903686523]
251,4-32,[3.165846824645996]
