,Time,Count
0,0-0,[7.3073649406433105]
1,0-1,[9.00694751739502]
2,0-2,[9.241281509399414]
3,0-3,[6.846368789672852]
4,0-4,[8.0954008102417]
5,0-5,[4.365334987640381]
6,0-6,[6.8322343826293945]
7,0-7,[5.993039608001709]
8,0-8,[10.859627723693848]
9,0-9,[6.468140125274658]
10,0-10,[15.261758804321289]
11,0-11,[8.76936149597168]
12,0-13,[6.902785301208496]
13,0-14,[7.806720733642578]
14,0-15,[7.040190696716309]
15,0-16,[7.112696647644043]
16,0-17,[11.780267715454102]
17,0-18,[9.291448593139648]
18,0-19,[10.720657348632812]
19,0-20,[9.466268539428711]
20,0-21,[8.454137802124023]
21,0-22,[11.524888038635254]
22,0-23,[8.902630805969238]
23,0-24,[9.199922561645508]
24,0-26,[7.003056526184082]
25,0-27,[6.949979782104492]
26,0-28,[9.986639022827148]
27,0-29,[7.978165626525879]
28,0-30,[7.340096950531006]
29,0-31,[10.47398853302002]
30,0-32,[7.5207319259643555]
31,0-33,[3.9912147521972656]
32,0-34,[5.782605171203613]
33,0-35,[10.863422393798828]
34,0-36,[11.22352409362793]
35,0-37,[11.974966049194336]
36,0-39,[5.987209320068359]
37,0-40,[8.357000350952148]
38,0-41,[6.1475019454956055]
39,0-42,[11.712665557861328]
40,0-43,[7.528420448303223]
41,0-44,[7.795408248901367]
42,0-45,[8.815446853637695]
43,0-46,[6.576785087585449]
44,0-47,[10.201227188110352]
45,0-48,[11.1613187789917]
46,0-49,[10.222034454345703]
47,0-50,[9.61806869506836]
48,0-52,[5.527858257293701]
49,0-53,[7.0231428146362305]
50,0-54,[12.33700180053711]
51,0-55,[10.67792797088623]
52,0-56,[7.762176036834717]
53,0-57,[8.806978225708008]
54,0-58,[7.856138229370117]
55,0-59,[11.19471549987793]
56,1-0,[5.567602157592773]
57,1-1,[9.904034614562988]
58,1-2,[10.908946990966797]
59,1-3,[10.937255859375]
60,1-5,[10.05177116394043]
61,1-6,[3.965653896331787]
62,1-7,[5.226494312286377]
63,1-8,[12.87890338897705]
64,1-9,[2.0370101928710938]
65,1-10,[7.2509307861328125]
66,1-11,[15.456207275390625]
67,1-12,[7.269970417022705]
68,1-13,[10.827299118041992]
69,1-14,[7.06673002243042]
70,1-15,[8.308573722839355]
71,1-16,[9.895310401916504]
72,1-18,[12.214162826538086]
73,1-19,[11.78941535949707]
74,1-20,[9.120360374450684]
75,1-21,[5.264741897583008]
76,1-22,[10.170755386352539]
77,1-23,[10.137636184692383]
78,1-24,[6.391648292541504]
79,1-25,[7.096993446350098]
80,1-26,[6.295995712280273]
81,1-27,[12.576129913330078]
82,1-28,[7.134237289428711]
83,1-29,[6.5323991775512695]
84,1-31,[4.525317192077637]
85,1-32,[6.411224365234375]
86,1-33,[4.403308868408203]
87,1-34,[5.960829734802246]
88,1-35,[6.5892462730407715]
89,1-36,[11.26109504699707]
90,1-37,[2.3715133666992188]
91,1-38,[2.651062250137329]
92,1-39,[5.208020210266113]
93,1-40,[2.89286470413208]
94,1-41,[9.42553997039795]
95,1-42,[12.536999702453613]
96,1-44,[4.776695251464844]
97,1-45,[7.928007125854492]
98,1-46,[9.61922836303711]
99,1-47,[5.769184112548828]
100,1-48,[7.885830879211426]
101,1-49,[2.4821858406066895]
102,1-50,[5.80848503112793]
103,1-51,[7.274623394012451]
104,1-52,[6.649428367614746]
105,1-53,[4.351953029632568]
106,1-54,[-2.1085357666015625]
107,1-55,[5.600835800170898]
108,1-57,[7.742828369140625]
109,1-58,[8.808147430419922]
110,1-59,[5.144153594970703]
111,2-0,[12.93543815612793]
112,2-1,[10.33245849609375]
113,2-2,[9.720383644104004]
114,2-3,[6.472891807556152]
115,2-4,[11.897286415100098]
116,2-5,[11.340102195739746]
117,2-6,[4.72961950302124]
118,2-7,[5.920145034790039]
119,2-8,[13.146601676940918]
120,2-10,[8.077699661254883]
121,2-11,[11.19483470916748]
122,2-12,[4.826777458190918]
123,2-13,[9.751052856445312]
124,2-14,[11.554239273071289]
125,2-15,[13.403620719909668]
126,2-16,[8.337545394897461]
127,2-17,[5.874993801116943]
128,2-18,[8.942770004272461]
129,2-19,[13.1795072555542]
130,2-20,[11.370659828186035]
131,2-21,[3.3171801567077637]
132,2-23,[8.996829986572266]
133,2-24,[5.527436256408691]
134,2-25,[5.876283645629883]
135,2-26,[5.718597412109375]
136,2-27,[9.212133407592773]
137,2-28,[7.268826484680176]
138,2-29,[11.999347686767578]
139,2-30,[7.455722808837891]
140,2-31,[3.5285091400146484]
141,2-32,[13.705732345581055]
142,2-33,[2.7320337295532227]
143,2-34,[7.943572044372559]
144,2-36,[9.864051818847656]
145,2-37,[9.505539894104004]
146,2-38,[5.60866641998291]
147,2-39,[9.745820999145508]
148,2-40,[9.910062789916992]
149,2-41,[3.0755274295806885]
150,2-42,[4.686899185180664]
151,2-43,[11.603431701660156]
152,2-44,[5.196347236633301]
153,2-45,[10.5221529006958]
154,2-46,[8.72737979888916]
155,2-47,[8.930893898010254]
156,2-49,[9.589801788330078]
157,2-50,[11.213661193847656]
158,2-51,[7.339913368225098]
159,2-52,[14.905805587768555]
160,2-53,[11.054420471191406]
161,2-54,[6.386669158935547]
162,2-55,[8.409595489501953]
163,2-56,[8.792220115661621]
164,2-57,[5.6920976638793945]
165,2-58,[9.010085105895996]
166,2-59,[6.257198810577393]
167,3-0,[7.439558506011963]
168,3-2,[6.742916107177734]
169,3-3,[11.450416564941406]
170,3-4,[3.4856674671173096]
171,3-5,[12.57598876953125]
172,3-6,[8.166644096374512]
173,3-7,[10.560868263244629]
174,3-8,[11.241782188415527]
175,3-9,[4.785374641418457]
176,3-10,[14.006111145019531]
177,3-11,[11.168290138244629]
178,3-12,[6.198466777801514]
179,3-13,[5.189727783203125]
180,3-15,[7.554609298706055]
181,3-16,[6.208372592926025]
182,3-17,[5.778221130371094]
183,3-18,[6.86766242980957]
184,3-19,[11.568246841430664]
185,3-20,[9.707136154174805]
186,3-21,[4.690106391906738]
187,3-22,[5.431971549987793]
188,3-23,[7.035216331481934]
189,3-24,[3.8809995651245117]
190,3-25,[11.378707885742188]
191,3-26,[8.273160934448242]
192,3-28,[8.568055152893066]
193,3-29,[8.8549165725708]
194,3-30,[7.904923915863037]
195,3-31,[9.728094100952148]
196,3-32,[5.7708964347839355]
197,3-33,[7.089778900146484]
198,3-34,[10.247589111328125]
199,3-35,[12.12691879272461]
200,3-36,[8.321859359741211]
201,3-37,[7.537509441375732]
202,3-38,[8.962203979492188]
203,3-39,[8.819509506225586]
204,3-40,[11.158390998840332]
205,3-42,[8.951397895812988]
206,3-43,[7.998261451721191]
207,3-44,[4.715471267700195]
208,3-45,[8.5594482421875]
209,3-46,[7.07486629486084]
210,3-47,[8.716712951660156]
211,3-48,[6.969394683837891]
212,3-49,[8.785528182983398]
213,3-50,[5.939324855804443]
214,3-51,[10.360147476196289]
215,3-52,[8.359798431396484]
216,3-53,[0.9535238742828369]
217,3-55,[10.95607852935791]
218,3-56,[8.222818374633789]
219,3-57,[11.527487754821777]
220,3-58,[11.234021186828613]
221,3-59,[8.005446434020996]
222,4-0,[8.36704158782959]
223,4-1,[6.968618392944336]
224,4-2,[14.743806838989258]
225,4-3,[6.862296104431152]
226,4-4,[6.745338439941406]
227,4-5,[12.070770263671875]
228,4-6,[9.60257339477539]
229,4-8,[10.401599884033203]
230,4-9,[12.715129852294922]
231,4-10,[7.711047172546387]
232,4-11,[11.49800968170166]
233,4-12,[9.047294616699219]
234,4-13,[6.058452606201172]
235,4-14,[8.429693222045898]
236,4-15,[6.157810688018799]
237,4-16,[9.349441528320312]
238,4-17,[8.951175689697266]
