,Time,Count
0,0-0,[8.490431785583496]
1,0-1,[9.585479736328125]
2,0-2,[11.921531677246094]
3,0-3,[9.820699691772461]
4,0-4,[10.475272178649902]
5,0-5,[6.486693382263184]
6,0-6,[6.184690475463867]
7,0-7,[4.8921051025390625]
8,0-8,[9.959166526794434]
9,0-10,[7.7783942222595215]
10,0-11,[7.4828290939331055]
11,0-12,[4.443925857543945]
12,0-13,[8.598599433898926]
13,0-14,[9.709915161132812]
14,0-15,[10.2343168258667]
15,0-16,[7.869370460510254]
16,0-17,[7.32440185546875]
17,0-18,[11.660902976989746]
18,0-19,[3.66507625579834]
19,0-20,[4.412128448486328]
20,0-21,[8.59642219543457]
21,0-23,[6.472868919372559]
22,0-24,[10.389046669006348]
23,0-25,[10.595416069030762]
24,0-26,[8.570304870605469]
25,0-27,[8.383672714233398]
26,0-28,[10.666387557983398]
27,0-29,[10.16295337677002]
28,0-30,[8.797377586364746]
29,0-31,[10.322237014770508]
30,0-32,[9.467976570129395]
31,0-33,[5.419381141662598]
32,0-34,[10.662379264831543]
33,0-36,[2.1018753051757812]
34,0-37,[9.345406532287598]
35,0-38,[9.488588333129883]
36,0-39,[5.31208610534668]
37,0-40,[11.539323806762695]
38,0-41,[9.435702323913574]
39,0-42,[7.648130416870117]
40,0-43,[5.604564189910889]
41,0-44,[5.452597618103027]
42,0-45,[9.551966667175293]
43,0-46,[7.598936080932617]
44,0-47,[11.078800201416016]
45,0-49,[9.640213966369629]
46,0-50,[12.00295639038086]
47,0-51,[7.971440315246582]
48,0-52,[13.456600189208984]
49,0-53,[7.994339466094971]
50,0-54,[11.59444808959961]
51,0-55,[7.64905309677124]
52,0-56,[9.86350154876709]
53,0-57,[6.570612907409668]
54,0-58,[9.030899047851562]
55,0-59,[3.4604811668395996]
56,1-0,[9.995546340942383]
57,1-2,[6.623857498168945]
58,1-3,[9.086088180541992]
59,1-4,[8.860180854797363]
60,1-5,[8.8484525680542]
61,1-6,[10.395617485046387]
62,1-7,[12.690689086914062]
63,1-8,[6.8065032958984375]
64,1-9,[4.726691246032715]
65,1-10,[6.519957065582275]
66,1-11,[8.142999649047852]
67,1-12,[6.647889137268066]
68,1-13,[6.592708110809326]
69,1-15,[6.272796630859375]
70,1-16,[8.925724029541016]
71,1-17,[14.005066871643066]
72,1-18,[7.995827674865723]
73,1-19,[9.747957229614258]
74,1-20,[13.125187873840332]
75,1-21,[5.769772052764893]
76,1-22,[6.471312522888184]
77,1-23,[6.080732345581055]
78,1-24,[10.358174324035645]
79,1-25,[6.98931360244751]
80,1-26,[6.7819294929504395]
81,1-28,[5.609609127044678]
82,1-29,[7.309197902679443]
83,1-30,[6.093083381652832]
84,1-31,[6.858773708343506]
85,1-32,[9.545432090759277]
86,1-33,[6.099740028381348]
87,1-34,[8.256816864013672]
88,1-35,[7.276322841644287]
89,1-36,[9.342613220214844]
90,1-37,[6.258832931518555]
91,1-38,[11.302812576293945]
92,1-39,[7.77632999420166]
93,1-41,[6.138620853424072]
