,Time,Count
0,0-0,[10.392724990844727]
1,0-1,[8.155165672302246]
2,0-2,[10.114982604980469]
3,0-3,[7.093451976776123]
4,0-4,[8.525544166564941]
5,0-5,[5.552628040313721]
6,0-6,[9.054450035095215]
7,0-7,[5.572856903076172]
8,0-8,[10.629210472106934]
9,0-10,[4.597574234008789]
10,0-11,[6.222203254699707]
11,0-12,[9.381400108337402]
12,0-13,[6.649662017822266]
13,0-14,[9.063947677612305]
14,0-15,[8.30289077758789]
15,0-16,[9.066813468933105]
16,0-17,[9.10200309753418]
17,0-18,[7.2521467208862305]
18,0-19,[4.031187057495117]
19,0-20,[11.517626762390137]
20,0-21,[8.91693115234375]
21,0-23,[7.392111778259277]
22,0-24,[6.591241359710693]
23,0-25,[6.6711015701293945]
24,0-26,[8.614640235900879]
25,0-27,[4.6430745124816895]
26,0-28,[3.5756688117980957]
27,0-29,[8.861974716186523]
28,0-30,[12.034040451049805]
29,0-31,[12.834847450256348]
30,0-32,[8.404805183410645]
31,0-33,[10.227522850036621]
32,0-34,[10.45013427734375]
33,0-36,[8.559869766235352]
34,0-37,[3.115267515182495]
35,0-38,[7.429270267486572]
36,0-39,[12.884851455688477]
37,0-40,[8.458592414855957]
38,0-41,[10.723045349121094]
39,0-42,[6.532267093658447]
40,0-43,[15.271607398986816]
41,0-44,[9.325166702270508]
42,0-45,[2.560685634613037]
43,0-46,[2.3257744312286377]
44,0-47,[8.136276245117188]
45,0-49,[11.319421768188477]
46,0-50,[7.406771659851074]
47,0-51,[7.068075656890869]
48,0-52,[5.793047904968262]
49,0-53,[6.439334392547607]
50,0-54,[6.414588928222656]
51,0-55,[5.406049728393555]
52,0-56,[12.07715129852295]
53,0-57,[8.273971557617188]
54,0-58,[8.181087493896484]
55,0-59,[5.953082084655762]
56,1-0,[4.418290138244629]
57,1-2,[5.913349628448486]
58,1-3,[3.9186782836914062]
59,1-4,[10.339929580688477]
60,1-5,[6.1959123611450195]
61,1-6,[5.73940896987915]
62,1-7,[6.268706798553467]
63,1-8,[6.3656392097473145]
64,1-9,[4.735235214233398]
65,1-10,[8.875922203063965]
66,1-11,[9.85258674621582]
67,1-12,[4.321367263793945]
68,1-13,[9.569692611694336]
69,1-15,[5.138219833374023]
70,1-16,[8.114486694335938]
71,1-17,[3.0156807899475098]
72,1-18,[9.083253860473633]
73,1-19,[13.652263641357422]
74,1-20,[8.628663063049316]
75,1-21,[8.147873878479004]
76,1-22,[7.907351493835449]
77,1-23,[4.0855913162231445]
78,1-24,[5.033143520355225]
79,1-25,[4.331533432006836]
80,1-26,[10.801655769348145]
81,1-28,[5.64823055267334]
82,1-29,[7.697872638702393]
83,1-30,[7.078103065490723]
84,1-31,[7.357368469238281]
85,1-32,[9.111745834350586]
86,1-33,[5.9309539794921875]
87,1-34,[8.30084228515625]
88,1-35,[8.686661720275879]
89,1-36,[10.544502258300781]
90,1-37,[7.301003932952881]
91,1-38,[12.089818954467773]
92,1-39,[7.638849258422852]
93,1-41,[4.23128604888916]
94,1-42,[7.436641693115234]
95,1-43,[10.106049537658691]
96,1-44,[5.236419200897217]
97,1-45,[7.293199062347412]
98,1-46,[9.24715518951416]
99,1-47,[9.616134643554688]
100,1-48,[9.585882186889648]
101,1-49,[9.38575553894043]
102,1-50,[7.709470272064209]
103,1-51,[8.09652042388916]
104,1-52,[10.366568565368652]
105,1-54,[1.5662602186203003]
106,1-55,[4.993948936462402]
107,1-56,[5.337215423583984]
108,1-57,[7.804415702819824]
109,1-58,[8.163019180297852]
110,1-59,[7.008877754211426]
111,2-0,[6.647882461547852]
112,2-1,[9.000869750976562]
113,2-2,[6.511873245239258]
114,2-3,[7.936644077301025]
115,2-4,[8.158065795898438]
116,2-5,[9.306303024291992]
117,2-7,[8.372480392456055]
118,2-8,[11.248100280761719]
119,2-9,[3.3594484329223633]
120,2-10,[9.339737892150879]
121,2-11,[11.336851119995117]
122,2-12,[9.4000244140625]
123,2-13,[4.4303789138793945]
124,2-14,[8.467100143432617]
125,2-15,[8.573173522949219]
126,2-16,[9.750204086303711]
127,2-17,[10.311497688293457]
128,2-18,[13.0825834274292]
129,2-20,[11.077095985412598]
130,2-21,[8.526041030883789]
131,2-22,[7.710963249206543]
132,2-23,[3.219261646270752]
133,2-24,[10.937921524047852]
134,2-25,[8.944220542907715]
135,2-26,[11.362064361572266]
136,2-27,[1.0905927419662476]
137,2-28,[8.55372428894043]
138,2-29,[7.822146415710449]
139,2-30,[9.835407257080078]
140,2-31,[5.694129943847656]
141,2-33,[6.917872428894043]
142,2-34,[9.781444549560547]
143,2-35,[12.414948463439941]
144,2-36,[3.5577664375305176]
145,2-37,[10.706031799316406]
146,2-38,[6.372360706329346]
147,2-39,[9.560651779174805]
148,2-40,[5.626658916473389]
149,2-41,[2.1231608390808105]
150,2-42,[9.349663734436035]
151,2-43,[4.1173624992370605]
152,2-44,[6.218010425567627]
153,2-46,[10.048632621765137]
154,2-47,[7.331452369689941]
155,2-48,[6.213843822479248]
156,2-49,[7.3109941482543945]
157,2-50,[8.172012329101562]
158,2-51,[9.649624824523926]
159,2-52,[9.727446556091309]
160,2-53,[5.9296159744262695]
161,2-54,[10.391868591308594]
162,2-55,[12.155477523803711]
163,2-56,[9.419687271118164]
164,2-57,[5.783271312713623]
165,2-58,[8.391788482666016]
166,3-0,[11.616275787353516]
167,3-1,[8.132017135620117]
168,3-2,[10.570533752441406]
169,3-3,[5.003185272216797]
170,3-4,[6.447851657867432]
171,3-5,[8.095841407775879]
172,3-6,[3.5235161781311035]
173,3-7,[5.759099006652832]
174,3-8,[6.660131454467773]
175,3-9,[7.1521406173706055]
176,3-10,[5.9937744140625]
177,3-11,[9.465644836425781]
178,3-13,[7.572129726409912]
179,3-14,[8.770111083984375]
180,3-15,[7.178108215332031]
181,3-16,[7.036297798156738]
182,3-17,[2.0068562030792236]
183,3-18,[7.234909534454346]
184,3-19,[10.265788078308105]
185,3-20,[6.544554233551025]
186,3-21,[14.255537033081055]
187,3-22,[4.911274433135986]
188,3-23,[6.778073787689209]
189,3-24,[8.991823196411133]
190,3-26,[8.691141128540039]
191,3-27,[6.176855564117432]
192,3-28,[10.662612915039062]
193,3-29,[7.3235764503479]
194,3-30,[9.43831729888916]
195,3-31,[2.3786730766296387]
196,3-32,[8.011470794677734]
197,3-33,[9.153838157653809]
198,3-34,[9.342992782592773]
199,3-35,[5.432561874389648]
200,3-36,[15.763947486877441]
201,3-37,[5.15607213973999]
202,3-39,[8.185911178588867]
203,3-40,[5.829105377197266]
204,3-41,[9.69230842590332]
205,3-42,[3.005765676498413]
206,3-43,[8.125699996948242]
207,3-44,[7.531622886657715]
208,3-45,[5.44340181350708]
209,3-46,[9.907535552978516]
210,3-47,[10.907979011535645]
211,3-48,[6.871776580810547]
212,3-49,[7.2902960777282715]
213,3-50,[7.625495910644531]
214,3-52,[3.614159107208252]
215,3-53,[7.995708465576172]
216,3-54,[11.099287033081055]
217,3-55,[8.19481372833252]
218,3-56,[10.927007675170898]
219,3-57,[10.016546249389648]
220,3-58,[7.537688255310059]
221,3-59,[9.149377822875977]
222,4-0,[10.65841293334961]
223,4-1,[7.141384601593018]
224,4-2,[10.775659561157227]
225,4-3,[11.726334571838379]
226,4-5,[7.767186641693115]
227,4-6,[9.32116985321045]
228,4-7,[9.877862930297852]
229,4-8,[6.52687931060791]
230,4-9,[2.91162109375]
231,4-10,[7.705440521240234]
232,4-11,[10.448844909667969]
233,4-12,[8.727899551391602]
234,4-13,[13.586912155151367]
235,4-14,[9.133771896362305]
236,4-15,[10.534761428833008]
237,4-16,[5.420870780944824]
238,4-18,[10.474637985229492]
239,4-19,[5.977003574371338]
240,4-20,[4.895270347595215]
241,4-21,[15.122868537902832]
242,4-22,[13.45691967010498]
243,4-23,[8.064428329467773]
244,4-24,[9.615124702453613]
245,4-25,[10.487478256225586]
246,4-26,[7.687891483306885]
247,4-27,[8.118728637695312]
248,4-28,[8.63453483581543]
249,4-29,[8.572182655334473]
250,4-31,[11.316489219665527]
251,4-32,[9.888367652893066]
252,4-33,[6.611166954040527]
253,4-34,[8.861943244934082]
254,4-35,[4.970897674560547]
255,4-36,[5.413457870483398]
256,4-37,[6.518235683441162]
257,4-38,[7.081165790557861]
258,4-39,[5.159458637237549]
259,4-40,[10.470527648925781]
260,4-41,[7.610651969909668]
261,4-42,[9.488729476928711]
262,4-44,[8.531785011291504]
263,4-45,[10.02232551574707]
264,4-46,[6.654540061950684]
265,4-47,[9.917442321777344]
266,4-48,[4.980331897735596]
267,4-49,[5.553702354431152]
268,4-50,[9.93574333190918]
269,4-51,[10.773812294006348]
270,4-52,[7.362168788909912]
271,4-53,[11.779817581176758]
272,4-54,[9.819355010986328]
273,4-55,[9.170639991760254]
274,4-57,[9.094820976257324]
275,4-58,[7.6172637939453125]
276,4-59,[6.786816596984863]
277,5-0,[6.6863837242126465]
278,5-1,[11.260875701904297]
279,5-2,[3.774414539337158]
280,5-3,[10.696710586547852]
281,5-4,[8.352176666259766]
282,5-5,[11.786153793334961]
283,5-6,[9.494795799255371]
284,5-7,[5.831364631652832]
285,5-8,[8.044012069702148]
286,5-10,[5.196065425872803]
287,5-11,[5.147952556610107]
288,5-12,[9.613200187683105]
289,5-13,[11.293866157531738]
290,5-14,[6.992249965667725]
291,5-15,[4.113297462463379]
292,5-16,[9.462419509887695]
293,5-17,[7.384062767028809]
294,5-18,[9.941886901855469]
295,5-19,[6.330496788024902]
296,5-20,[8.594822883605957]
297,5-21,[13.557899475097656]
298,5-23,[4.980458736419678]
299,5-24,[5.324769973754883]
300,5-25,[7.661191463470459]
301,5-26,[6.545476913452148]
302,5-27,[5.674837112426758]
303,5-28,[10.164719581604004]
304,5-29,[7.887728214263916]
305,5-30,[5.935670852661133]
306,5-31,[8.68560791015625]
307,5-32,[8.814168930053711]
308,5-33,[5.545278549194336]
309,5-34,[10.202672958374023]
310,5-35,[10.026689529418945]
311,5-37,[6.910464763641357]
312,5-38,[8.455497741699219]
313,5-39,[4.987896919250488]
314,5-40,[3.492781639099121]
315,5-41,[8.034709930419922]
316,5-42,[9.766849517822266]
317,5-43,[8.823150634765625]
318,5-44,[10.190618515014648]
319,5-45,[10.192322731018066]
320,5-46,[6.088937759399414]
321,5-47,[10.395927429199219]
322,5-48,[8.407153129577637]
323,5-50,[4.971213340759277]
324,5-51,[8.646973609924316]
325,5-52,[8.73535442352295]
326,5-53,[9.261999130249023]
327,5-54,[7.158716201782227]
328,5-55,[4.874675750732422]
329,5-56,[9.61778450012207]
330,5-57,[5.012609004974365]
331,5-58,[7.8167405128479]
332,5-59,[8.568948745727539]
333,6-0,[6.391314506530762]
334,6-1,[9.230838775634766]
335,6-3,[10.470622062683105]
336,6-4,[8.407337188720703]
337,6-5,[5.502457141876221]
338,6-6,[10.892675399780273]
339,6-7,[6.995664119720459]
340,6-8,[8.730745315551758]
341,6-9,[7.280562877655029]
342,6-10,[14.300861358642578]
343,6-11,[8.39609146118164]
344,6-12,[6.411086559295654]
345,6-13,[3.2363619804382324]
346,6-14,[6.625710487365723]
347,6-16,[10.371326446533203]
348,6-17,[9.341195106506348]
349,6-18,[8.806924819946289]
350,6-19,[9.168642044067383]
